id,group,Personality,has_missing
267,Kept,Introvert,False
268,Removed,Introvert,True
269,Kept,Extrovert,True
270,Kept,Extrovert,False
271,Removed,Introvert,False
272,Removed,Introvert,False
273,Kept,Extrovert,False
274,Kept,Extrovert,False
275,Removed,Extrovert,False
276,Kept,Introvert,False
277,Kept,Introvert,True
278,Kept,Extrovert,False
279,Kept,Introvert,False
280,Kept,Extrovert,False
281,Kept,Extrovert,False
282,Kept,Extrovert,True
283,Kept,Introvert,False
284,Kept,Introvert,True
285,Removed,Introvert,True
286,Removed,Extrovert,False
287,Kept,Extrovert,False
288,Kept,Introvert,False
289,Kept,Introvert,True
290,Kept,Extrovert,False
291,Kept,Extrovert,False
292,Kept,Extrovert,False
293,Kept,Introvert,False
294,Kept,Introvert,False
295,Removed,Introvert,False
296,Removed,Extrovert,False
297,Kept,Extrovert,False
298,Kept,Extrovert,False
299,Kept,Extrovert,False
300,Kept,Extrovert,False
301,Removed,Extrovert,False
302,Kept,Extrovert,True
303,Kept,Extrovert,False
304,Kept,Introvert,False
305,Kept,Extrovert,False
306,Kept,Extrovert,True
307,Removed,Introvert,True
308,Kept,Extrovert,False
309,Removed,Introvert,False
310,Kept,Extrovert,False
311,Kept,Extrovert,False
312,Removed,Introvert,False
313,Removed,Introvert,True
314,Kept,Extrovert,False
315,Kept,Extrovert,False
316,Kept,Extrovert,False
317,Removed,Introvert,False
318,Removed,Extrovert,False
319,Kept,Introvert,True
320,Removed,Introvert,True
321,Removed,Introvert,True
322,Removed,Introvert,False
323,Removed,Introvert,True
324,Removed,Extrovert,False
325,Kept,Extrovert,False
326,Kept,Extrovert,False
327,Removed,Extrovert,False
328,Kept,Extrovert,True
329,Kept,Extrovert,True
330,Removed,Introvert,True
331,Kept,Extrovert,False
332,Kept,Extrovert,False
333,Kept,Extrovert,False
334,Kept,Extrovert,False
335,Kept,Extrovert,True
336,Kept,Extrovert,False
337,Kept,Extrovert,False
338,Removed,Introvert,True
339,Kept,Extrovert,False
340,Kept,Extrovert,False
341,Kept,Extrovert,False
342,Removed,Extrovert,False
343,Kept,Extrovert,True
344,Kept,Extrovert,True
345,Kept,Extrovert,False
346,Kept,Introvert,True
347,Removed,Extrovert,False
348,Kept,Extrovert,False
349,Kept,Extrovert,True
350,Kept,Extrovert,False
351,Kept,Extrovert,False
352,Kept,Extrovert,False
353,Kept,Extrovert,False
354,Kept,Extrovert,True
355,Kept,Extrovert,True
356,Kept,Extrovert,False
357,Kept,Extrovert,False
358,Kept,Extrovert,False
359,Kept,Extrovert,True
360,Kept,Introvert,False
361,Kept,Extrovert,False
362,Kept,Extrovert,False
363,Removed,Introvert,True
364,Kept,Extrovert,False
365,Kept,Extrovert,False
366,Kept,Extrovert,True
367,Kept,Extrovert,True
368,Removed,Introvert,False
369,Removed,Extrovert,True
370,Kept,Introvert,True
371,Kept,Extrovert,False
372,Kept,Introvert,False
373,Kept,Introvert,True
374,Kept,Extrovert,True
375,Kept,Introvert,True
376,Kept,Extrovert,False
377,Kept,Extrovert,True
378,Kept,Extrovert,False
379,Kept,Extrovert,False
380,Removed,Introvert,True
381,Kept,Extrovert,True
382,Kept,Extrovert,False
383,Kept,Extrovert,False
384,Removed,Introvert,False
385,Removed,Extrovert,True
386,Kept,Introvert,True
387,Kept,Extrovert,False
388,Removed,Introvert,True
389,Kept,Extrovert,True
390,Kept,Extrovert,False
391,Kept,Extrovert,False
392,Kept,Introvert,True
393,Kept,Extrovert,False
394,Kept,Extrovert,False
395,Kept,Extrovert,False
396,Removed,Introvert,True
397,Kept,Extrovert,True
398,Removed,Extrovert,False
399,Kept,Extrovert,True
400,Kept,Extrovert,True
401,Kept,Extrovert,False
402,Kept,Introvert,False
403,Removed,Extrovert,True
404,Kept,Extrovert,False
405,Kept,Extrovert,True
406,Kept,Extrovert,True
407,Removed,Introvert,False
408,Removed,Extrovert,False
409,Kept,Extrovert,False
410,Kept,Extrovert,False
411,Kept,Extrovert,False
412,Removed,Extrovert,False
413,Kept,Extrovert,False
414,Kept,Extrovert,False
415,Kept,Extrovert,False
416,Kept,Extrovert,True
417,Kept,Extrovert,False
418,Kept,Introvert,False
419,Kept,Extrovert,False
420,Kept,Extrovert,True
421,Kept,Extrovert,False
422,Kept,Introvert,True
423,Kept,Extrovert,True
424,Kept,Extrovert,False
425,Kept,Extrovert,False
426,Kept,Introvert,False
427,Kept,Extrovert,True
428,Kept,Extrovert,True
429,Kept,Extrovert,False
430,Kept,Extrovert,False
431,Removed,Extrovert,False
432,Removed,Introvert,True
433,Kept,Extrovert,True
434,Removed,Introvert,False
435,Kept,Extrovert,True
436,Removed,Extrovert,False
437,Kept,Extrovert,False
438,Kept,Introvert,True
439,Kept,Extrovert,True
440,Kept,Extrovert,True
441,Removed,Extrovert,False
442,Kept,Introvert,False
443,Kept,Extrovert,False
444,Kept,Extrovert,True
445,Kept,Extrovert,False
446,Removed,Extrovert,False
447,Kept,Extrovert,False
448,Removed,Extrovert,False
449,Kept,Introvert,False
450,Kept,Extrovert,False
451,Kept,Extrovert,False
452,Kept,Introvert,True
453,Kept,Extrovert,False
454,Kept,Extrovert,True
455,Removed,Extrovert,False
456,Kept,Extrovert,False
457,Kept,Introvert,False
458,Removed,Extrovert,True
459,Kept,Extrovert,True
460,Kept,Extrovert,False
461,Kept,Extrovert,False
462,Removed,Introvert,True
463,Removed,Extrovert,False
464,Removed,Introvert,False
465,Kept,Extrovert,False
466,Kept,Extrovert,False
467,Kept,Extrovert,False
468,Removed,Introvert,True
469,Kept,Extrovert,True
470,Kept,Introvert,True
471,Kept,Introvert,True
472,Kept,Introvert,True
473,Removed,Extrovert,False
474,Removed,Extrovert,False
475,Kept,Extrovert,False
476,Kept,Extrovert,False
477,Removed,Extrovert,False
478,Kept,Extrovert,True
479,Kept,Extrovert,False
480,Removed,Introvert,False
481,Kept,Extrovert,False
482,Kept,Extrovert,False
483,Kept,Extrovert,False
484,Kept,Extrovert,False
485,Kept,Extrovert,True
486,Kept,Extrovert,False
487,Kept,Introvert,False
488,Kept,Extrovert,False
489,Kept,Extrovert,False
490,Kept,Extrovert,True
491,Removed,Introvert,False
492,Removed,Extrovert,False
493,Kept,Introvert,False
494,Kept,Extrovert,True
495,Kept,Introvert,True
496,Kept,Introvert,False
497,Kept,Extrovert,False
498,Removed,Introvert,True
499,Kept,Extrovert,False
500,Kept,Extrovert,False
501,Kept,Introvert,False
502,Kept,Extrovert,False
503,Removed,Extrovert,False
504,Kept,Extrovert,False
505,Kept,Extrovert,False
506,Kept,Extrovert,True
507,Removed,Introvert,True
508,Removed,Extrovert,True
509,Kept,Extrovert,True
510,Kept,Extrovert,False
511,Kept,Introvert,True
512,Kept,Extrovert,True
513,Kept,Extrovert,True
514,Removed,Introvert,False
515,Kept,Extrovert,False
516,Kept,Extrovert,False
517,Kept,Extrovert,True
518,Removed,Extrovert,False
519,Removed,Extrovert,False
520,Kept,Introvert,True
521,Kept,Extrovert,False
522,Kept,Extrovert,True
523,Kept,Extrovert,False
524,Kept,Extrovert,False
525,Kept,Extrovert,False
526,Kept,Extrovert,True
527,Kept,Extrovert,False
528,Kept,Introvert,False
529,Kept,Introvert,True
530,Kept,Extrovert,False
531,Removed,Extrovert,False
532,Removed,Extrovert,True
533,Removed,Extrovert,False
534,Kept,Extrovert,False
535,Kept,Extrovert,True
536,Removed,Introvert,False
537,Removed,Extrovert,False
538,Kept,Extrovert,False
539,Removed,Extrovert,False
540,Removed,Introvert,True
541,Kept,Introvert,False
542,Kept,Extrovert,False
543,Kept,Extrovert,True
544,Removed,Introvert,True
545,Kept,Introvert,False
546,Removed,Introvert,True
547,Removed,Introvert,False
548,Kept,Introvert,True
549,Kept,Introvert,True
550,Kept,Extrovert,True
551,Kept,Introvert,False
552,Kept,Extrovert,True
553,Kept,Extrovert,False
554,Kept,Extrovert,False
555,Kept,Extrovert,False
556,Removed,Introvert,False
557,Kept,Extrovert,True
558,Removed,Extrovert,False
559,Removed,Extrovert,True
560,Kept,Introvert,False
561,Removed,Introvert,False
562,Kept,Extrovert,False
563,Kept,Extrovert,True
564,Kept,Introvert,False
565,Kept,Introvert,False
566,Removed,Extrovert,False
567,Kept,Extrovert,True
568,Kept,Extrovert,False
569,Kept,Extrovert,False
570,Kept,Extrovert,True
571,Kept,Extrovert,True
572,Removed,Extrovert,False
573,Kept,Extrovert,False
574,Kept,Extrovert,False
575,Removed,Extrovert,True
576,Removed,Introvert,True
577,Kept,Introvert,True
578,Removed,Extrovert,False
579,Removed,Introvert,False
580,Removed,Extrovert,False
581,Kept,Extrovert,False
582,Kept,Introvert,False
583,Kept,Introvert,False
584,Kept,Extrovert,False
585,Kept,Extrovert,True
586,Removed,Introvert,False
587,Kept,Extrovert,False
588,Kept,Extrovert,True
589,Kept,Extrovert,True
590,Kept,Extrovert,True
591,Kept,Extrovert,True
592,Kept,Extrovert,False
593,Kept,Extrovert,False
594,Kept,Extrovert,False
595,Kept,Extrovert,True
596,Kept,Extrovert,False
597,Kept,Introvert,True
598,Kept,Extrovert,False
599,Kept,Extrovert,True
600,Removed,Extrovert,False
601,Kept,Extrovert,False
602,Kept,Extrovert,False
603,Kept,Extrovert,False
604,Kept,Extrovert,False
605,Kept,Extrovert,True
606,Kept,Extrovert,False
607,Removed,Introvert,True
608,Kept,Extrovert,True
609,Kept,Extrovert,True
610,Kept,Extrovert,False
611,Kept,Extrovert,False
612,Kept,Extrovert,True
613,Kept,Extrovert,True
614,Kept,Introvert,True
615,Kept,Extrovert,True
616,Kept,Extrovert,False
617,Kept,Extrovert,False
618,Kept,Extrovert,True
619,Kept,Extrovert,False
620,Kept,Extrovert,False
621,Kept,Introvert,False
622,Kept,Extrovert,False
623,Kept,Extrovert,False
624,Removed,Extrovert,False
625,Kept,Extrovert,False
626,Kept,Introvert,False
627,Removed,Extrovert,False
628,Removed,Introvert,True
629,Kept,Extrovert,True
630,Removed,Extrovert,False
631,Kept,Extrovert,False
632,Removed,Introvert,False
633,Kept,Extrovert,False
634,Kept,Extrovert,False
635,Removed,Introvert,True
636,Kept,Extrovert,True
637,Kept,Extrovert,True
638,Kept,Introvert,False
639,Kept,Extrovert,True
640,Removed,Extrovert,False
641,Kept,Extrovert,False
642,Kept,Extrovert,False
643,Kept,Extrovert,False
644,Kept,Extrovert,False
645,Kept,Extrovert,False
646,Kept,Extrovert,False
647,Kept,Extrovert,False
648,Removed,Extrovert,False
649,Kept,Extrovert,False
650,Removed,Introvert,True
651,Removed,Extrovert,False
652,Removed,Extrovert,True
653,Kept,Extrovert,True
654,Removed,Extrovert,False
655,Removed,Extrovert,True
656,Kept,Extrovert,True
657,Kept,Introvert,False
658,Kept,Extrovert,False
659,Removed,Extrovert,True
660,Kept,Introvert,True
661,Kept,Introvert,True
662,Removed,Extrovert,False
663,Kept,Extrovert,False
664,Kept,Extrovert,False
665,Kept,Introvert,False
666,Removed,Extrovert,False
667,Kept,Extrovert,False
668,Kept,Extrovert,True
669,Kept,Extrovert,False
670,Removed,Extrovert,False
671,Kept,Extrovert,False
672,Kept,Extrovert,True
673,Kept,Extrovert,False
674,Kept,Extrovert,False
675,Kept,Extrovert,False
676,Kept,Extrovert,False
677,Kept,Introvert,True
678,Removed,Extrovert,True
679,Kept,Introvert,False
680,Kept,Extrovert,False
681,Kept,Introvert,False
682,Kept,Extrovert,False
683,Removed,Introvert,True
684,Kept,Extrovert,False
685,Kept,Extrovert,False
686,Kept,Extrovert,False
687,Kept,Extrovert,True
688,Removed,Introvert,False
689,Kept,Extrovert,False
690,Kept,Introvert,True
691,Kept,Introvert,False
692,Kept,Extrovert,False
693,Kept,Extrovert,False
694,Kept,Extrovert,True
695,Kept,Extrovert,False
696,Kept,Extrovert,True
697,Kept,Extrovert,False
698,Kept,Extrovert,False
699,Removed,Introvert,False
700,Kept,Introvert,True
701,Removed,Extrovert,False
702,Kept,Introvert,False
703,Kept,Introvert,True
704,Removed,Extrovert,True
705,Removed,Introvert,True
706,Removed,Extrovert,False
707,Removed,Extrovert,False
708,Removed,Extrovert,True
709,Kept,Extrovert,False
710,Removed,Extrovert,False
711,Kept,Extrovert,False
712,Kept,Extrovert,False
713,Kept,Introvert,True
714,Removed,Extrovert,False
715,Removed,Introvert,True
716,Kept,Extrovert,False
717,Removed,Introvert,False
718,Kept,Introvert,False
719,Kept,Extrovert,True
720,Removed,Extrovert,False
721,Kept,Extrovert,False
722,Kept,Introvert,True
723,Removed,Extrovert,False
724,Removed,Extrovert,False
725,Removed,Extrovert,True
726,Kept,Extrovert,False
727,Removed,Extrovert,False
728,Kept,Extrovert,False
729,Kept,Extrovert,True
730,Kept,Introvert,False
731,Removed,Extrovert,False
732,Removed,Extrovert,True
733,Kept,Introvert,False
734,Kept,Extrovert,False
735,Removed,Extrovert,True
736,Kept,Extrovert,True
737,Removed,Extrovert,True
738,Removed,Introvert,False
739,Kept,Extrovert,False
740,Kept,Extrovert,True
741,Kept,Extrovert,False
742,Kept,Extrovert,False
743,Kept,Extrovert,False
744,Removed,Extrovert,True
745,Kept,Extrovert,False
746,Kept,Introvert,False
747,Removed,Introvert,False
748,Kept,Extrovert,True
749,Kept,Introvert,False
750,Kept,Extrovert,False
751,Kept,Extrovert,False
752,Removed,Extrovert,True
753,Kept,Extrovert,False
754,Removed,Extrovert,False
755,Removed,Extrovert,True
756,Removed,Extrovert,False
757,Kept,Extrovert,True
758,Kept,Extrovert,True
759,Removed,Extrovert,False
760,Kept,Extrovert,True
761,Removed,Extrovert,False
762,Kept,Introvert,True
763,Kept,Extrovert,True
764,Removed,Extrovert,False
765,Removed,Introvert,True
766,Kept,Extrovert,False
767,Removed,Extrovert,False
768,Kept,Extrovert,False
769,Kept,Extrovert,False
770,Kept,Extrovert,False
771,Kept,Extrovert,False
772,Kept,Extrovert,False
773,Kept,Extrovert,False
774,Kept,Extrovert,False
775,Kept,Introvert,True
776,Kept,Extrovert,False
777,Kept,Extrovert,False
778,Removed,Extrovert,False
779,Kept,Extrovert,True
780,Kept,Extrovert,True
781,Removed,Introvert,False
782,Kept,Extrovert,False
783,Kept,Extrovert,False
784,Removed,Introvert,False
785,Kept,Extrovert,False
786,Kept,Extrovert,False
787,Kept,Introvert,False
788,Kept,Extrovert,True
789,Kept,Extrovert,False
790,Kept,Extrovert,False
791,Kept,Extrovert,False
792,Kept,Extrovert,True
793,Removed,Introvert,False
794,Kept,Introvert,True
795,Kept,Extrovert,False
796,Kept,Introvert,False
797,Kept,Extrovert,True
798,Removed,Extrovert,True
799,Kept,Extrovert,False
800,Removed,Introvert,False
801,Removed,Extrovert,False
802,Kept,Introvert,True
803,Kept,Extrovert,False
804,Kept,Extrovert,False
805,Kept,Extrovert,False
806,Kept,Extrovert,False
807,Kept,Extrovert,False
808,Kept,Extrovert,True
809,Removed,Introvert,False
810,Removed,Extrovert,True
811,Kept,Extrovert,False
812,Kept,Introvert,True
813,Removed,Introvert,True
814,Removed,Extrovert,True
815,Kept,Extrovert,False
816,Kept,Introvert,True
817,Removed,Extrovert,False
818,Kept,Introvert,False
819,Kept,Introvert,False
820,Kept,Extrovert,False
821,Removed,Introvert,False
822,Kept,Extrovert,False
823,Kept,Introvert,False
824,Removed,Extrovert,False
825,Kept,Extrovert,False
826,Removed,Introvert,True
827,Removed,Introvert,False
828,Kept,Extrovert,True
829,Kept,Extrovert,False
830,Removed,Introvert,False
831,Kept,Introvert,True
832,Removed,Extrovert,False
833,Kept,Extrovert,False
834,Kept,Extrovert,False
835,Kept,Extrovert,True
836,Kept,Extrovert,True
837,Removed,Extrovert,False
838,Kept,Introvert,False
839,Kept,Extrovert,False
840,Kept,Extrovert,False
841,Removed,Introvert,True
842,Removed,Extrovert,False
843,Kept,Extrovert,False
844,Kept,Extrovert,True
845,Removed,Extrovert,False
846,Removed,Introvert,False
847,Kept,Introvert,True
848,Removed,Extrovert,False
849,Kept,Introvert,False
850,Kept,Extrovert,False
851,Removed,Extrovert,False
852,Removed,Introvert,False
853,Kept,Extrovert,False
854,Kept,Extrovert,False
855,Kept,Extrovert,False
856,Kept,Introvert,False
857,Removed,Introvert,False
858,Removed,Introvert,False
859,Removed,Introvert,False
860,Kept,Extrovert,True
861,Kept,Introvert,True
862,Kept,Extrovert,False
863,Removed,Extrovert,False
864,Kept,Extrovert,False
865,Kept,Extrovert,False
866,Kept,Extrovert,False
867,Kept,Extrovert,False
868,Kept,Introvert,False
869,Removed,Extrovert,True
870,Removed,Extrovert,True
871,Kept,Extrovert,False
872,Kept,Extrovert,False
873,Kept,Extrovert,False
874,Kept,Extrovert,False
875,Removed,Extrovert,True
876,Kept,Extrovert,False
877,Removed,Introvert,False
878,Kept,Extrovert,False
879,Kept,Extrovert,True
880,Removed,Extrovert,False
881,Kept,Extrovert,False
882,Kept,Extrovert,False
883,Kept,Extrovert,False
884,Removed,Extrovert,False
885,Removed,Introvert,False
886,Kept,Extrovert,True
887,Kept,Extrovert,False
888,Kept,Extrovert,False
889,Kept,Extrovert,True
890,Removed,Introvert,False
891,Kept,Extrovert,True
892,Kept,Extrovert,True
893,Removed,Extrovert,False
894,Kept,Extrovert,True
895,Kept,Extrovert,True
896,Removed,Extrovert,False
897,Kept,Extrovert,False
898,Kept,Extrovert,False
899,Kept,Extrovert,False
900,Kept,Extrovert,False
901,Kept,Extrovert,False
902,Removed,Introvert,False
903,Kept,Extrovert,True
904,Kept,Extrovert,False
905,Kept,Extrovert,False
906,Kept,Extrovert,True
907,Kept,Extrovert,False
908,Kept,Extrovert,False
909,Removed,Introvert,False
910,Removed,Introvert,False
911,Kept,Extrovert,False
912,Kept,Extrovert,True
913,Kept,Introvert,True
914,Kept,Extrovert,True
915,Kept,Extrovert,False
916,Removed,Introvert,True
917,Kept,Extrovert,False
918,Kept,Extrovert,True
919,Kept,Extrovert,False
920,Kept,Extrovert,False
921,Kept,Extrovert,True
922,Kept,Extrovert,False
923,Kept,Extrovert,False
924,Kept,Extrovert,False
925,Removed,Extrovert,False
926,Kept,Extrovert,False
927,Kept,Introvert,False
928,Kept,Introvert,False
929,Kept,Introvert,False
930,Kept,Introvert,False
931,Kept,Extrovert,False
932,Kept,Introvert,False
933,Removed,Extrovert,False
934,Kept,Extrovert,False
935,Kept,Extrovert,False
936,Kept,Introvert,True
937,Kept,Extrovert,False
938,Kept,Extrovert,False
939,Removed,Extrovert,True
940,Kept,Extrovert,False
941,Kept,Extrovert,False
942,Kept,Extrovert,True
943,Kept,Extrovert,True
944,Kept,Extrovert,False
945,Removed,Extrovert,False
946,Removed,Extrovert,False
947,Removed,Extrovert,False
948,Kept,Extrovert,False
949,Kept,Introvert,False
950,Kept,Introvert,True
951,Kept,Extrovert,False
952,Kept,Extrovert,True
953,Kept,Extrovert,False
954,Kept,Extrovert,False
955,Kept,Extrovert,False
956,Kept,Extrovert,False
957,Removed,Extrovert,False
958,Kept,Extrovert,False
959,Kept,Extrovert,False
960,Removed,Extrovert,False
961,Kept,Extrovert,False
962,Kept,Extrovert,False
963,Kept,Extrovert,False
964,Removed,Introvert,False
965,Kept,Introvert,True
966,Kept,Extrovert,False
967,Kept,Extrovert,True
968,Kept,Extrovert,True
969,Kept,Introvert,False
970,Kept,Extrovert,False
971,Kept,Extrovert,False
972,Kept,Introvert,True
973,Kept,Extrovert,False
974,Removed,Extrovert,True
975,Removed,Extrovert,False
976,Removed,Extrovert,True
977,Kept,Extrovert,False
978,Kept,Extrovert,False
979,Kept,Extrovert,False
980,Kept,Extrovert,True
981,Kept,Introvert,False
982,Kept,Extrovert,False
983,Kept,Extrovert,True
984,Kept,Introvert,False
985,Kept,Extrovert,False
986,Kept,Extrovert,False
987,Kept,Extrovert,False
988,Kept,Extrovert,False
989,Removed,Introvert,False
990,Removed,Introvert,False
991,Kept,Extrovert,True
992,Kept,Extrovert,False
993,Kept,Extrovert,False
994,Removed,Introvert,True
995,Kept,Extrovert,False
996,Kept,Introvert,True
997,Kept,Extrovert,True
998,Kept,Introvert,False
999,Removed,Extrovert,True
1000,Kept,Extrovert,False
1001,Kept,Extrovert,False
1002,Removed,Extrovert,False
1003,Kept,Extrovert,False
1004,Kept,Extrovert,True
1005,Kept,Introvert,True
1006,Kept,Extrovert,False
1007,Kept,Introvert,False
1008,Kept,Extrovert,False
1009,Kept,Extrovert,False
1010,Kept,Extrovert,False
1011,Kept,Extrovert,False
1012,Kept,Extrovert,True
1013,Removed,Extrovert,False
1014,Kept,Extrovert,True
1015,Removed,Introvert,True
