id,adv_prob,Personality
400,0.0,Extrovert
401,0.115,Extrovert
402,0.02,Introvert
403,0.14,Extrovert
404,0.0425,Extrovert
405,0.011666666666666665,Extrovert
406,0.20615873015873012,Extrovert
407,0.0,Introvert
408,0.03,Extrovert
409,0.07,Extrovert
410,0.041333333333333326,Extrovert
411,0.0275,Extrovert
412,0.0725,Extrovert
413,0.43258333333333326,Extrovert
414,0.056666666666666664,Extrovert
415,0.04,Extrovert
416,0.29450000000000004,Extrovert
417,0.18133333333333332,Extrovert
418,0.0,Introvert
419,0.04833333333333333,Extrovert
420,0.08349999999999999,Extrovert
421,0.10683333333333332,Extrovert
422,0.13,Introvert
423,0.004,Extrovert
424,0.07828571428571429,Extrovert
425,0.0,Extrovert
426,0.09,Introvert
427,0.6469047619047618,Extrovert
428,0.0075,Extrovert
429,0.019166666666666665,Extrovert
430,0.2,Extrovert
431,0.09166666666666666,Extrovert
432,0.16,Introvert
433,0.0,Extrovert
434,0.01,Introvert
435,0.02011904761904762,Extrovert
436,0.05333333333333333,Extrovert
437,0.01,Extrovert
438,0.2,Introvert
439,0.04083333333333334,Extrovert
440,0.0,Extrovert
441,0.10333333333333332,Extrovert
442,0.2,Introvert
443,0.13,Extrovert
444,0.003333333333333333,Extrovert
445,0.03333333333333333,Extrovert
446,0.02,Extrovert
447,0.12333333333333332,Extrovert
448,0.05416666666666667,Extrovert
449,0.15,Introvert
450,0.05,Extrovert
451,0.1475,Extrovert
452,0.08,Introvert
453,0.05,Extrovert
454,0.05333333333333333,Extrovert
455,0.14666666666666667,Extrovert
456,0.07333333333333333,Extrovert
457,0.07,Introvert
458,0.03933333333333333,Extrovert
459,0.0,Extrovert
460,0.013333333333333332,Extrovert
461,0.02,Extrovert
462,0.02,Introvert
463,0.07166666666666666,Extrovert
464,0.08,Introvert
465,0.09,Extrovert
466,0.01,Extrovert
467,0.04404761904761905,Extrovert
468,0.03,Introvert
469,0.45592857142857157,Extrovert
470,0.11,Introvert
471,0.2,Introvert
472,0.0,Introvert
473,0.03166666666666666,Extrovert
474,0.08166666666666668,Extrovert
475,0.06333333333333334,Extrovert
476,0.03,Extrovert
477,0.05,Extrovert
478,0.29445707070707067,Extrovert
479,0.49990476190476196,Extrovert
480,0.09,Introvert
481,0.5743333333333334,Extrovert
482,0.01,Extrovert
483,0.19666666666666668,Extrovert
484,0.06428571428571428,Extrovert
485,0.04,Extrovert
486,0.025,Extrovert
487,0.02,Introvert
488,0.06085714285714285,Extrovert
489,0.11,Extrovert
490,0.31171428571428567,Extrovert
491,0.1,Introvert
492,0.02,Extrovert
493,0.08,Introvert
494,0.0225,Extrovert
495,0.04,Introvert
496,0.27,Introvert
497,0.2,Extrovert
498,0.14,Introvert
499,0.16583333333333333,Extrovert
500,0.11366666666666667,Extrovert
501,0.13,Introvert
502,0.045,Extrovert
503,0.11,Extrovert
504,0.12,Extrovert
505,0.005,Extrovert
506,0.02283333333333333,Extrovert
507,0.07,Introvert
508,0.013333333333333334,Extrovert
509,0.013452380952380952,Extrovert
510,0.0,Extrovert
511,0.17,Introvert
512,0.0195,Extrovert
513,0.47211136086136074,Extrovert
514,0.21,Introvert
515,0.05,Extrovert
516,0.08833333333333332,Extrovert
517,0.005,Extrovert
518,0.02,Extrovert
519,0.34837301587301583,Extrovert
520,0.29,Introvert
521,0.07,Extrovert
522,0.15221031746031743,Extrovert
523,0.11,Extrovert
524,0.035,Extrovert
525,0.11,Extrovert
526,0.05,Extrovert
527,0.6382380952380952,Extrovert
528,0.11,Introvert
529,0.08,Introvert
530,0.1733333333333333,Extrovert
531,0.48100000000000004,Extrovert
532,0.01625,Extrovert
533,0.33831746031746024,Extrovert
534,0.21833333333333332,Extrovert
535,0.01,Extrovert
536,0.11,Introvert
537,0.07,Extrovert
538,0.11083333333333333,Extrovert
539,0.06135714285714286,Extrovert
540,0.06,Introvert
541,0.044000000000000004,Introvert
542,0.07666666666666666,Extrovert
543,0.0,Extrovert
544,0.18,Introvert
545,0.16,Introvert
546,0.06,Introvert
547,0.06,Introvert
548,0.1,Introvert
549,0.12,Introvert
550,0.329642857142857,Extrovert
551,0.08,Introvert
552,0.05242857142857143,Extrovert
553,0.5278333333333333,Extrovert
554,0.16333333333333336,Extrovert
555,0.2016630591630591,Extrovert
556,0.12,Introvert
557,0.2157272727272727,Extrovert
558,0.11,Extrovert
559,0.04,Extrovert
560,0.12,Introvert
561,0.005,Introvert
562,0.051666666666666666,Extrovert
563,0.4275753968253969,Extrovert
564,0.14,Introvert
565,0.07,Introvert
566,0.028333333333333332,Extrovert
567,0.3252857142857142,Extrovert
568,0.024,Extrovert
569,0.38134523809523807,Extrovert
570,0.0,Extrovert
571,0.055,Extrovert
572,0.12283333333333331,Extrovert
573,0.015,Extrovert
574,0.03666666666666667,Extrovert
575,0.003333333333333333,Extrovert
576,0.04,Introvert
577,0.09,Introvert
578,0.05333333333333333,Extrovert
579,0.023333333333333334,Introvert
580,0.04,Extrovert
581,0.13333333333333336,Extrovert
582,0.15,Introvert
583,0.02,Introvert
584,0.0175,Extrovert
585,0.01,Extrovert
586,0.06,Introvert
587,0.13333333333333333,Extrovert
588,0.0,Extrovert
589,0.07,Extrovert
590,0.028666666666666667,Extrovert
591,0.0,Extrovert
592,0.16,Extrovert
593,0.03,Extrovert
594,0.295,Extrovert
595,0.49683333333333335,Extrovert
596,0.01,Extrovert
597,0.0,Introvert
598,0.02,Extrovert
599,0.0,Extrovert
600,0.04,Extrovert
601,0.4751666666666667,Extrovert
602,0.35790476190476184,Extrovert
603,0.48883333333333323,Extrovert
604,0.162,Extrovert
605,0.48345238095238097,Extrovert
606,0.5326666666666666,Extrovert
607,0.22333333333333336,Introvert
608,0.05833333333333333,Extrovert
609,0.017499999999999998,Extrovert
610,0.09,Extrovert
611,0.05083333333333333,Extrovert
612,0.0,Extrovert
613,0.0,Extrovert
614,0.11,Introvert
615,0.004,Extrovert
616,0.03666666666666667,Extrovert
617,0.09416666666666668,Extrovert
618,0.002,Extrovert
619,0.10950000000000001,Extrovert
620,0.33358333333333334,Extrovert
621,0.09,Introvert
622,0.07,Extrovert
623,0.45204761904761903,Extrovert
624,0.266079365079365,Extrovert
625,0.07,Extrovert
626,0.01,Introvert
627,0.1373333333333333,Extrovert
628,0.0,Introvert
629,0.3490992063492063,Extrovert
630,0.011666666666666665,Extrovert
631,0.06666666666666667,Extrovert
632,0.13,Introvert
633,0.01,Extrovert
634,0.07083333333333335,Extrovert
635,0.295,Introvert
636,0.3119523809523808,Extrovert
637,0.31486904761904755,Extrovert
638,0.07,Introvert
639,0.0,Extrovert
640,0.01,Extrovert
641,0.05452380952380952,Extrovert
642,0.0,Extrovert
643,0.015,Extrovert
644,0.054000000000000006,Extrovert
645,0.006,Extrovert
646,0.22333333333333336,Extrovert
647,0.12,Extrovert
648,0.13483333333333333,Extrovert
649,0.09,Extrovert
650,0.08,Introvert
651,0.05,Extrovert
652,0.05,Extrovert
653,0.003333333333333333,Extrovert
654,0.1165,Extrovert
655,0.011666666666666665,Extrovert
656,0.0,Extrovert
657,0.07,Introvert
658,0.045,Extrovert
659,0.01,Extrovert
660,0.07,Introvert
661,0.07,Introvert
662,0.15,Extrovert
663,0.05,Extrovert
664,0.02333333333333333,Extrovert
665,0.05,Introvert
666,0.15766666666666665,Extrovert
667,0.03,Extrovert
668,0.008333333333333333,Extrovert
669,0.051666666666666666,Extrovert
670,0.01,Extrovert
671,0.07833333333333332,Extrovert
672,0.005,Extrovert
673,0.04,Extrovert
674,0.13133333333333333,Extrovert
675,0.1356190476190476,Extrovert
676,0.16416666666666666,Extrovert
677,0.08,Introvert
678,0.45255952380952386,Extrovert
679,0.0,Introvert
680,0.13,Extrovert
681,0.14,Introvert
682,0.0975,Extrovert
683,0.2,Introvert
684,0.16,Extrovert
685,0.04,Extrovert
686,0.44849999999999995,Extrovert
687,0.5000000000000001,Extrovert
688,0.06,Introvert
689,0.105,Extrovert
690,0.08,Introvert
691,0.15,Introvert
692,0.2353769841269841,Extrovert
693,0.0,Extrovert
694,0.023333333333333334,Extrovert
695,0.01,Extrovert
696,0.04,Extrovert
697,0.46754761904761916,Extrovert
698,0.18866666666666665,Extrovert
699,0.0525,Introvert
700,0.09,Introvert
701,0.14,Extrovert
702,0.09,Introvert
703,0.01,Introvert
704,0.01,Extrovert
705,0.17,Introvert
706,0.5102380952380953,Extrovert
707,0.08,Extrovert
708,0.006999999999999999,Extrovert
709,0.2326875901875901,Extrovert
710,0.23066666666666666,Extrovert
711,0.3224404761904761,Extrovert
712,0.165,Extrovert
713,0.1,Introvert
714,0.17,Extrovert
715,0.01,Introvert
716,0.04666666666666667,Extrovert
717,0.05,Introvert
718,0.22,Introvert
719,0.030833333333333334,Extrovert
720,0.0,Extrovert
721,0.02,Extrovert
722,0.0,Introvert
723,0.5265714285714285,Extrovert
724,0.095,Extrovert
725,0.506952380952381,Extrovert
726,0.0,Extrovert
727,0.17,Extrovert
728,0.15933333333333333,Extrovert
729,0.08,Extrovert
730,0.05,Introvert
731,0.4623333333333333,Extrovert
732,0.5217499999999999,Extrovert
733,0.02,Introvert
734,0.49050000000000005,Extrovert
735,0.06625,Extrovert
736,0.5121666666666667,Extrovert
737,0.07,Extrovert
738,0.07,Introvert
739,0.1,Extrovert
740,0.3981666666666665,Extrovert
741,0.07366666666666666,Extrovert
742,0.04499999999999999,Extrovert
743,0.02333333333333333,Extrovert
744,0.32569047619047625,Extrovert
745,0.1575,Extrovert
746,0.01,Introvert
747,0.13,Introvert
748,0.03983333333333333,Extrovert
749,0.1,Introvert
750,0.01,Extrovert
751,0.01,Extrovert
752,0.08,Extrovert
753,0.19,Extrovert
754,0.07,Extrovert
755,0.005833333333333333,Extrovert
756,0.023333333333333334,Extrovert
757,0.1226926406926407,Extrovert
758,0.3935714285714285,Extrovert
759,0.09,Extrovert
760,0.04,Extrovert
761,0.040999999999999995,Extrovert
762,0.2,Introvert
763,0.3599523809523808,Extrovert
764,0.1991666666666667,Extrovert
765,0.06,Introvert
766,0.0375,Extrovert
767,0.0,Extrovert
768,0.03,Extrovert
769,0.09166666666666667,Extrovert
770,0.05066666666666666,Extrovert
771,0.09,Extrovert
772,0.0,Extrovert
773,0.01,Extrovert
774,0.2941190476190476,Extrovert
775,0.26,Introvert
776,0.4109484126984127,Extrovert
777,0.03,Extrovert
778,0.08357142857142857,Extrovert
779,0.013333333333333332,Extrovert
780,0.0,Extrovert
781,0.11716666666666667,Introvert
782,0.2033333333333333,Extrovert
783,0.085,Extrovert
784,0.05,Introvert
785,0.04,Extrovert
786,0.1454563492063492,Extrovert
787,0.12,Introvert
788,0.05733333333333333,Extrovert
789,0.0325,Extrovert
790,0.04,Extrovert
791,0.028666666666666667,Extrovert
792,0.006666666666666666,Extrovert
793,0.03,Introvert
794,0.17,Introvert
795,0.17,Extrovert
796,0.06,Introvert
797,0.03785714285714285,Extrovert
798,0.025,Extrovert
799,0.04,Extrovert
800,0.03,Introvert
801,0.14666666666666667,Extrovert
802,0.075,Introvert
803,0.3630595238095237,Extrovert
804,0.0,Extrovert
805,0.0,Extrovert
806,0.039,Extrovert
807,0.0125,Extrovert
808,0.027000000000000003,Extrovert
809,0.01,Introvert
810,0.2961746031746031,Extrovert
811,0.07833333333333332,Extrovert
812,0.02,Introvert
813,0.04,Introvert
814,0.003333333333333333,Extrovert
815,0.0425,Extrovert
816,0.23,Introvert
817,0.035,Extrovert
818,0.07,Introvert
819,0.09,Introvert
820,0.005,Extrovert
821,0.21,Introvert
822,0.0075,Extrovert
823,0.08,Introvert
824,0.09666666666666668,Extrovert
825,0.025,Extrovert
826,0.07,Introvert
827,0.0,Introvert
828,0.013333333333333332,Extrovert
829,0.0,Extrovert
830,0.15,Introvert
831,0.05,Introvert
832,0.5373095238095239,Extrovert
833,0.065,Extrovert
834,0.054523809523809516,Extrovert
835,0.0,Extrovert
836,0.003333333333333333,Extrovert
837,0.008333333333333333,Extrovert
838,0.07,Introvert
839,0.04166666666666667,Extrovert
840,0.5988452380952382,Extrovert
841,0.0,Introvert
842,0.03833333333333333,Extrovert
843,0.04,Extrovert
844,0.4436785714285714,Extrovert
845,0.0875,Extrovert
846,0.03,Introvert
847,0.02,Introvert
848,0.055,Extrovert
849,0.09,Introvert
850,0.07833333333333334,Extrovert
851,0.0,Extrovert
852,0.04,Introvert
853,0.11033333333333335,Extrovert
854,0.015,Extrovert
855,0.105,Extrovert
856,0.09,Introvert
857,0.13,Introvert
858,0.06,Introvert
859,0.09,Introvert
860,0.03166666666666666,Extrovert
861,0.11,Introvert
862,0.13511904761904764,Extrovert
863,0.08533333333333332,Extrovert
864,0.0,Extrovert
865,0.08197619047619047,Extrovert
866,0.03833333333333333,Extrovert
867,0.02,Extrovert
868,0.15,Introvert
869,0.11,Extrovert
870,0.05,Extrovert
871,0.486,Extrovert
872,0.003333333333333333,Extrovert
873,0.124,Extrovert
874,0.052333333333333336,Extrovert
875,0.05,Extrovert
876,0.02,Extrovert
877,0.11916666666666666,Introvert
878,0.04,Extrovert
879,0.018000000000000002,Extrovert
880,0.11,Extrovert
881,0.09433333333333334,Extrovert
882,0.3388809523809524,Extrovert
883,0.43316666666666664,Extrovert
884,0.025,Extrovert
885,0.02,Introvert
886,0.34443586968586976,Extrovert
887,0.08,Extrovert
888,0.1132857142857143,Extrovert
889,0.0,Extrovert
890,0.11,Introvert
891,0.0345,Extrovert
892,0.02,Extrovert
893,0.14,Extrovert
894,0.055,Extrovert
895,0.09476190476190477,Extrovert
896,0.0,Extrovert
897,0.17433333333333334,Extrovert
898,0.01,Extrovert
899,0.06619047619047619,Extrovert
900,0.0,Extrovert
901,0.05019047619047619,Extrovert
902,0.04,Introvert
903,0.010190476190476189,Extrovert
904,0.003333333333333333,Extrovert
905,0.026666666666666665,Extrovert
906,0.0,Extrovert
907,0.08166666666666668,Extrovert
908,0.44783333333333325,Extrovert
909,0.14,Introvert
910,0.14,Introvert
911,0.057999999999999996,Extrovert
912,0.3316904761904762,Extrovert
913,0.11,Introvert
914,0.0025,Extrovert
915,0.07583333333333334,Extrovert
916,0.1,Introvert
917,0.052333333333333336,Extrovert
918,0.16812445887445887,Extrovert
919,0.09,Extrovert
920,0.025,Extrovert
921,0.18866378066378064,Extrovert
922,0.3,Extrovert
923,0.016666666666666666,Extrovert
924,0.05633333333333334,Extrovert
925,0.018206349206349205,Extrovert
926,0.1255,Extrovert
927,0.14,Introvert
928,0.06,Introvert
929,0.02,Introvert
930,0.12,Introvert
931,0.132,Extrovert
932,0.13,Introvert
933,0.005,Extrovert
934,0.1,Extrovert
935,0.022000000000000002,Extrovert
936,0.01,Introvert
937,0.19983333333333334,Extrovert
938,0.02,Extrovert
939,0.018206349206349205,Extrovert
940,0.02,Extrovert
941,0.04166666666666667,Extrovert
942,0.03133333333333333,Extrovert
943,0.6049761904761906,Extrovert
944,0.08507142857142858,Extrovert
945,0.08,Extrovert
946,0.08,Extrovert
947,0.02,Extrovert
948,0.0,Extrovert
949,0.15,Introvert
950,0.04333333333333333,Introvert
951,0.0925,Extrovert
952,0.04,Extrovert
953,0.06766666666666667,Extrovert
954,0.013333333333333332,Extrovert
955,0.43057142857142866,Extrovert
956,0.034,Extrovert
957,0.3276190476190476,Extrovert
958,0.0,Extrovert
959,0.06,Extrovert
960,0.04083333333333334,Extrovert
961,0.06,Extrovert
962,0.17666666666666664,Extrovert
963,0.16,Extrovert
964,0.23,Introvert
965,0.11,Introvert
966,0.16583333333333336,Extrovert
967,0.023333333333333334,Extrovert
968,0.0,Extrovert
969,0.05,Introvert
970,0.0,Extrovert
971,0.01,Extrovert
972,0.16,Introvert
973,0.04,Extrovert
974,0.0,Extrovert
975,0.04,Extrovert
976,0.012333333333333333,Extrovert
977,0.0625,Extrovert
978,0.03,Extrovert
979,0.40164285714285713,Extrovert
980,0.35552380952380935,Extrovert
981,0.14,Introvert
982,0.1,Extrovert
983,0.06,Extrovert
984,0.14,Introvert
985,0.4103571428571429,Extrovert
986,0.11,Extrovert
987,0.043166666666666666,Extrovert
988,0.04,Extrovert
989,0.12,Introvert
990,0.14,Introvert
991,0.003333333333333333,Extrovert
992,0.017333333333333333,Extrovert
993,0.052000000000000005,Extrovert
994,0.02,Introvert
995,0.0,Extrovert
996,0.06,Introvert
997,0.43221428571428566,Extrovert
998,0.01,Introvert
999,0.5197261904761905,Extrovert
1000,0.3519285714285713,Extrovert
1001,0.006666666666666666,Extrovert
1002,0.018500000000000003,Extrovert
1003,0.2415331890331889,Extrovert
1004,0.3404126984126982,Extrovert
1005,0.14,Introvert
1006,0.0625,Extrovert
1007,0.12,Introvert
1008,0.0,Extrovert
1009,0.21,Extrovert
1010,0.0,Extrovert
1011,0.04138095238095238,Extrovert
1012,0.06316666666666668,Extrovert
1013,0.0925,Extrovert
1014,0.025,Extrovert
1015,0.12,Introvert
1016,0.10833333333333334,Extrovert
