Time_spent_Alone,Social_event_attendance,Friends_circle_size,Going_outside,Post_frequency,Personality,Stage_fear,Drained_after_socializing,id
2,6,9,5,6,Extrovert,No,No,100116
2,6,10,5,6,Extrovert,No,No,100117
7,2,4,2,2,Introvert,Yes,Yes,100118
2,6,9,5,6,Extrovert,No,No,100119
2,6,10,5,6,Extrovert,No,No,100120
7,2,4,2,2,Introvert,Yes,Yes,100121
2,6,9,5,6,Extrovert,No,No,100122
7,2,4,2,2,Introvert,Yes,Yes,100123
2,6,9,5,6,Extrovert,No,No,100124
7,2,4,2,2,Introvert,Yes,Yes,100125
2,6,9,5,6,Extrovert,No,No,100126
2,6,9,5,6,Extrovert,No,No,100127
7,2,3,2,2,Introvert,Yes,Yes,100128
2,6,9,5,6,Extrovert,No,No,100129
2,6,9,5,6,Extrovert,No,No,100130
7,2,4,2,2,Introvert,Yes,Yes,100131
7,2,4,2,2,Introvert,Yes,Yes,100132
7,2,4,2,2,Introvert,Yes,Yes,100133
2,6,9,5,6,Extrovert,No,No,100134
7,2,4,2,2,Introvert,Yes,Yes,100135
7,2,4,2,2,Introvert,Yes,Yes,100136
7,2,4,2,2,Introvert,Yes,Yes,100137
2,6,10,5,6,Extrovert,No,No,100138
7,2,4,2,2,Introvert,Yes,Yes,100139
7,2,3,2,2,Introvert,Yes,Yes,100140
2,6,10,5,6,Extrovert,No,No,100141
2,6,9,5,6,Extrovert,No,No,100142
7,2,3,2,2,Introvert,Yes,Yes,100143
2,6,10,5,6,Extrovert,No,No,100144
2,6,9,5,6,Extrovert,No,No,100145
7,2,3,2,2,Introvert,Yes,Yes,100146
2,6,9,5,6,Extrovert,No,No,100147
7,2,4,2,2,Introvert,Yes,Yes,100148
7,2,3,2,1,Introvert,Yes,Yes,100149
2,6,9,5,6,Extrovert,No,No,100150
2,6,9,5,6,Extrovert,No,No,100151
2,6,9,5,6,Extrovert,No,No,100152
2,6,9,5,6,Extrovert,No,No,100153
2,6,10,5,6,Extrovert,No,No,100154
2,6,9,5,6,Extrovert,No,No,100155
2,6,9,5,6,Extrovert,No,No,100156
2,6,10,5,6,Extrovert,No,No,100157
2,6,9,5,6,Extrovert,No,No,100158
2,6,10,5,6,Extrovert,No,No,100159
2,6,10,5,6,Extrovert,No,No,100160
2,6,9,5,6,Extrovert,No,No,100161
2,6,10,5,6,Extrovert,No,No,100162
7,2,4,2,2,Introvert,Yes,Yes,100163
2,6,10,5,6,Extrovert,No,No,100164
2,6,9,5,6,Extrovert,No,No,100165
7,2,4,2,2,Introvert,Yes,Yes,100166
7,2,4,2,2,Introvert,Yes,Yes,100167
2,6,10,5,6,Extrovert,No,No,100168
7,2,4,2,2,Introvert,Yes,Yes,100169
2,6,9,5,6,Extrovert,No,No,100170
2,6,9,5,6,Extrovert,No,No,100171
2,6,10,5,6,Extrovert,No,No,100172
7,2,4,2,2,Introvert,Yes,Yes,100173
2,6,9,5,6,Extrovert,No,No,100174
2,6,9,5,6,Extrovert,No,No,100175
7,2,3,2,2,Introvert,Yes,Yes,100176
7,2,4,2,2,Introvert,Yes,Yes,100177
7,2,4,2,2,Introvert,Yes,Yes,100178
7,2,4,2,2,Introvert,Yes,Yes,100179
7,2,4,2,2,Introvert,Yes,Yes,100180
2,6,10,5,6,Extrovert,No,No,100181
7,2,4,2,2,Introvert,Yes,Yes,100182
2,6,9,5,6,Extrovert,No,No,100183
2,6,9,5,6,Extrovert,No,No,100184
7,2,4,2,2,Introvert,Yes,Yes,100185
2,6,10,5,6,Extrovert,No,No,100186
2,6,9,5,6,Extrovert,No,No,100187
2,6,9,5,6,Extrovert,No,No,100188
7,2,4,2,2,Introvert,Yes,Yes,100189
2,6,9,5,6,Extrovert,No,No,100190
7,2,3,2,2,Introvert,Yes,Yes,100191
2,6,9,5,6,Extrovert,No,No,100192
2,6,9,5,6,Extrovert,No,No,100193
2,6,10,5,6,Extrovert,No,No,100194
7,2,4,2,2,Introvert,Yes,Yes,100195
2,6,10,5,6,Extrovert,No,No,100196
2,6,9,5,6,Extrovert,No,No,100197
7,2,4,2,2,Introvert,Yes,Yes,100198
7,2,4,2,2,Introvert,Yes,Yes,100199
7,2,4,2,2,Introvert,Yes,Yes,100200
2,6,9,5,6,Extrovert,No,No,100201
2,6,10,5,6,Extrovert,No,No,100202
7,2,4,2,2,Introvert,Yes,Yes,100203
2,6,10,5,6,Extrovert,No,No,100204
2,6,9,5,6,Extrovert,No,No,100205
7,2,4,2,2,Introvert,Yes,Yes,100206
2,6,10,5,6,Extrovert,No,No,100207
7,2,4,2,2,Introvert,Yes,Yes,100208
2,6,9,5,6,Extrovert,No,No,100209
7,2,3,2,2,Introvert,Yes,Yes,100210
2,6,9,5,6,Extrovert,No,No,100211
7,2,3,2,2,Introvert,Yes,Yes,100212
2,6,9,5,6,Extrovert,No,No,100213
2,6,9,5,6,Extrovert,No,No,100214
2,6,9,5,6,Extrovert,No,No,100215
2,6,10,5,6,Extrovert,No,No,100216
2,6,10,5,6,Extrovert,No,No,100217
7,2,3,2,2,Introvert,Yes,Yes,100218
2,6,10,5,6,Extrovert,No,No,100219
7,2,4,2,2,Introvert,Yes,Yes,100220
7,2,4,2,2,Introvert,Yes,Yes,100221
2,6,10,5,6,Extrovert,No,No,100222
7,2,4,2,2,Introvert,Yes,Yes,100223
2,6,10,5,6,Extrovert,No,No,100224
2,6,9,5,6,Extrovert,No,No,100225
2,6,10,5,6,Extrovert,No,No,100226
2,6,9,5,6,Extrovert,No,No,100227
2,6,9,5,6,Extrovert,No,No,100228
7,2,3,2,2,Introvert,Yes,Yes,100229
2,6,10,5,6,Extrovert,No,No,100230
7,2,4,2,2,Introvert,Yes,Yes,100231
2,6,9,5,6,Extrovert,No,No,100232
7,2,4,2,2,Introvert,Yes,Yes,100233
2,6,10,5,6,Extrovert,No,No,100234
7,2,4,2,2,Introvert,Yes,Yes,100235
7,2,3,2,2,Introvert,Yes,Yes,100236
7,2,4,2,2,Introvert,Yes,Yes,100237
7,2,3,2,2,Introvert,Yes,Yes,100238
7,2,4,2,2,Introvert,Yes,Yes,100239
7,2,3,2,2,Introvert,Yes,Yes,100240
2,6,9,5,6,Extrovert,No,No,100241
7,2,4,2,2,Introvert,Yes,Yes,100242
2,6,10,5,6,Extrovert,No,No,100243
2,6,10,5,6,Extrovert,No,No,100244
7,2,4,2,2,Introvert,Yes,Yes,100245
2,6,9,5,6,Extrovert,No,No,100246
7,2,4,2,2,Introvert,Yes,Yes,100247
2,6,10,5,6,Extrovert,No,No,100248
7,2,4,2,2,Introvert,Yes,Yes,100249
2,6,9,5,6,Extrovert,No,No,100250
7,2,4,2,2,Introvert,Yes,Yes,100251
2,6,9,5,6,Extrovert,No,No,100252
2,6,9,5,6,Extrovert,No,No,100253
2,6,9,5,6,Extrovert,No,No,100254
7,2,4,2,2,Introvert,Yes,Yes,100255
2,6,9,5,6,Extrovert,No,No,100256
2,6,9,5,6,Extrovert,No,No,100257
7,2,4,2,2,Introvert,Yes,Yes,100258
2,6,9,5,6,Extrovert,No,No,100259
7,2,4,2,2,Introvert,Yes,Yes,100260
2,6,9,5,6,Extrovert,No,No,100261
2,6,10,5,6,Extrovert,No,No,100262
2,6,9,5,6,Extrovert,No,No,100263
7,2,3,2,2,Introvert,Yes,Yes,100264
2,6,9,5,6,Extrovert,No,No,100265
2,6,10,5,6,Extrovert,No,No,100266
7,2,4,2,2,Introvert,Yes,Yes,100267
7,2,3,2,2,Introvert,Yes,Yes,100268
2,6,9,5,6,Extrovert,No,No,100269
2,6,10,5,6,Extrovert,No,No,100270
2,6,9,5,6,Extrovert,No,No,100271
2,6,9,5,6,Extrovert,No,No,100272
7,2,4,2,2,Introvert,Yes,Yes,100273
7,2,3,2,2,Introvert,Yes,Yes,100274
7,2,4,2,2,Introvert,Yes,Yes,100275
7,2,3,2,2,Introvert,Yes,Yes,100276
7,2,4,2,2,Introvert,Yes,Yes,100277
2,6,9,5,6,Extrovert,No,No,100278
2,6,9,5,6,Extrovert,No,No,100279
7,2,3,2,2,Introvert,Yes,Yes,100280
2,6,9,5,6,Extrovert,No,No,100281
2,6,10,5,6,Extrovert,No,No,100282
2,6,9,5,6,Extrovert,No,No,100283
2,6,10,5,6,Extrovert,No,No,100284
2,6,10,5,6,Extrovert,No,No,100285
7,2,4,2,2,Introvert,Yes,Yes,100286
7,2,4,2,2,Introvert,Yes,Yes,100287
7,2,3,2,2,Introvert,Yes,Yes,100288
2,6,9,5,6,Extrovert,No,No,100289
7,2,3,2,2,Introvert,Yes,Yes,100290
2,6,10,5,6,Extrovert,No,No,100291
7,2,4,2,2,Introvert,Yes,Yes,100292
7,2,3,2,2,Introvert,Yes,Yes,100293
7,2,4,2,2,Introvert,Yes,Yes,100294
2,6,10,5,6,Extrovert,No,No,100295
7,2,4,2,2,Introvert,Yes,Yes,100296
7,2,4,2,2,Introvert,Yes,Yes,100297
2,6,10,5,6,Extrovert,No,No,100298
2,6,9,5,6,Extrovert,No,No,100299
2,6,10,5,6,Extrovert,No,No,100300
7,2,4,2,2,Introvert,Yes,Yes,100301
2,6,10,5,6,Extrovert,No,No,100302
7,2,4,2,2,Introvert,Yes,Yes,100303
2,6,10,5,6,Extrovert,No,No,100304
2,6,10,5,6,Extrovert,No,No,100305
2,6,10,5,6,Extrovert,No,No,100306
7,2,4,2,2,Introvert,Yes,Yes,100307
7,2,4,2,2,Introvert,Yes,Yes,100308
2,6,9,5,6,Extrovert,No,No,100309
2,6,10,5,6,Extrovert,No,No,100310
7,2,4,2,2,Introvert,Yes,Yes,100311
2,6,9,5,6,Extrovert,No,No,100312
7,2,4,2,2,Introvert,Yes,Yes,100313
2,6,9,5,6,Extrovert,No,No,100314
7,2,4,2,2,Introvert,Yes,Yes,100315
7,2,4,2,2,Introvert,Yes,Yes,100316
7,2,3,1,1,Introvert,Yes,Yes,100317
2,6,10,5,6,Extrovert,No,No,100318
2,6,9,5,6,Extrovert,No,No,100319
7,2,4,2,2,Introvert,Yes,Yes,100320
2,6,9,5,6,Extrovert,No,No,100321
7,2,4,2,2,Introvert,Yes,Yes,100322
7,2,4,2,2,Introvert,Yes,Yes,100323
7,2,3,2,2,Introvert,Yes,Yes,100324
7,2,3,2,2,Introvert,Yes,Yes,100325
2,6,10,5,6,Extrovert,No,No,100326
7,2,4,2,2,Introvert,Yes,Yes,100327
7,2,4,2,2,Introvert,Yes,Yes,100328
2,6,10,5,6,Extrovert,No,No,100329
2,6,10,5,6,Extrovert,No,No,100330
7,2,4,2,2,Introvert,Yes,Yes,100331
7,2,3,2,2,Introvert,Yes,Yes,100332
7,2,3,2,2,Introvert,Yes,Yes,100333
7,2,3,2,2,Introvert,Yes,Yes,100334
7,2,4,2,2,Introvert,Yes,Yes,100335
2,6,10,5,6,Extrovert,No,No,100336
7,2,4,2,2,Introvert,Yes,Yes,100337
7,2,3,2,2,Introvert,Yes,Yes,100338
2,6,9,5,6,Extrovert,No,No,100339
2,6,9,5,6,Extrovert,No,No,100340
7,2,3,2,2,Introvert,Yes,Yes,100341
2,6,9,5,6,Extrovert,No,No,100342
2,6,10,5,6,Extrovert,No,No,100343
2,6,9,5,6,Extrovert,No,No,100344
7,2,4,2,2,Introvert,Yes,Yes,100345
7,2,4,2,2,Introvert,Yes,Yes,100346
7,2,4,2,2,Introvert,Yes,Yes,100347
2,6,9,5,6,Extrovert,No,No,100348
2,6,10,5,6,Extrovert,No,No,100349
2,6,9,5,6,Extrovert,No,No,100350
7,2,3,2,2,Introvert,Yes,Yes,100351
7,2,3,2,2,Introvert,Yes,Yes,100352
7,2,4,2,2,Introvert,Yes,Yes,100353
2,6,9,5,6,Extrovert,No,No,100354
2,6,9,5,6,Extrovert,No,No,100355
2,6,10,5,6,Extrovert,No,No,100356
2,6,9,5,6,Extrovert,No,No,100357
7,2,3,2,2,Introvert,Yes,Yes,100358
2,6,10,5,6,Extrovert,No,No,100359
2,6,10,5,6,Extrovert,No,No,100360
7,2,4,2,2,Introvert,Yes,Yes,100361
7,2,3,2,2,Introvert,Yes,Yes,100362
7,2,4,2,2,Introvert,Yes,Yes,100363
2,6,9,5,6,Extrovert,No,No,100364
7,2,4,2,2,Introvert,Yes,Yes,100365
7,2,4,2,2,Introvert,Yes,Yes,100366
2,6,10,5,6,Extrovert,No,No,100367
7,2,4,2,2,Introvert,Yes,Yes,100368
7,2,3,2,2,Introvert,Yes,Yes,100369
2,6,9,5,6,Extrovert,No,No,100370
7,2,3,2,2,Introvert,Yes,Yes,100371
2,6,9,5,6,Extrovert,No,No,100372
7,2,4,2,2,Introvert,Yes,Yes,100373
2,6,9,5,6,Extrovert,No,No,100374
7,2,3,2,2,Introvert,Yes,Yes,100375
2,6,10,5,6,Extrovert,No,No,100376
7,2,4,2,2,Introvert,Yes,Yes,100377
2,6,9,5,6,Extrovert,No,No,100378
2,6,9,5,6,Extrovert,No,No,100379
2,6,9,5,6,Extrovert,No,No,100380
2,6,9,5,6,Extrovert,No,No,100381
7,2,3,2,2,Introvert,Yes,Yes,100382
7,2,3,2,2,Introvert,Yes,Yes,100383
7,2,4,2,2,Introvert,Yes,Yes,100384
2,6,9,5,6,Extrovert,No,No,100385
7,2,4,2,2,Introvert,Yes,Yes,100386
7,2,4,2,2,Introvert,Yes,Yes,100387
6,2,4,2,2,Introvert,Yes,Yes,100388
6,3,4,2,2,Introvert,Yes,Yes,100389
7,2,4,2,2,Introvert,Yes,Yes,100390
2,6,9,5,6,Extrovert,No,No,100391
2,6,9,5,6,Extrovert,No,No,100392
2,6,10,5,6,Extrovert,No,No,100393
7,2,3,2,2,Introvert,Yes,Yes,100394
7,2,4,2,2,Introvert,Yes,Yes,100395
7,2,3,2,2,Introvert,Yes,Yes,100396
7,2,4,2,2,Introvert,Yes,Yes,100397
2,6,9,5,6,Extrovert,No,No,100398
7,2,3,2,2,Introvert,Yes,Yes,100399
2,6,10,5,6,Extrovert,No,No,100400
2,6,10,5,6,Extrovert,No,No,100401
2,6,9,5,6,Extrovert,No,No,100402
2,6,10,5,6,Extrovert,No,No,100403
2,6,9,5,6,Extrovert,No,No,100404
2,6,10,5,6,Extrovert,No,No,100405
2,6,9,5,6,Extrovert,No,No,100406
7,2,4,2,2,Introvert,Yes,Yes,100407
2,6,9,5,6,Extrovert,No,No,100408
7,2,4,2,2,Introvert,Yes,Yes,100409
2,6,10,5,6,Extrovert,No,No,100410
7,2,4,2,2,Introvert,Yes,Yes,100411
2,6,10,5,6,Extrovert,No,No,100412
7,2,4,2,2,Introvert,Yes,Yes,100413
7,2,4,2,2,Introvert,Yes,Yes,100414
7,2,3,2,1,Introvert,Yes,Yes,100415
2,6,9,5,6,Extrovert,No,No,100416
2,6,9,5,6,Extrovert,No,No,100417
7,2,3,2,2,Introvert,Yes,Yes,100418
7,2,4,2,2,Introvert,Yes,Yes,100419
2,6,10,5,6,Extrovert,No,No,100420
2,6,10,5,6,Extrovert,No,No,100421
2,6,9,5,6,Extrovert,No,No,100422
7,2,4,2,2,Introvert,Yes,Yes,100423
2,6,9,5,6,Extrovert,No,No,100424
7,2,4,2,2,Introvert,Yes,Yes,100425
7,2,3,2,1,Introvert,Yes,Yes,100426
7,2,4,2,2,Introvert,Yes,Yes,100427
7,2,3,2,2,Introvert,Yes,Yes,100428
2,6,9,5,6,Extrovert,No,No,100429
7,2,4,2,2,Introvert,Yes,Yes,100430
2,6,9,5,6,Extrovert,No,No,100431
7,2,4,2,2,Introvert,Yes,Yes,100432
7,2,3,2,2,Introvert,Yes,Yes,100433
2,6,10,5,6,Extrovert,No,No,100434
2,6,10,5,6,Extrovert,No,No,100435
2,6,9,5,6,Extrovert,No,No,100436
2,6,10,5,6,Extrovert,No,No,100437
7,2,4,2,2,Introvert,Yes,Yes,100438
2,6,9,5,6,Extrovert,No,No,100439
7,2,3,2,2,Introvert,Yes,Yes,100440
7,2,4,2,2,Introvert,Yes,Yes,100441
7,2,4,2,2,Introvert,Yes,Yes,100442
7,2,4,2,2,Introvert,Yes,Yes,100443
2,6,10,5,6,Extrovert,No,No,100444
2,6,10,5,6,Extrovert,No,No,100445
7,2,3,2,2,Introvert,Yes,Yes,100446
7,2,4,2,2,Introvert,Yes,Yes,100447
2,6,9,5,6,Extrovert,No,No,100448
7,2,3,2,2,Introvert,Yes,Yes,100449
2,6,9,5,6,Extrovert,No,No,100450
2,6,9,5,6,Extrovert,No,No,100451
7,2,4,2,2,Introvert,Yes,Yes,100452
7,2,4,2,2,Introvert,Yes,Yes,100453
2,6,9,5,6,Extrovert,No,No,100454
7,2,3,2,2,Introvert,Yes,Yes,100455
2,6,9,5,6,Extrovert,No,No,100456
7,2,4,2,2,Introvert,Yes,Yes,100457
2,6,10,5,6,Extrovert,No,No,100458
7,2,4,2,2,Introvert,Yes,Yes,100459
7,2,3,2,2,Introvert,Yes,Yes,100460
7,2,4,2,2,Introvert,Yes,Yes,100461
2,6,10,5,6,Extrovert,No,No,100462
2,6,9,5,6,Extrovert,No,No,100463
6,2,4,2,2,Introvert,Yes,Yes,100464
7,2,4,2,2,Introvert,Yes,Yes,100465
2,6,10,5,6,Extrovert,No,No,100466
2,6,9,5,6,Extrovert,No,No,100467
2,6,9,5,6,Extrovert,No,No,100468
2,6,10,5,6,Extrovert,No,No,100469
7,2,3,2,2,Introvert,Yes,Yes,100470
2,6,9,5,6,Extrovert,No,No,100471
7,2,3,2,2,Introvert,Yes,Yes,100472
7,2,4,2,2,Introvert,Yes,Yes,100473
7,2,3,2,2,Introvert,Yes,Yes,100474
7,2,3,2,2,Introvert,Yes,Yes,100475
2,6,10,5,6,Extrovert,No,No,100476
2,6,10,5,6,Extrovert,No,No,100477
7,2,4,2,2,Introvert,Yes,Yes,100478
2,6,9,5,6,Extrovert,No,No,100479
2,6,9,5,6,Extrovert,No,No,100480
2,6,10,5,6,Extrovert,No,No,100481
2,6,10,5,6,Extrovert,No,No,100482
2,6,9,5,6,Extrovert,No,No,100483
2,6,9,5,6,Extrovert,No,No,100484
7,2,4,2,2,Introvert,Yes,Yes,100485
7,2,3,2,2,Introvert,Yes,Yes,100486
7,2,4,2,2,Introvert,Yes,Yes,100487
2,6,10,5,6,Extrovert,No,No,100488
2,6,10,5,6,Extrovert,No,No,100489
2,6,9,5,6,Extrovert,No,No,100490
2,6,9,5,6,Extrovert,No,No,100491
7,2,4,2,2,Introvert,Yes,Yes,100492
7,2,4,2,2,Introvert,Yes,Yes,100493
7,2,3,2,2,Introvert,Yes,Yes,100494
2,6,9,5,6,Extrovert,No,No,100495
2,6,10,5,6,Extrovert,No,No,100496
7,2,4,2,2,Introvert,Yes,Yes,100497
2,6,9,5,6,Extrovert,No,No,100498
2,6,9,5,6,Extrovert,No,No,100499
2,6,9,5,6,Extrovert,No,No,100500
2,6,9,5,6,Extrovert,No,No,100501
7,2,4,2,2,Introvert,Yes,Yes,100502
2,6,9,5,6,Extrovert,No,No,100503
7,2,4,2,2,Introvert,Yes,Yes,100504
7,2,4,2,2,Introvert,Yes,Yes,100505
2,6,9,5,6,Extrovert,No,No,100506
7,2,4,2,2,Introvert,Yes,Yes,100507
2,6,9,5,6,Extrovert,No,No,100508
7,2,4,2,2,Introvert,Yes,Yes,100509
2,6,10,5,6,Extrovert,No,No,100510
2,6,10,5,6,Extrovert,No,No,100511
7,2,4,2,2,Introvert,Yes,Yes,100512
7,2,4,2,2,Introvert,Yes,Yes,100513
2,6,9,5,6,Extrovert,No,No,100514
2,6,9,5,6,Extrovert,No,No,100515
2,6,9,5,6,Extrovert,No,No,100516
2,6,10,5,6,Extrovert,No,No,100517
7,2,4,2,2,Introvert,Yes,Yes,100518
7,2,3,2,2,Introvert,Yes,Yes,100519
2,6,9,5,6,Extrovert,No,No,100520
7,2,3,2,2,Introvert,Yes,Yes,100521
2,6,10,5,6,Extrovert,No,No,100522
7,2,3,2,2,Introvert,Yes,Yes,100523
7,2,4,2,2,Introvert,Yes,Yes,100524
7,2,4,2,2,Introvert,Yes,Yes,100525
7,2,3,2,2,Introvert,Yes,Yes,100526
2,6,9,5,6,Extrovert,No,No,100527
7,2,4,2,2,Introvert,Yes,Yes,100528
2,6,9,5,6,Extrovert,No,No,100529
7,2,4,2,2,Introvert,Yes,Yes,100530
6,3,4,2,2,Introvert,Yes,Yes,100531
7,2,3,2,2,Introvert,Yes,Yes,100532
2,6,10,5,6,Extrovert,No,No,100533
7,2,4,2,2,Introvert,Yes,Yes,100534
7,2,4,2,2,Introvert,Yes,Yes,100535
2,6,9,5,6,Extrovert,No,No,100536
7,2,4,2,2,Introvert,Yes,Yes,100537
7,2,4,2,2,Introvert,Yes,Yes,100538
7,2,3,2,2,Introvert,Yes,Yes,100539
7,2,3,2,2,Introvert,Yes,Yes,100540
7,2,4,2,2,Introvert,Yes,Yes,100541
2,6,10,5,6,Extrovert,No,No,100542
7,2,4,2,2,Introvert,Yes,Yes,100543
2,6,10,5,6,Extrovert,No,No,100544
7,2,4,2,2,Introvert,Yes,Yes,100545
2,6,10,5,6,Extrovert,No,No,100546
2,6,9,5,6,Extrovert,No,No,100547
2,6,9,5,6,Extrovert,No,No,100548
2,6,9,5,6,Extrovert,No,No,100549
2,6,9,5,6,Extrovert,No,No,100550
7,2,4,2,2,Introvert,Yes,Yes,100551
7,2,4,2,2,Introvert,Yes,Yes,100552
2,6,9,5,6,Extrovert,No,No,100553
2,6,9,5,6,Extrovert,No,No,100554
2,6,9,5,6,Extrovert,No,No,100555
7,2,4,2,2,Introvert,Yes,Yes,100556
7,2,3,2,2,Introvert,Yes,Yes,100557
7,2,4,2,2,Introvert,Yes,Yes,100558
7,2,4,2,2,Introvert,Yes,Yes,100559
2,6,10,5,6,Extrovert,No,No,100560
7,2,3,2,2,Introvert,Yes,Yes,100561
2,6,9,5,6,Extrovert,No,No,100562
7,2,4,2,2,Introvert,Yes,Yes,100563
2,6,9,5,6,Extrovert,No,No,100564
2,7,9,5,6,Extrovert,No,No,100565
