id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
42,2.0,No,6.0,6.0,No,5.0,6.0,Extrovert
43,0.0,No,9.0,4.0,,11.0,5.0,Extrovert
45,2.0,No,6.0,,No,11.0,4.0,Extrovert
46,2.0,No,7.0,3.0,No,12.0,6.0,Extrovert
47,0.0,No,4.0,7.0,No,14.0,3.0,Extrovert
48,10.0,Yes,1.0,,Yes,5.0,1.0,Introvert
49,2.0,No,9.0,7.0,No,6.0,4.0,Extrovert
50,7.0,Yes,,2.0,Yes,5.0,2.0,Introvert
52,0.0,No,7.0,6.0,No,7.0,3.0,Extrovert
53,6.0,Yes,3.0,3.0,Yes,5.0,0.0,Introvert
56,3.0,No,9.0,7.0,No,12.0,3.0,Extrovert
57,4.0,No,6.0,3.0,No,8.0,7.0,Extrovert
59,2.0,,8.0,6.0,No,14.0,9.0,Extrovert
60,9.0,Yes,4.0,0.0,Yes,2.0,0.0,Introvert
61,0.0,No,9.0,3.0,No,4.0,5.0,Extrovert
62,,No,6.0,6.0,No,13.0,4.0,Extrovert
64,9.0,,2.0,2.0,Yes,1.0,0.0,Introvert
65,4.0,,0.0,2.0,Yes,0.0,2.0,Introvert
66,5.0,No,8.0,4.0,No,8.0,10.0,Extrovert
67,3.0,No,,7.0,No,6.0,9.0,Extrovert
68,7.0,Yes,0.0,2.0,,3.0,0.0,Introvert
69,4.0,Yes,1.0,,Yes,0.0,2.0,Introvert
70,3.0,No,4.0,3.0,No,6.0,10.0,Extrovert
71,0.0,No,7.0,4.0,,15.0,9.0,Extrovert
72,2.0,No,8.0,6.0,No,10.0,8.0,Extrovert
73,1.0,No,7.0,5.0,No,12.0,4.0,Extrovert
74,2.0,No,6.0,6.0,No,5.0,3.0,Extrovert
78,0.0,No,5.0,4.0,No,6.0,7.0,Extrovert
79,1.0,No,4.0,4.0,No,12.0,8.0,Extrovert
80,2.0,No,9.0,4.0,No,6.0,,Extrovert
81,4.0,No,8.0,5.0,No,8.0,6.0,Extrovert
82,0.0,No,6.0,7.0,No,14.0,3.0,Extrovert
83,9.0,Yes,,3.0,Yes,4.0,0.0,Introvert
84,3.0,No,7.0,6.0,No,4.0,6.0,Extrovert
85,0.0,No,6.0,4.0,No,6.0,6.0,Extrovert
86,1.0,No,8.0,3.0,No,10.0,6.0,Extrovert
87,11.0,,0.0,2.0,Yes,1.0,2.0,Introvert
88,3.0,No,6.0,4.0,No,,,Extrovert
89,2.0,,5.0,5.0,No,5.0,3.0,Extrovert
91,3.0,No,3.0,7.0,No,4.0,9.0,Extrovert
92,10.0,,1.0,2.0,Yes,1.0,0.0,Introvert
94,2.0,No,5.0,6.0,No,7.0,8.0,Extrovert
95,0.0,No,8.0,6.0,No,6.0,5.0,Extrovert
96,9.0,,1.0,3.0,Yes,4.0,3.0,Introvert
97,4.0,Yes,3.0,0.0,Yes,0.0,1.0,Introvert
98,0.0,No,6.0,5.0,No,11.0,7.0,Extrovert
100,1.0,No,6.0,5.0,No,7.0,3.0,Extrovert
103,0.0,No,6.0,6.0,No,11.0,6.0,Extrovert
104,,No,6.0,6.0,No,8.0,8.0,Extrovert
105,8.0,Yes,0.0,2.0,,1.0,0.0,Introvert
106,2.0,No,10.0,4.0,No,10.0,3.0,Extrovert
107,,No,4.0,4.0,No,5.0,6.0,Extrovert
109,2.0,No,6.0,5.0,No,6.0,6.0,Extrovert
110,0.0,No,9.0,4.0,No,14.0,6.0,Extrovert
111,3.0,No,4.0,3.0,No,14.0,7.0,Extrovert
113,0.0,No,10.0,4.0,No,9.0,8.0,Extrovert
115,2.0,No,4.0,4.0,No,12.0,4.0,Extrovert
116,1.0,No,4.0,5.0,No,8.0,6.0,Extrovert
118,3.0,No,4.0,6.0,No,12.0,7.0,Extrovert
119,10.0,Yes,,2.0,Yes,4.0,0.0,Introvert
120,1.0,No,9.0,3.0,No,9.0,,Extrovert
121,9.0,Yes,3.0,,Yes,0.0,1.0,Introvert
123,7.0,Yes,3.0,1.0,Yes,5.0,,Introvert
125,1.0,No,6.0,3.0,No,9.0,9.0,Extrovert
126,3.0,No,4.0,7.0,No,7.0,3.0,Extrovert
128,1.0,No,4.0,6.0,No,8.0,8.0,Extrovert
129,,No,4.0,4.0,No,15.0,3.0,Extrovert
130,10.0,Yes,0.0,,Yes,0.0,0.0,Introvert
131,2.0,No,9.0,4.0,No,15.0,8.0,Extrovert
132,,No,8.0,5.0,No,15.0,7.0,Extrovert
133,0.0,,5.0,7.0,No,7.0,9.0,Extrovert
134,3.0,No,4.0,6.0,No,13.0,6.0,Extrovert
135,3.0,No,9.0,6.0,No,11.0,9.0,Extrovert
136,1.0,No,9.0,3.0,No,12.0,9.0,Extrovert
137,0.0,No,3.0,3.0,No,4.0,8.0,Extrovert
138,3.0,No,8.0,7.0,No,,3.0,Extrovert
140,4.0,No,7.0,6.0,No,11.0,6.0,Extrovert
141,2.0,No,8.0,6.0,No,11.0,6.0,Extrovert
142,1.0,No,7.0,4.0,No,12.0,4.0,Extrovert
143,1.0,No,3.0,6.0,No,12.0,9.0,Extrovert
144,3.0,No,4.0,4.0,No,9.0,9.0,Extrovert
145,1.0,No,4.0,5.0,No,8.0,,Extrovert
146,1.0,No,7.0,4.0,No,14.0,,Extrovert
147,7.0,Yes,3.0,1.0,Yes,3.0,,Introvert
148,1.0,,9.0,3.0,No,11.0,7.0,Extrovert
150,6.0,Yes,,1.0,Yes,3.0,1.0,Introvert
151,7.0,,0.0,2.0,Yes,0.0,2.0,Introvert
152,,Yes,1.0,2.0,Yes,3.0,3.0,Introvert
153,0.0,,6.0,3.0,No,10.0,3.0,Extrovert
155,10.0,Yes,0.0,1.0,Yes,,2.0,Introvert
157,3.0,No,5.0,5.0,,7.0,6.0,Extrovert
159,10.0,,3.0,0.0,Yes,2.0,0.0,Introvert
160,0.0,No,9.0,5.0,No,15.0,,Extrovert
161,,No,6.0,5.0,No,10.0,3.0,Extrovert
162,0.0,No,7.0,7.0,No,15.0,3.0,Extrovert
164,2.0,No,9.0,3.0,No,14.0,3.0,Extrovert
165,6.0,Yes,,0.0,Yes,,1.0,Introvert
166,1.0,No,7.0,3.0,,8.0,8.0,Extrovert
167,3.0,No,6.0,4.0,No,13.0,4.0,Extrovert
170,1.0,No,,3.0,No,12.0,6.0,Extrovert
171,2.0,No,7.0,4.0,No,11.0,,Extrovert
172,2.0,No,8.0,6.0,No,11.0,3.0,Extrovert
173,2.0,No,9.0,6.0,No,12.0,7.0,Extrovert
174,3.0,No,10.0,3.0,No,4.0,8.0,Extrovert
176,,No,7.0,3.0,No,8.0,5.0,Extrovert
177,4.0,No,8.0,,No,11.0,7.0,Extrovert
178,3.0,No,3.0,6.0,,4.0,8.0,Extrovert
180,8.0,Yes,3.0,,Yes,5.0,1.0,Introvert
181,1.0,No,9.0,3.0,No,8.0,4.0,Extrovert
182,11.0,Yes,4.0,1.0,Yes,1.0,0.0,Introvert
185,3.0,No,4.0,4.0,No,10.0,5.0,Extrovert
186,1.0,No,7.0,4.0,No,6.0,,Extrovert
188,0.0,No,6.0,4.0,No,15.0,8.0,Extrovert
189,6.0,Yes,3.0,,Yes,4.0,1.0,Introvert
191,0.0,No,9.0,,No,12.0,4.0,Extrovert
192,2.0,No,5.0,5.0,No,13.0,3.0,Extrovert
194,2.0,No,9.0,6.0,No,7.0,9.0,Extrovert
195,0.0,No,7.0,,No,12.0,4.0,Extrovert
196,3.0,No,4.0,5.0,No,5.0,5.0,Extrovert
197,1.0,No,4.0,6.0,No,12.0,5.0,Extrovert
198,2.0,No,9.0,3.0,No,10.0,9.0,Extrovert
199,3.0,No,8.0,4.0,No,,3.0,Extrovert
201,0.0,No,7.0,4.0,,,6.0,Extrovert
202,2.0,No,5.0,5.0,No,13.0,9.0,Extrovert
204,0.0,No,6.0,5.0,,14.0,3.0,Extrovert
205,7.0,Yes,3.0,1.0,Yes,,3.0,Introvert
206,1.0,No,8.0,3.0,No,10.0,9.0,Extrovert
208,0.0,No,4.0,,No,10.0,4.0,Extrovert
209,0.0,,8.0,3.0,No,15.0,9.0,Extrovert
212,1.0,No,8.0,3.0,No,7.0,,Extrovert
213,8.0,,2.0,1.0,Yes,4.0,1.0,Introvert
215,1.0,No,6.0,,No,8.0,9.0,Extrovert
216,5.0,Yes,1.0,2.0,,2.0,1.0,Introvert
217,,No,8.0,,No,15.0,4.0,Extrovert
218,3.0,,9.0,6.0,No,9.0,6.0,Extrovert
219,,No,9.0,7.0,No,6.0,8.0,Extrovert
220,9.0,,1.0,0.0,Yes,0.0,0.0,Introvert
221,1.0,No,8.0,5.0,No,,8.0,Extrovert
222,0.0,No,10.0,4.0,No,11.0,4.0,Extrovert
223,3.0,No,5.0,4.0,No,8.0,6.0,Extrovert
224,3.0,No,8.0,6.0,No,13.0,5.0,Extrovert
225,2.0,No,5.0,4.0,No,7.0,6.0,Extrovert
226,4.0,No,7.0,4.0,No,6.0,7.0,Extrovert
227,3.0,No,9.0,7.0,No,9.0,4.0,Extrovert
228,1.0,No,8.0,4.0,No,10.0,3.0,Extrovert
229,0.0,No,7.0,,No,,9.0,Extrovert
230,3.0,,5.0,4.0,No,11.0,9.0,Extrovert
231,0.0,No,5.0,3.0,No,,3.0,Extrovert
232,11.0,Yes,1.0,0.0,Yes,4.0,2.0,Introvert
233,2.0,No,8.0,4.0,No,5.0,9.0,Extrovert
234,11.0,Yes,2.0,1.0,Yes,,,Introvert
235,2.0,No,4.0,3.0,No,5.0,10.0,Extrovert
236,9.0,Yes,1.0,0.0,,3.0,0.0,Introvert
237,0.0,No,4.0,6.0,No,9.0,6.0,Extrovert
238,11.0,Yes,2.0,2.0,Yes,1.0,,Introvert
240,0.0,,5.0,5.0,No,13.0,3.0,Extrovert
241,2.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
243,3.0,No,6.0,7.0,No,10.0,6.0,Extrovert
244,4.0,No,4.0,5.0,No,9.0,4.0,Extrovert
246,3.0,No,5.0,4.0,No,15.0,6.0,Extrovert
247,,No,9.0,6.0,No,11.0,5.0,Extrovert
250,1.0,No,9.0,4.0,No,12.0,6.0,Extrovert
251,1.0,No,7.0,6.0,No,5.0,3.0,Extrovert
253,1.0,No,10.0,3.0,No,14.0,8.0,Extrovert
254,,No,8.0,4.0,No,11.0,7.0,Extrovert
256,0.0,No,9.0,4.0,No,13.0,6.0,Extrovert
257,,No,5.0,6.0,No,12.0,4.0,Extrovert
258,2.0,No,6.0,6.0,No,13.0,5.0,Extrovert
259,10.0,Yes,2.0,1.0,Yes,1.0,3.0,Introvert
260,,Yes,0.0,0.0,Yes,,1.0,Introvert
261,3.0,No,6.0,4.0,No,9.0,8.0,Extrovert
262,7.0,Yes,,,Yes,4.0,2.0,Introvert
263,6.0,Yes,,0.0,Yes,,2.0,Introvert
264,2.0,No,9.0,6.0,No,4.0,3.0,Extrovert
266,2.0,No,8.0,3.0,No,14.0,7.0,Extrovert
267,8.0,Yes,3.0,3.0,Yes,3.0,2.0,Introvert
269,1.0,No,9.0,4.0,No,11.0,,Extrovert
270,0.0,No,7.0,7.0,No,10.0,7.0,Extrovert
273,1.0,No,5.0,3.0,No,4.0,7.0,Extrovert
274,3.0,No,5.0,6.0,No,7.0,9.0,Extrovert
276,6.0,Yes,0.0,0.0,,1.0,0.0,Introvert
277,4.0,Yes,0.0,0.0,Yes,,0.0,Introvert
278,3.0,No,8.0,3.0,No,14.0,6.0,Extrovert
279,8.0,Yes,4.0,1.0,Yes,3.0,0.0,Introvert
280,3.0,No,9.0,7.0,No,14.0,3.0,Extrovert
281,2.0,No,6.0,5.0,No,9.0,3.0,Extrovert
282,,No,6.0,5.0,No,8.0,5.0,Extrovert
283,8.0,,3.0,0.0,Yes,5.0,1.0,Introvert
284,7.0,Yes,3.0,,Yes,4.0,,Introvert
287,3.0,No,6.0,7.0,No,11.0,3.0,Extrovert
288,10.0,Yes,3.0,2.0,,5.0,2.0,Introvert
289,5.0,Yes,,2.0,Yes,1.0,3.0,Introvert
290,1.0,No,5.0,6.0,No,6.0,4.0,Extrovert
291,0.0,No,5.0,4.0,No,6.0,4.0,Extrovert
292,0.0,No,6.0,6.0,No,12.0,3.0,Extrovert
293,10.0,Yes,3.0,0.0,,5.0,0.0,Introvert
294,10.0,,3.0,1.0,Yes,2.0,1.0,Introvert
297,1.0,No,3.0,6.0,No,10.0,5.0,Extrovert
298,4.0,No,8.0,3.0,No,12.0,5.0,Extrovert
299,2.0,No,9.0,6.0,No,13.0,10.0,Extrovert
300,2.0,No,4.0,6.0,No,9.0,7.0,Extrovert
302,,No,6.0,4.0,No,11.0,,Extrovert
303,2.0,No,8.0,5.0,No,15.0,9.0,Extrovert
304,5.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
305,1.0,No,4.0,4.0,No,12.0,5.0,Extrovert
306,0.0,No,,3.0,No,12.0,4.0,Extrovert
308,1.0,No,5.0,3.0,No,10.0,6.0,Extrovert
310,1.0,No,5.0,5.0,No,13.0,8.0,Extrovert
311,0.0,No,4.0,3.0,No,9.0,3.0,Extrovert
314,3.0,No,10.0,7.0,No,13.0,7.0,Extrovert
315,2.0,No,6.0,3.0,No,10.0,4.0,Extrovert
316,2.0,,6.0,4.0,No,13.0,7.0,Extrovert
319,7.0,Yes,1.0,,Yes,4.0,0.0,Introvert
325,2.0,No,9.0,6.0,No,14.0,9.0,Extrovert
326,3.0,No,3.0,3.0,No,6.0,5.0,Extrovert
328,2.0,No,,4.0,No,4.0,5.0,Extrovert
329,2.0,No,5.0,3.0,No,10.0,,Extrovert
331,2.0,No,7.0,3.0,No,8.0,8.0,Extrovert
332,2.0,No,4.0,3.0,No,8.0,9.0,Extrovert
333,0.0,No,6.0,3.0,No,11.0,7.0,Extrovert
334,3.0,No,5.0,5.0,No,7.0,7.0,Extrovert
335,3.0,No,9.0,5.0,No,,3.0,Extrovert
336,2.0,No,5.0,6.0,No,9.0,8.0,Extrovert
337,0.0,No,9.0,7.0,No,9.0,7.0,Extrovert
339,1.0,No,5.0,6.0,No,4.0,5.0,Extrovert
340,0.0,No,8.0,4.0,No,9.0,5.0,Extrovert
341,2.0,No,9.0,3.0,No,5.0,7.0,Extrovert
343,2.0,No,5.0,3.0,No,11.0,,Extrovert
344,1.0,No,5.0,4.0,No,11.0,,Extrovert
345,0.0,No,5.0,7.0,No,14.0,7.0,Extrovert
346,10.0,Yes,,,Yes,5.0,1.0,Introvert
348,1.0,No,6.0,6.0,No,14.0,9.0,Extrovert
349,1.0,No,,3.0,No,6.0,4.0,Extrovert
350,2.0,No,5.0,5.0,,14.0,3.0,Extrovert
351,0.0,No,8.0,5.0,No,14.0,10.0,Extrovert
352,4.0,No,10.0,4.0,No,7.0,7.0,Extrovert
353,3.0,No,6.0,7.0,No,9.0,4.0,Extrovert
354,,No,10.0,4.0,No,12.0,5.0,Extrovert
355,2.0,No,5.0,3.0,No,,3.0,Extrovert
356,2.0,No,7.0,3.0,No,15.0,7.0,Extrovert
357,4.0,No,5.0,5.0,No,13.0,8.0,Extrovert
358,2.0,,8.0,4.0,No,15.0,6.0,Extrovert
359,3.0,No,8.0,6.0,No,,6.0,Extrovert
360,4.0,Yes,3.0,2.0,Yes,2.0,3.0,Introvert
361,2.0,No,6.0,5.0,No,3.0,9.0,Extrovert
362,2.0,No,4.0,3.0,No,4.0,3.0,Extrovert
364,0.0,No,7.0,7.0,No,4.0,3.0,Extrovert
365,2.0,No,8.0,5.0,No,13.0,3.0,Extrovert
366,1.0,No,4.0,,No,5.0,9.0,Extrovert
367,,No,5.0,5.0,No,10.0,5.0,Extrovert
370,5.0,Yes,2.0,2.0,,,2.0,Introvert
371,1.0,No,3.0,5.0,No,6.0,6.0,Extrovert
372,4.0,Yes,3.0,3.0,Yes,4.0,3.0,Introvert
373,8.0,Yes,1.0,,Yes,5.0,1.0,Introvert
374,2.0,No,,5.0,No,3.0,9.0,Extrovert
375,11.0,Yes,0.0,2.0,Yes,,0.0,Introvert
376,2.0,No,3.0,4.0,No,6.0,7.0,Extrovert
377,,No,4.0,4.0,No,5.0,9.0,Extrovert
378,0.0,No,5.0,4.0,No,10.0,5.0,Extrovert
379,2.0,No,9.0,4.0,No,10.0,9.0,Extrovert
381,,No,6.0,3.0,No,7.0,8.0,Extrovert
382,0.0,No,9.0,7.0,No,7.0,5.0,Extrovert
383,2.0,No,8.0,7.0,No,10.0,6.0,Extrovert
386,10.0,Yes,3.0,1.0,Yes,5.0,,Introvert
387,1.0,No,4.0,4.0,No,10.0,9.0,Extrovert
389,0.0,No,5.0,7.0,No,10.0,,Extrovert
390,0.0,No,5.0,5.0,No,7.0,7.0,Extrovert
391,3.0,,7.0,6.0,No,14.0,7.0,Extrovert
392,,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
393,3.0,No,5.0,5.0,No,8.0,9.0,Extrovert
394,0.0,No,7.0,3.0,No,15.0,4.0,Extrovert
395,0.0,No,6.0,5.0,No,7.0,3.0,Extrovert
397,3.0,No,3.0,5.0,No,5.0,,Extrovert
399,1.0,No,5.0,5.0,No,12.0,,Extrovert
400,2.0,No,,3.0,No,5.0,3.0,Extrovert
401,1.0,No,7.0,5.0,No,9.0,10.0,Extrovert
402,7.0,Yes,3.0,1.0,Yes,1.0,3.0,Introvert
404,3.0,No,6.0,4.0,No,14.0,4.0,Extrovert
405,,No,8.0,7.0,No,9.0,7.0,Extrovert
406,,No,5.0,5.0,No,10.0,9.0,Extrovert
409,0.0,No,9.0,6.0,No,5.0,7.0,Extrovert
410,0.0,No,7.0,5.0,No,10.0,7.0,Extrovert
411,3.0,No,5.0,6.0,No,10.0,5.0,Extrovert
413,0.0,,8.0,3.0,No,7.0,4.0,Extrovert
414,1.0,No,4.0,5.0,No,5.0,6.0,Extrovert
415,1.0,No,4.0,7.0,No,9.0,4.0,Extrovert
416,3.0,No,5.0,,No,11.0,6.0,Extrovert
417,4.0,No,7.0,3.0,No,6.0,8.0,Extrovert
418,9.0,Yes,2.0,2.0,,2.0,1.0,Introvert
419,0.0,No,7.0,3.0,No,11.0,5.0,Extrovert
420,1.0,No,,4.0,No,7.0,10.0,Extrovert
421,3.0,No,6.0,7.0,No,8.0,9.0,Extrovert
422,8.0,Yes,,2.0,,2.0,2.0,Introvert
423,3.0,No,5.0,4.0,No,,8.0,Extrovert
424,0.0,No,4.0,7.0,No,9.0,4.0,Extrovert
425,1.0,No,6.0,5.0,,5.0,5.0,Extrovert
426,7.0,Yes,3.0,1.0,Yes,4.0,1.0,Introvert
427,1.0,No,7.0,,No,10.0,8.0,Extrovert
428,2.0,No,9.0,,No,11.0,5.0,Extrovert
429,2.0,No,4.0,4.0,No,12.0,7.0,Extrovert
430,1.0,No,7.0,5.0,No,5.0,7.0,Extrovert
433,2.0,No,4.0,5.0,No,9.0,,Extrovert
435,3.0,No,6.0,,No,13.0,4.0,Extrovert
437,0.0,No,4.0,4.0,No,7.0,6.0,Extrovert
438,,Yes,1.0,1.0,Yes,2.0,0.0,Introvert
439,3.0,No,,5.0,No,4.0,4.0,Extrovert
440,2.0,No,7.0,5.0,No,,8.0,Extrovert
442,11.0,Yes,0.0,3.0,Yes,2.0,0.0,Introvert
443,4.0,Yes,1.0,7.0,Yes,2.0,7.0,Extrovert
444,1.0,No,6.0,6.0,No,13.0,,Extrovert
445,2.0,No,4.0,5.0,No,12.0,10.0,Extrovert
447,4.0,No,6.0,5.0,No,8.0,4.0,Extrovert
449,9.0,Yes,0.0,0.0,,2.0,1.0,Introvert
450,2.0,,3.0,3.0,No,4.0,6.0,Extrovert
451,3.0,No,6.0,6.0,No,8.0,10.0,Extrovert
452,,Yes,2.0,0.0,Yes,0.0,1.0,Introvert
453,0.0,No,3.0,4.0,No,6.0,6.0,Extrovert
454,3.0,No,,5.0,No,6.0,3.0,Extrovert
456,0.0,No,3.0,6.0,No,4.0,5.0,Extrovert
457,4.0,Yes,2.0,2.0,Yes,0.0,2.0,Introvert
459,2.0,No,,5.0,No,6.0,8.0,Extrovert
460,2.0,No,9.0,4.0,No,14.0,4.0,Extrovert
461,2.0,No,5.0,7.0,No,12.0,5.0,Extrovert
465,4.0,No,4.0,7.0,No,10.0,4.0,Extrovert
466,2.0,No,10.0,6.0,No,9.0,9.0,Extrovert
467,3.0,,9.0,5.0,No,7.0,8.0,Extrovert
469,3.0,No,5.0,5.0,No,5.0,,Extrovert
470,11.0,Yes,1.0,,Yes,2.0,1.0,Introvert
471,6.0,Yes,,,Yes,1.0,2.0,Introvert
472,6.0,Yes,2.0,1.0,Yes,5.0,,Introvert
475,0.0,No,4.0,7.0,No,9.0,5.0,Extrovert
476,4.0,No,9.0,7.0,No,11.0,8.0,Extrovert
478,3.0,No,7.0,5.0,No,,5.0,Extrovert
479,1.0,No,5.0,4.0,No,13.0,4.0,Extrovert
481,3.0,No,7.0,4.0,No,11.0,4.0,Extrovert
482,1.0,No,4.0,7.0,No,4.0,3.0,Extrovert
483,2.0,No,9.0,7.0,No,4.0,7.0,Extrovert
484,0.0,No,8.0,6.0,No,6.0,9.0,Extrovert
485,1.0,No,9.0,,No,9.0,3.0,Extrovert
486,1.0,,9.0,5.0,No,10.0,7.0,Extrovert
487,7.0,Yes,1.0,2.0,Yes,5.0,3.0,Introvert
488,1.0,No,4.0,3.0,No,7.0,6.0,Extrovert
489,0.0,No,9.0,5.0,No,5.0,8.0,Extrovert
490,0.0,,4.0,3.0,No,14.0,,Extrovert
493,7.0,Yes,3.0,2.0,Yes,4.0,1.0,Introvert
494,,No,9.0,3.0,No,14.0,4.0,Extrovert
495,7.0,,,1.0,Yes,2.0,2.0,Introvert
496,5.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
497,1.0,No,8.0,4.0,No,3.0,8.0,Extrovert
499,1.0,No,6.0,5.0,No,5.0,7.0,Extrovert
500,1.0,No,6.0,7.0,No,6.0,4.0,Extrovert
501,9.0,Yes,0.0,3.0,Yes,4.0,0.0,Introvert
502,0.0,,9.0,5.0,No,9.0,3.0,Extrovert
504,3.0,No,10.0,7.0,No,7.0,8.0,Extrovert
505,2.0,No,9.0,5.0,No,8.0,9.0,Extrovert
506,3.0,No,9.0,4.0,No,6.0,,Extrovert
509,,No,7.0,5.0,No,9.0,9.0,Extrovert
510,1.0,No,5.0,5.0,No,11.0,9.0,Extrovert
511,5.0,Yes,,0.0,Yes,0.0,0.0,Introvert
512,,No,9.0,6.0,No,11.0,8.0,Extrovert
513,2.0,No,4.0,4.0,No,11.0,,Extrovert
515,3.0,No,4.0,3.0,No,7.0,6.0,Extrovert
516,3.0,No,7.0,5.0,No,3.0,4.0,Extrovert
517,1.0,No,,5.0,No,7.0,7.0,Extrovert
520,6.0,Yes,0.0,3.0,Yes,5.0,,Introvert
521,0.0,No,4.0,4.0,No,10.0,10.0,Extrovert
522,1.0,No,5.0,4.0,No,8.0,,Extrovert
523,1.0,No,4.0,7.0,No,5.0,7.0,Extrovert
524,2.0,No,9.0,6.0,No,15.0,4.0,Extrovert
525,3.0,No,3.0,5.0,No,8.0,6.0,Extrovert
526,3.0,No,8.0,,No,15.0,6.0,Extrovert
527,0.0,No,5.0,4.0,No,12.0,7.0,Extrovert
528,4.0,Yes,2.0,3.0,Yes,1.0,0.0,Introvert
529,,Yes,0.0,2.0,Yes,4.0,2.0,Introvert
530,3.0,No,10.0,5.0,No,6.0,3.0,Extrovert
534,4.0,No,9.0,4.0,No,10.0,3.0,Extrovert
535,1.0,No,,5.0,No,14.0,8.0,Extrovert
538,3.0,No,8.0,3.0,No,7.0,8.0,Extrovert
541,7.0,Yes,2.0,2.0,,3.0,1.0,Introvert
542,1.0,,6.0,6.0,No,9.0,4.0,Extrovert
543,0.0,No,7.0,6.0,No,15.0,,Extrovert
545,6.0,Yes,2.0,2.0,,4.0,0.0,Introvert
548,5.0,Yes,0.0,,Yes,2.0,,Introvert
549,10.0,Yes,0.0,,Yes,4.0,,Introvert
550,1.0,No,5.0,6.0,No,,3.0,Extrovert
551,4.0,Yes,0.0,0.0,Yes,5.0,0.0,Introvert
552,2.0,No,,4.0,No,5.0,4.0,Extrovert
553,3.0,No,5.0,4.0,No,6.0,7.0,Extrovert
554,4.0,No,4.0,5.0,No,6.0,10.0,Extrovert
555,2.0,No,8.0,5.0,No,8.0,3.0,Extrovert
557,2.0,No,9.0,5.0,,11.0,,Extrovert
560,10.0,,2.0,1.0,Yes,3.0,2.0,Introvert
562,1.0,No,7.0,3.0,No,7.0,7.0,Extrovert
563,,No,6.0,3.0,No,10.0,5.0,Extrovert
564,10.0,Yes,2.0,3.0,Yes,5.0,1.0,Introvert
565,7.0,Yes,1.0,1.0,,3.0,0.0,Introvert
567,3.0,No,9.0,3.0,No,15.0,,Extrovert
568,0.0,No,8.0,5.0,No,15.0,6.0,Extrovert
569,1.0,No,5.0,3.0,No,8.0,8.0,Extrovert
570,3.0,No,,6.0,No,6.0,9.0,Extrovert
571,0.0,No,5.0,3.0,No,,6.0,Extrovert
573,0.0,No,8.0,7.0,No,10.0,4.0,Extrovert
574,2.0,,4.0,3.0,No,4.0,5.0,Extrovert
577,11.0,,,1.0,Yes,5.0,2.0,Introvert
581,0.0,No,4.0,5.0,No,15.0,5.0,Extrovert
582,6.0,Yes,3.0,1.0,,2.0,2.0,Introvert
583,10.0,,3.0,0.0,Yes,0.0,1.0,Introvert
584,1.0,No,8.0,3.0,No,14.0,4.0,Extrovert
585,,No,9.0,5.0,No,10.0,4.0,Extrovert
587,3.0,No,4.0,4.0,No,7.0,4.0,Extrovert
