id,iteration
18934,5
18945,5
18962,5
18968,5
18969,5
18976,5
18979,5
18991,5
18992,5
18994,5
19000,5
19001,5
19002,5
19005,5
19008,5
19010,5
19012,5
19015,5
19016,5
19018,5
19021,5
19022,5
19023,5
19025,5
19026,5
19028,5
19029,5
19034,5
18549,6
18575,6
18577,6
18596,6
18617,6
18630,6
18634,6
18644,6
18650,6
18659,6
18684,6
18691,6
18709,6
18715,6
18722,6
18740,6
18751,6
18768,6
18810,6
18833,6
18834,6
18841,6
18854,6
18882,6
18888,6
18903,6
18924,6
18995,6
19013,6
19024,6
19031,6
19033,6
19039,6
19044,6
19046,6
19047,6
19048,6
19050,6
19053,6
19056,6
19057,6
19059,6
19060,6
19062,6
19063,6
19065,6
19068,6
19069,6
19070,6
19071,6
18570,7
18695,7
18866,7
18916,7
18942,7
18948,7
18996,7
19004,7
19020,7
19045,7
19058,7
19067,7
19073,7
19074,7
19076,7
19077,7
19078,7
19079,7
19080,7
19081,7
19082,7
19083,7
19084,7
19085,7
19086,7
19090,7
19091,7
19094,7
19099,7
19102,7
19104,7
19109,7
19111,7
19113,7
19114,7
19115,7
19116,7
19117,7
19118,7
19123,7
19124,7
19125,7
19126,7
19127,7
19129,7
19130,7
19132,7
19137,7
19140,7
19141,7
18524,8
18641,8
18704,8
18717,8
18760,8
18838,8
18875,8
18990,8
18997,8
19035,8
19088,8
19093,8
19095,8
19100,8
19101,8
19121,8
19139,8
19144,8
19146,8
19147,8
19149,8
19150,8
19151,8
19153,8
19156,8
19159,8
19160,8
19161,8
19163,8
19164,8
19166,8
19167,8
19171,8
19172,8
19174,8
19175,8
19178,8
19182,8
19183,8
19186,8
19187,8
19189,8
19191,8
19196,8
19197,8
19198,8
19200,8
19201,8
19202,8
19208,8
18527,9
18559,9
18583,9
18826,9
18950,9
19075,9
19103,9
19131,9
19134,9
19145,9
19154,9
19162,9
19165,9
19188,9
19194,9
19195,9
19204,9
19209,9
19211,9
19213,9
19217,9
19219,9
19221,9
19222,9
19223,9
19226,9
19227,9
19229,9
19230,9
19231,9
19233,9
19235,9
19236,9
19238,9
19239,9
19243,9
19245,9
19247,9
19248,9
19249,9
19252,9
19253,9
19254,9
19255,9
19256,9
19258,9
19260,9
19261,9
19262,9
19267,9
18723,10
18781,10
18823,10
18858,10
19006,10
19061,10
19064,10
19128,10
19152,10
19205,10
19212,10
19250,10
19259,10
19263,10
19265,10
19268,10
19269,10
19276,10
19278,10
19279,10
19280,10
19282,10
19283,10
19284,10
19285,10
19286,10
19288,10
19290,10
19294,10
19295,10
19297,10
19300,10
19301,10
19302,10
19304,10
19305,10
19306,10
19308,10
19312,10
19313,10
19314,10
19316,10
19317,10
19320,10
19321,10
19322,10
19323,10
19324,10
19325,10
19326,10
18537,11
18590,11
18626,11
18706,11
18802,11
19110,11
19232,11
19270,11
19277,11
19293,11
19296,11
19310,11
19318,11
19319,11
19327,11
19328,11
19330,11
19331,11
19332,11
19333,11
19337,11
19338,11
19340,11
19345,11
19346,11
19347,11
19348,11
19350,11
19351,11
19353,11
19354,11
19356,11
19359,11
19361,11
19363,11
19364,11
19366,11
19369,11
19373,11
19374,11
19375,11
19381,11
19382,11
19388,11
19392,11
19394,11
19397,11
19399,11
19400,11
19401,11
18561,12
18588,12
18708,12
18794,12
18818,12
18859,12
19052,12
19203,12
19241,12
19336,12
19343,12
19379,12
19402,12
19404,12
19406,12
19407,12
19409,12
19414,12
19415,12
19416,12
19418,12
19421,12
19425,12
19426,12
19427,12
19431,12
19432,12
19433,12
19435,12
19436,12
19437,12
19440,12
19442,12
19443,12
19445,12
19446,12
19448,12
19452,12
19453,12
19454,12
19455,12
19457,12
19458,12
19459,12
19460,12
19461,12
19464,12
19466,12
19468,12
19470,12
18662,13
18892,13
19009,13
19148,13
19168,13
19234,13
19237,13
19242,13
19341,13
19349,13
19362,13
19395,13
19447,13
19474,13
19476,13
19477,13
19478,13
19480,13
19481,13
19484,13
19486,13
19487,13
19488,13
19489,13
19491,13
19492,13
19493,13
19494,13
19497,13
19498,13
19499,13
19500,13
19501,13
19504,13
19510,13
19514,13
19515,13
19516,13
19517,13
19518,13
19520,13
19521,13
19522,13
19523,13
19524,13
19525,13
19526,13
19527,13
19533,13
19534,13
18584,14
18657,14
18713,14
19391,14
19449,14
19490,14
19495,14
19506,14
19512,14
19528,14
19535,14
19537,14
19538,14
19539,14
19541,14
19542,14
19543,14
19544,14
19548,14
19549,14
19550,14
19551,14
19553,14
19554,14
19555,14
19556,14
19557,14
19560,14
19561,14
19562,14
19564,14
19565,14
19566,14
19570,14
19573,14
19574,14
19575,14
19577,14
19578,14
19580,14
19581,14
19585,14
19588,14
19590,14
19591,14
19592,14
19593,14
19595,14
19597,14
19599,14
18546,15
18642,15
18782,15
18915,15
19108,15
19169,15
19214,15
19352,15
19377,15
19424,15
19441,15
19451,15
19505,15
19509,15
19511,15
19547,15
19576,15
19589,15
19594,15
19600,15
19601,15
19602,15
19603,15
19604,15
19605,15
19606,15
19607,15
19609,15
19610,15
19611,15
19613,15
19614,15
19616,15
19617,15
19618,15
19619,15
19620,15
19621,15
19622,15
19623,15
19624,15
19625,15
19626,15
19627,15
19628,15
19630,15
19631,15
19632,15
19633,15
19635,15
18860,16
18878,16
18938,16
19220,16
19335,16
19344,16
19408,16
19638,16
19640,16
19641,16
19643,16
19644,16
19648,16
19649,16
19650,16
19651,16
19652,16
19653,16
19654,16
19655,16
19656,16
19657,16
19658,16
19660,16
19665,16
19666,16
19667,16
19669,16
19670,16
19671,16
19672,16
19673,16
19674,16
19675,16
19676,16
19677,16
19678,16
19679,16
19680,16
19681,16
19682,16
19683,16
19685,16
19686,16
19687,16
19688,16
19689,16
19690,16
19692,16
19694,16
18534,17
18541,17
19216,17
19684,17
19696,17
19697,17
19698,17
19700,17
19701,17
19702,17
19705,17
19706,17
19710,17
19712,17
19714,17
19715,17
19716,17
19717,17
19718,17
19719,17
19720,17
19721,17
19722,17
19723,17
19726,17
19727,17
19728,17
19730,17
19733,17
19734,17
19735,17
19737,17
19739,17
19740,17
19742,17
19743,17
19744,17
19745,17
19748,17
19749,17
19750,17
19752,17
19753,17
19754,17
19755,17
19756,17
19757,17
19761,17
19765,17
19766,17
18669,18
18690,18
18778,18
18798,18
19423,18
19430,18
19465,18
19572,18
19587,18
19708,18
19758,18
19759,18
19767,18
19769,18
19770,18
19772,18
19775,18
19776,18
19777,18
19778,18
19781,18
19784,18
19785,18
19788,18
19789,18
19792,18
19795,18
19799,18
19800,18
19801,18
19802,18
19805,18
19806,18
19807,18
19808,18
19809,18
19810,18
19811,18
19812,18
19813,18
19814,18
19815,18
19817,18
19818,18
19819,18
19820,18
19821,18
19822,18
19823,18
19824,18
18647,19
19136,19
19138,19
19215,19
19264,19
19334,19
19485,19
19496,19
19608,19
19695,19
19791,19
19803,19
19827,19
19829,19
19831,19
19832,19
19833,19
19834,19
19835,19
19836,19
19837,19
19839,19
19840,19
19842,19
19844,19
19845,19
19846,19
19848,19
19850,19
19851,19
19854,19
19855,19
19858,19
19861,19
19862,19
19863,19
19865,19
19866,19
19870,19
19871,19
19872,19
19873,19
19880,19
19882,19
19883,19
19885,19
19887,19
19888,19
19889,19
19891,19
18602,20
18806,20
18843,20
19107,20
19536,20
19797,20
19830,20
19852,20
19892,20
19894,20
19895,20
19896,20
19897,20
19898,20
19899,20
19900,20
19901,20
19902,20
19903,20
19905,20
19906,20
19908,20
19909,20
19911,20
19912,20
19913,20
19914,20
19915,20
19917,20
19918,20
19920,20
19921,20
19923,20
19925,20
19926,20
19927,20
19930,20
19931,20
19933,20
19934,20
19937,20
19938,20
19940,20
19941,20
19942,20
19949,20
19950,20
19951,20
19952,20
19953,20
