id,Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear,Drained_after_socializing,Personality,ambiguity_score,composite_ambiguity
877,1.0,4.0,6.0,13.0,4.0,0.0,0.0,Introvert,0.3333333333333357,1.8
1729,4.0,4.0,7.0,10.0,7.0,0.0,0.0,Introvert,0.33333333333333215,1.8
3372,2.0,9.0,3.0,11.0,4.0,,,Extrovert,0.3333333333333357,1.8
4677,1.0,8.0,3.0,4.0,6.0,0.0,0.0,Introvert,0.33333333333333215,1.8
7711,3.0,8.0,6.0,7.0,4.0,0.0,0.0,Introvert,0.3333333333333357,1.8
13551,2.0,6.0,5.0,14.0,4.0,0.0,0.0,Introvert,0.3333333333333357,1.8
15743,2.0,6.0,7.0,5.0,5.0,0.0,0.0,Introvert,0.33333333333333215,1.8
10572,3.0,9.0,4.0,7.0,,,0.0,Extrovert,0.36913866357667047,1.8
12442,1.0,4.0,6.0,10.0,,,0.0,Extrovert,0.36913866357667047,1.8
8980,3.0,,,9.0,8.0,0.0,0.0,Extrovert,0.38114906100696544,1.8
6996,0.0,6.0,,8.0,,0.0,0.0,Extrovert,0.3861667649612599,1.8
16938,3.0,8.0,,11.0,,0.0,0.0,Extrovert,0.3861667649612599,1.8
9229,0.0,4.0,,,7.0,0.0,0.0,Extrovert,0.41979693779188665,1.8
6,1.0,8.0,,,4.0,0.0,0.0,Extrovert,0.4197969377918902,1.8
8789,3.0,,6.0,12.0,5.0,0.0,,Extrovert,0.4697878228782315,1.8
15269,3.0,,6.0,12.0,,0.0,0.0,Extrovert,0.5055931531215663,1.8
6237,,,5.0,11.0,7.0,0.0,0.0,Extrovert,0.5880176461421946,1.8
7738,,,5.0,5.0,9.0,0.0,0.0,Extrovert,0.5880176461421911,1.8
7019,,7.0,6.0,7.0,,,0.0,Extrovert,0.6446665278895836,1.8
13766,,9.0,3.0,12.0,,0.0,0.0,Extrovert,0.6886668054437521,1.8
7916,,,6.0,6.0,7.0,0.0,0.0,Extrovert,0.7453156871911375,1.8
12224,,,3.0,12.0,8.0,0.0,0.0,Extrovert,0.7453156871911375,1.8
217,,8.0,,15.0,4.0,0.0,0.0,Extrovert,0.8131108975583494,1.8
1519,,6.0,,6.0,9.0,0.0,0.0,Extrovert,0.813110897558353,1.8
6319,,9.0,,15.0,3.0,0.0,0.0,Extrovert,0.8131108975583494,1.8
6680,,9.0,,6.0,6.0,0.0,0.0,Extrovert,0.8131108975583494,1.8
5134,1.0,,7.0,,4.0,0.0,0.0,Extrovert,0.8613703530423962,1.8
6554,1.0,,6.0,,5.0,0.0,0.0,Extrovert,0.8613703530423962,1.8
13880,2.0,,6.0,,6.0,0.0,0.0,Extrovert,0.8613703530423962,1.8
15107,2.0,,4.0,8.0,8.0,0.0,,Extrovert,0.8635455104551042,1.8
8869,2.0,4.0,,15.0,6.0,0.0,,Extrovert,0.9113612381287339,1.8
7487,0.0,8.0,3.0,6.0,,,0.0,Extrovert,0.9641946697566652,1.8
8094,0.0,5.0,3.0,15.0,,,0.0,Extrovert,0.9641946697566652,1.8
1211,2.0,9.0,6.0,6.0,3.0,0.0,0.0,Introvert,1.0,1.8
2001,0.0,4.0,5.0,12.0,4.0,0.0,0.0,Introvert,1.0,1.8
2358,0.0,4.0,4.0,12.0,6.0,0.0,0.0,Introvert,1.0,1.8
3840,2.0,4.0,7.0,15.0,4.0,0.0,0.0,Introvert,1.0,1.8
3863,1.0,6.0,4.0,3.0,7.0,0.0,0.0,Introvert,1.0,1.8
4340,2.0,6.0,3.0,15.0,5.0,0.0,0.0,Introvert,1.0,1.8
5512,3.0,8.0,3.0,9.0,6.0,0.0,0.0,Introvert,1.0,1.8
5771,3.0,4.0,6.0,12.0,7.0,,,Extrovert,1.0,1.8
6306,3.0,6.0,5.0,15.0,5.0,0.0,0.0,Introvert,1.0,1.8
7571,3.0,7.0,5.0,15.0,3.0,0.0,0.0,Introvert,1.0,1.8
9178,3.0,6.0,5.0,9.0,6.0,0.0,0.0,Introvert,1.0,1.8
10530,3.0,7.0,3.0,12.0,6.0,,,Extrovert,1.0,1.8
12399,0.0,3.0,6.0,3.0,7.0,0.0,0.0,Introvert,1.0,1.8
12428,0.0,5.0,5.0,12.0,4.0,0.0,0.0,Introvert,1.0,1.8
13041,2.0,5.0,6.0,15.0,4.0,0.0,0.0,Introvert,1.0,1.8
13173,2.0,6.0,5.0,15.0,4.0,0.0,0.0,Introvert,1.0,1.8
15115,3.0,8.0,7.0,6.0,4.0,0.0,0.0,Introvert,1.0,1.8
15200,2.0,8.0,3.0,12.0,5.0,,,Extrovert,1.0,1.8
16371,3.0,5.0,7.0,6.0,7.0,0.0,0.0,Introvert,1.0,1.8
1465,3.0,,,5.0,9.0,0.0,0.0,Extrovert,1.0478157276736368,1.8
1769,1.0,7.0,,9.0,,0.0,0.0,Extrovert,1.0528334316279313,1.8
13892,3.0,8.0,,12.0,,0.0,0.0,Extrovert,1.0528334316279313,1.8
5077,1.0,7.0,,6.0,6.0,,0.0,Extrovert,1.088638761871266,1.8
9253,3.0,7.0,,3.0,9.0,0.0,,Extrovert,1.088638761871266,1.8
3458,2.0,,4.0,,7.0,0.0,0.0,Extrovert,1.1386296469576038,1.8
6900,3.0,,5.0,,7.0,0.0,0.0,Extrovert,1.1386296469576038,1.8
6166,3.0,,5.0,14.0,,0.0,0.0,Extrovert,1.1722598197882306,1.8
12114,,6.0,7.0,12.0,3.0,,0.0,Extrovert,1.275527864312913,1.8
12508,,7.0,6.0,12.0,3.0,0.0,,Extrovert,1.275527864312913,1.8
3450,,4.0,6.0,15.0,,0.0,0.0,Extrovert,1.3113331945562479,1.8
7162,,9.0,3.0,9.0,,0.0,0.0,Extrovert,1.3113331945562479,1.8
17200,,9.0,4.0,6.0,,0.0,0.0,Extrovert,1.3113331945562479,1.8
13724,,,4.0,14.0,6.0,0.0,0.0,Extrovert,1.4119823538578018,1.8
17806,,,6.0,14.0,4.0,0.0,0.0,Extrovert,1.4119823538578018,1.8
5510,,,5.0,8.0,7.0,0.0,0.0,Extrovert,1.4119823538578054,1.8
17053,,4.0,,13.0,9.0,0.0,0.0,Extrovert,1.4797775642250173,1.8
18062,,9.0,,7.0,6.0,0.0,0.0,Extrovert,1.4797775642250173,1.8
18146,,9.0,,10.0,5.0,0.0,0.0,Extrovert,1.4797775642250173,1.8
8327,1.0,,4.0,15.0,,0.0,0.0,Extrovert,1.4944068468784337,1.8
14465,0.0,,3.0,15.0,,0.0,0.0,Extrovert,1.4944068468784337,1.8
10735,0.0,5.0,,8.0,5.0,,0.0,Extrovert,1.5780279047954053,1.8
18222,3.0,6.0,,,7.0,0.0,0.0,Extrovert,1.5802030622081134,1.8
17777,2.0,,,6.0,9.0,0.0,0.0,Extrovert,1.6188509389930346,1.8
738,5.0,5.0,7.0,8.0,7.0,0.0,0.0,Introvert,1.6666666666666679,1.8
1430,1.0,4.0,5.0,10.0,7.0,0.0,0.0,Introvert,1.6666666666666643,1.8
1834,2.0,7.0,5.0,7.0,6.0,0.0,0.0,Introvert,1.6666666666666643,1.8
2350,3.0,8.0,3.0,14.0,4.0,,,Extrovert,1.6666666666666643,1.8
5601,0.0,8.0,3.0,13.0,3.0,0.0,0.0,Introvert,1.6666666666666643,1.8
6741,2.0,3.0,5.0,5.0,9.0,0.0,0.0,Introvert,1.6666666666666714,1.8
11006,0.0,4.0,6.0,10.0,5.0,0.0,0.0,Introvert,1.6666666666666643,1.8
11847,0.0,7.0,5.0,10.0,3.0,0.0,0.0,Introvert,1.6666666666666643,1.8
12170,1.0,3.0,6.0,5.0,7.0,0.0,0.0,Introvert,1.6666666666666714,1.8
15395,4.0,7.0,7.0,4.0,7.0,0.0,0.0,Introvert,1.6666666666666679,1.8
15504,4.0,3.0,7.0,13.0,8.0,0.0,0.0,Introvert,1.6666666666666643,1.8
490,0.0,4.0,3.0,14.0,,,0.0,Extrovert,1.702471996909999,1.8
5666,3.0,4.0,6.0,14.0,,,0.0,Extrovert,1.702471996909999,1.8
16267,2.0,4.0,6.0,11.0,,0.0,,Extrovert,1.702471996909999,1.8
8996,1.0,5.0,5.0,,,0.0,0.0,Extrovert,1.704647154322707,1.8
17330,3.0,9.0,3.0,,,0.0,0.0,Extrovert,1.704647154322707,1.8
8206,0.0,,,13.0,3.0,0.0,0.0,Extrovert,1.7144823943403011,1.8
9013,0.0,6.0,,10.0,,0.0,0.0,Extrovert,1.7195000982945956,1.8
10276,0.0,,4.0,7.0,5.0,,0.0,Extrovert,1.80312115621156,1.8
18155,,,6.0,10.0,7.0,0.0,0.0,Extrovert,1.9213509794755268,1.8
5798,,5.0,5.0,11.0,6.0,0.0,,Extrovert,1.9421945309795774,1.8
10925,,8.0,4.0,14.0,3.0,,0.0,Extrovert,1.9421945309795774,1.8
17883,,4.0,6.0,14.0,5.0,0.0,,Extrovert,1.9421945309795774,1.8
1827,,6.0,4.0,,7.0,0.0,0.0,Extrovert,1.9443696883922854,1.8
5552,,7.0,3.0,,7.0,0.0,0.0,Extrovert,1.9443696883922854,1.8
10443,,5.0,3.0,,9.0,0.0,0.0,Extrovert,1.9443696883922854,1.8
12342,,7.0,5.0,,5.0,0.0,0.0,Extrovert,1.9443696883922854,1.8
10096,,8.0,6.0,8.0,,0.0,0.0,Extrovert,2.022000138777088,1.8
2314,,8.0,6.0,,5.0,0.0,0.0,Extrovert,2.0556303116077146,1.8
3255,,7.0,5.0,,7.0,0.0,0.0,Extrovert,2.0556303116077146,1.8
18344,,9.0,5.0,,5.0,0.0,0.0,Extrovert,2.0556303116077146,1.8
11398,,9.0,5.0,8.0,5.0,0.0,,Extrovert,2.0578054690204226,1.8
9973,,,7.0,4.0,6.0,0.0,0.0,Extrovert,2.078649020524466,1.8
14539,,6.0,,8.0,9.0,0.0,0.0,Extrovert,2.1464442308916887,1.8
2483,0.0,,7.0,4.0,,0.0,0.0,Extrovert,2.1610735135451016,1.8
11342,0.0,,4.0,13.0,,0.0,0.0,Extrovert,2.161073513545105,1.8
2732,0.0,4.0,,10.0,,0.0,0.0,Extrovert,2.2804999017054044,1.8
1034,0.0,6.0,5.0,,,0.0,0.0,Extrovert,2.295352845677293,1.8
5668,3.0,9.0,5.0,,,0.0,0.0,Extrovert,2.295352845677293,1.8
10695,2.0,9.0,4.0,,,0.0,0.0,Extrovert,2.295352845677293,1.8
14413,1.0,9.0,3.0,,,0.0,0.0,Extrovert,2.295352845677293,1.8
16781,2.0,7.0,7.0,,4.0,,0.0,Extrovert,2.3311581759206277,1.8
5718,8.0,7.0,7.0,4.0,9.0,0.0,0.0,Introvert,2.3333333333333286,1.8
8659,2.0,7.0,6.0,11.0,4.0,0.0,0.0,Introvert,2.3333333333333357,1.8
13126,2.0,6.0,7.0,14.0,3.0,0.0,0.0,Introvert,2.3333333333333357,1.8
13460,4.0,6.0,6.0,7.0,6.0,0.0,0.0,Introvert,2.333333333333332,1.8
13792,0.0,6.0,4.0,10.0,3.0,0.0,0.0,Introvert,2.3333333333333357,1.8
16188,3.0,5.0,7.0,5.0,8.0,0.0,0.0,Introvert,2.3333333333333286,1.8
1475,2.0,6.0,4.0,10.0,,0.0,,Extrovert,2.3691386635766705,1.8
1456,3.0,,,15.0,5.0,0.0,0.0,Extrovert,2.3811490610069654,1.8
11152,3.0,,,15.0,5.0,,0.0,Extrovert,2.3811490610069654,1.8
12304,1.0,,,15.0,3.0,0.0,0.0,Extrovert,2.3811490610069654,1.8
3988,2.0,8.0,,11.0,,0.0,0.0,Extrovert,2.38616676496126,1.8
9934,2.0,9.0,,8.0,,0.0,0.0,Extrovert,2.3861667649612635,1.8
8181,3.0,6.0,,,9.0,0.0,0.0,Extrovert,2.4197969377918866,1.8
3455,0.0,5.0,,14.0,5.0,,0.0,Extrovert,2.4219720952045947,1.8
13767,0.0,6.0,,11.0,5.0,0.0,,Extrovert,2.4219720952045947,1.8
14427,0.0,8.0,,11.0,3.0,,0.0,Extrovert,2.421972095204598,1.8
13,3.0,,5.0,12.0,5.0,,0.0,Extrovert,2.4697878228782315,1.8
6520,1.0,,5.0,12.0,3.0,,0.0,Extrovert,2.4697878228782315,1.8
13370,0.0,,5.0,6.0,4.0,0.0,,Extrovert,2.4697878228782315,1.8
7559,2.0,,5.0,9.0,,0.0,0.0,Extrovert,2.5055931531215663,1.8
1377,,,7.0,11.0,6.0,0.0,0.0,Extrovert,2.588017646142198,1.8
15807,,,7.0,8.0,7.0,0.0,0.0,Extrovert,2.588017646142198,1.8
3359,,5.0,7.0,7.0,5.0,,0.0,Extrovert,2.608861197646249,1.8
11250,,9.0,6.0,6.0,,0.0,0.0,Extrovert,2.688666805443752,1.8
5111,,7.0,5.0,12.0,6.0,0.0,,Extrovert,2.724472135687087,1.8
