id,prediction,extrovert_proba,uncertainty
18581,Introvert,0.0,0.0
18582,Extrovert,0.96666586,0.06666827
18583,Introvert,0.0,0.0
18584,Introvert,0.013333334,0.026666641
18585,Introvert,0.0,0.0
18586,Introvert,0.0,0.0
18587,Introvert,0.0,0.0
18588,Introvert,0.0033333334,0.0066666603
18589,Introvert,0.016666668,0.03333336
18590,Introvert,0.0,0.0
18591,Extrovert,0.88666594,0.22666812
18592,Introvert,0.0,0.0
18593,Introvert,0.0,0.0
18594,Extrovert,0.98666584,0.02666831
18595,Extrovert,0.9933325,0.01333499
18596,Introvert,0.006666667,0.013333321
18597,Introvert,0.04666667,0.09333336
18598,Introvert,0.0,0.0
18599,Introvert,0.0033333334,0.0066666603
18600,Introvert,0.0,0.0
18601,Introvert,0.0,0.0
18602,Introvert,0.006666667,0.013333321
18603,Introvert,0.0,0.0
18604,Introvert,0.01,0.01999998
18605,Introvert,0.0,0.0
18606,Introvert,0.0,0.0
18607,Introvert,0.01,0.01999998
18608,Introvert,0.0,0.0
18609,Introvert,0.0033333334,0.0066666603
18610,Introvert,0.0,0.0
18611,Extrovert,0.99999917,1.66893e-06
18612,Introvert,0.0,0.0
18613,Extrovert,0.99999917,1.66893e-06
18614,Introvert,0.0,0.0
18615,Extrovert,0.9499992,0.10000157
18616,Introvert,0.020000001,0.04000002
18617,Introvert,0.0,0.0
18618,Introvert,0.0,0.0
18619,Introvert,0.013333334,0.026666641
18620,Introvert,0.0,0.0
18621,Introvert,0.0,0.0
18622,Introvert,0.0,0.0
18623,Extrovert,0.9933325,0.01333499
18624,Extrovert,0.9899992,0.02000165
18625,Introvert,0.03666667,0.07333332
18626,Introvert,0.043333337,0.0866667
18627,Introvert,0.0,0.0
18628,Extrovert,0.99999917,1.66893e-06
18629,Introvert,0.21666653,0.43333304
18630,Introvert,0.0,0.0
18631,Introvert,0.016666668,0.03333336
18632,Introvert,0.0,0.0
18633,Extrovert,0.99999917,1.66893e-06
18634,Introvert,0.0,0.0
18635,Introvert,0.0,0.0
18636,Extrovert,0.99999917,1.66893e-06
18637,Extrovert,0.9933325,0.01333499
18638,Introvert,0.0,0.0
18639,Introvert,0.0,0.0
18640,Introvert,0.0,0.0
18641,Introvert,0.033333335,0.06666666
18642,Introvert,0.02666667,0.053333342
18643,Extrovert,0.9599992,0.08000159
18644,Introvert,0.030000003,0.060000002
18645,Extrovert,0.97666585,0.04666829
18646,Introvert,0.023333335,0.04666668
18647,Introvert,0.0,0.0
18648,Introvert,0.006666667,0.013333321
18649,Extrovert,0.99666584,0.0066683292
18650,Introvert,0.0033333334,0.0066666603
18651,Introvert,0.0033333334,0.0066666603
18652,Introvert,0.0,0.0
18653,Introvert,0.006666667,0.013333321
18654,Extrovert,0.9799992,0.04000163
18655,Introvert,0.0,0.0
18656,Introvert,0.0,0.0
18657,Introvert,0.006666667,0.013333321
18658,Introvert,0.0,0.0
18659,Introvert,0.0,0.0
18660,Extrovert,0.9933325,0.01333499
18661,Extrovert,0.99666584,0.0066683292
18662,Introvert,0.023333335,0.04666668
18663,Extrovert,0.99999917,1.66893e-06
18664,Introvert,0.006666667,0.013333321
18665,Introvert,0.040000003,0.07999998
18666,Introvert,0.04666667,0.09333336
18667,Introvert,0.013333334,0.026666641
18668,Introvert,0.0,0.0
18669,Introvert,0.0,0.0
18670,Extrovert,0.9899992,0.02000165
18671,Introvert,0.0,0.0
18672,Extrovert,0.9933325,0.01333499
18673,Extrovert,0.9499992,0.10000157
18674,Introvert,0.016666668,0.03333336
18675,Introvert,0.0,0.0
18676,Introvert,0.05333334,0.106666684
18677,Introvert,0.0,0.0
18678,Introvert,0.0,0.0
18679,Introvert,0.0,0.0
18680,Introvert,0.0,0.0
18681,Extrovert,0.9899992,0.02000165
18682,Introvert,0.0,0.0
18683,Introvert,0.0033333334,0.0066666603
18684,Introvert,0.0,0.0
18685,Extrovert,0.98666584,0.02666831
18686,Introvert,0.0,0.0
18687,Introvert,0.006666667,0.013333321
18688,Extrovert,0.99666584,0.0066683292
18689,Introvert,0.0,0.0
18690,Introvert,0.0,0.0
18691,Introvert,0.0,0.0
18692,Introvert,0.01,0.01999998
18693,Extrovert,0.9899992,0.02000165
18694,Introvert,0.0,0.0
18695,Introvert,0.040000003,0.07999998
18696,Extrovert,0.99666584,0.0066683292
18697,Extrovert,0.9799992,0.04000163
18698,Extrovert,0.99666584,0.0066683292
18699,Extrovert,0.99999917,1.66893e-06
18700,Introvert,0.0,0.0
18701,Extrovert,0.99666584,0.0066683292
18702,Introvert,0.0,0.0
18703,Introvert,0.0033333334,0.0066666603
18704,Introvert,0.0033333334,0.0066666603
18705,Extrovert,0.99999917,1.66893e-06
18706,Introvert,0.0,0.0
18707,Extrovert,0.9933325,0.01333499
18708,Introvert,0.06333334,0.12666667
18709,Introvert,0.0,0.0
18710,Introvert,0.006666667,0.013333321
18711,Extrovert,0.99666584,0.0066683292
18712,Introvert,0.0,0.0
18713,Introvert,0.0,0.0
18714,Introvert,0.0,0.0
18715,Introvert,0.0,0.0
18716,Introvert,0.0,0.0
18717,Introvert,0.006666667,0.013333321
18718,Extrovert,0.99666584,0.0066683292
18719,Extrovert,0.9933325,0.01333499
18720,Extrovert,0.99999917,1.66893e-06
18721,Introvert,0.0033333334,0.0066666603
18722,Introvert,0.020000001,0.04000002
18723,Introvert,0.0,0.0
18724,Extrovert,0.9899992,0.02000165
18725,Extrovert,0.99666584,0.0066683292
18726,Introvert,0.006666667,0.013333321
18727,Introvert,0.0,0.0
18728,Extrovert,0.9233326,0.15333486
18729,Extrovert,0.98666584,0.02666831
18730,Introvert,0.0,0.0
18731,Introvert,0.0,0.0
18732,Introvert,0.0,0.0
18733,Introvert,0.0033333334,0.0066666603
18734,Extrovert,0.99666584,0.0066683292
18735,Introvert,0.0,0.0
18736,Introvert,0.0033333334,0.0066666603
18737,Introvert,0.0,0.0
18738,Extrovert,0.9933325,0.01333499
18739,Introvert,0.0,0.0
18740,Introvert,0.07999999,0.15999997
18741,Introvert,0.0033333334,0.0066666603
18742,Introvert,0.006666667,0.013333321
18743,Introvert,0.0,0.0
18744,Introvert,0.0,0.0
18745,Extrovert,0.96666586,0.06666827
18746,Extrovert,0.98666584,0.02666831
18747,Extrovert,0.99999917,1.66893e-06
18748,Introvert,0.0,0.0
18749,Introvert,0.013333334,0.026666641
18750,Introvert,0.02666667,0.053333342
18751,Introvert,0.0,0.0
18752,Introvert,0.0033333334,0.0066666603
18753,Introvert,0.0033333334,0.0066666603
18754,Introvert,0.25333318,0.50666636
18755,Extrovert,0.99999917,1.66893e-06
18756,Introvert,0.0033333334,0.0066666603
18757,Introvert,0.2766665,0.553333
18758,Extrovert,0.9399992,0.120001554
18759,Introvert,0.0,0.0
18760,Introvert,0.0,0.0
18761,Introvert,0.0,0.0
18762,Introvert,0.0,0.0
18763,Introvert,0.07999999,0.15999997
18764,Introvert,0.023333335,0.04666668
18765,Extrovert,0.9899992,0.02000165
18766,Extrovert,0.9899992,0.02000165
18767,Introvert,0.0,0.0
18768,Introvert,0.0,0.0
18769,Extrovert,0.99999917,1.66893e-06
18770,Introvert,0.09333331,0.18666661
18771,Introvert,0.0,0.0
18772,Introvert,0.0,0.0
18773,Introvert,0.0,0.0
18774,Introvert,0.0,0.0
18775,Introvert,0.0,0.0
18776,Introvert,0.0,0.0
18777,Extrovert,0.99999917,1.66893e-06
18778,Introvert,0.0,0.0
18779,Introvert,0.0,0.0
18780,Introvert,0.0033333334,0.0066666603
18781,Introvert,0.0,0.0
18782,Introvert,0.0,0.0
18783,Introvert,0.0033333334,0.0066666603
18784,Introvert,0.0,0.0
18785,Introvert,0.0,0.0
18786,Introvert,0.006666667,0.013333321
18787,Extrovert,0.9833325,0.03333497
18788,Extrovert,0.99999917,1.66893e-06
18789,Introvert,0.0,0.0
18790,Extrovert,0.99666584,0.0066683292
18791,Introvert,0.0,0.0
18792,Introvert,0.0,0.0
18793,Introvert,0.030000003,0.060000002
18794,Introvert,0.0,0.0
18795,Introvert,0.0033333334,0.0066666603
18796,Introvert,0.006666667,0.013333321
18797,Introvert,0.0,0.0
18798,Introvert,0.006666667,0.013333321
18799,Extrovert,0.9933325,0.01333499
18800,Introvert,0.01,0.01999998
18801,Extrovert,0.99999917,1.66893e-06
18802,Introvert,0.01,0.01999998
18803,Introvert,0.0,0.0
18804,Extrovert,0.9899992,0.02000165
18805,Extrovert,0.99666584,0.0066683292
18806,Introvert,0.0,0.0
18807,Introvert,0.0,0.0
18808,Introvert,0.0,0.0
18809,Introvert,0.0,0.0
18810,Introvert,0.040000003,0.07999998
18811,Introvert,0.0033333334,0.0066666603
18812,Introvert,0.0033333334,0.0066666603
18813,Introvert,0.0,0.0
18814,Introvert,0.0,0.0
18815,Introvert,0.0,0.0
18816,Extrovert,0.99999917,1.66893e-06
18817,Introvert,0.006666667,0.013333321
18818,Introvert,0.0,0.0
18819,Introvert,0.0033333334,0.0066666603
18820,Introvert,0.01,0.01999998
18821,Introvert,0.0033333334,0.0066666603
18822,Extrovert,0.98666584,0.02666831
18823,Introvert,0.013333334,0.026666641
18824,Introvert,0.0,0.0
18825,Introvert,0.0,0.0
18826,Introvert,0.0,0.0
18827,Introvert,0.0,0.0
18828,Introvert,0.0,0.0
18829,Introvert,0.0,0.0
18830,Introvert,0.0,0.0
18831,Extrovert,0.9733325,0.05333495
18832,Introvert,0.0033333334,0.0066666603
18833,Introvert,0.023333335,0.04666668
18834,Introvert,0.0,0.0
18835,Extrovert,0.9899992,0.02000165
18836,Introvert,0.0,0.0
18837,Introvert,0.0,0.0
18838,Introvert,0.0,0.0
18839,Introvert,0.0,0.0
18840,Extrovert,0.99666584,0.0066683292
18841,Introvert,0.0,0.0
18842,Extrovert,0.9799992,0.04000163
18843,Introvert,0.0033333334,0.0066666603
18844,Introvert,0.0,0.0
18845,Extrovert,0.99666584,0.0066683292
18846,Introvert,0.0,0.0
18847,Introvert,0.0033333334,0.0066666603
18848,Introvert,0.01,0.01999998
18849,Introvert,0.0,0.0
18850,Extrovert,0.9933325,0.01333499
18851,Introvert,0.0033333334,0.0066666603
18852,Introvert,0.0,0.0
18853,Introvert,0.0,0.0
18854,Introvert,0.0,0.0
18855,Introvert,0.0,0.0
18856,Introvert,0.0,0.0
18857,Extrovert,0.9899992,0.02000165
18858,Introvert,0.01,0.01999998
18859,Introvert,0.0,0.0
18860,Introvert,0.0,0.0
18861,Introvert,0.01,0.01999998
18862,Introvert,0.0033333334,0.0066666603
18863,Introvert,0.0,0.0
18864,Extrovert,0.9833325,0.03333497
18865,Introvert,0.0,0.0
18866,Introvert,0.0,0.0
18867,Introvert,0.0,0.0
18868,Introvert,0.0,0.0
18869,Introvert,0.0,0.0
18870,Introvert,0.0,0.0
18871,Introvert,0.006666667,0.013333321
18872,Extrovert,0.99666584,0.0066683292
18873,Introvert,0.0,0.0
18874,Extrovert,0.9699992,0.06000161
18875,Introvert,0.006666667,0.013333321
18876,Introvert,0.2766665,0.553333
18877,Introvert,0.0,0.0
18878,Introvert,0.07999999,0.15999997
18879,Extrovert,0.99999917,1.66893e-06
18880,Introvert,0.0,0.0
18881,Introvert,0.0033333334,0.0066666603
18882,Introvert,0.0,0.0
18883,Extrovert,0.9833325,0.03333497
18884,Introvert,0.0,0.0
18885,Extrovert,0.97666585,0.04666829
18886,Introvert,0.0,0.0
18887,Extrovert,0.89999926,0.20000148
18888,Introvert,0.050000004,0.100000024
18889,Introvert,0.0,0.0
18890,Extrovert,0.9933325,0.01333499
18891,Introvert,0.0,0.0
18892,Introvert,0.0,0.0
18893,Introvert,0.0033333334,0.0066666603
18894,Introvert,0.0,0.0
18895,Introvert,0.0,0.0
18896,Introvert,0.0,0.0
18897,Introvert,0.0,0.0
18898,Introvert,0.0,0.0
18899,Introvert,0.0,0.0
18900,Introvert,0.0,0.0
18901,Introvert,0.0,0.0
18902,Extrovert,0.9899992,0.02000165
18903,Introvert,0.0,0.0
18904,Extrovert,0.99999917,1.66893e-06
18905,Introvert,0.0,0.0
18906,Extrovert,0.99999917,1.66893e-06
18907,Introvert,0.030000003,0.060000002
18908,Extrovert,0.99999917,1.66893e-06
18909,Extrovert,0.9833325,0.03333497
18910,Introvert,0.0,0.0
18911,Extrovert,0.99999917,1.66893e-06
18912,Introvert,0.0,0.0
18913,Introvert,0.0,0.0
18914,Introvert,0.0,0.0
18915,Introvert,0.0,0.0
18916,Introvert,0.0,0.0
18917,Introvert,0.01,0.01999998
18918,Introvert,0.0,0.0
18919,Extrovert,0.9699992,0.06000161
18920,Introvert,0.0,0.0
18921,Extrovert,0.9899992,0.02000165
18922,Introvert,0.0,0.0
18923,Extrovert,0.99666584,0.0066683292
18924,Introvert,0.0,0.0
18925,Extrovert,0.9733325,0.05333495
18926,Extrovert,0.9933325,0.01333499
18927,Extrovert,0.97666585,0.04666829
18928,Extrovert,0.99666584,0.0066683292
18929,Introvert,0.016666668,0.03333336
18930,Introvert,0.0033333334,0.0066666603
18931,Introvert,0.0,0.0
18932,Extrovert,0.99999917,1.66893e-06
18933,Extrovert,0.99999917,1.66893e-06
18934,Introvert,0.0,0.0
18935,Introvert,0.0,0.0
18936,Introvert,0.023333335,0.04666668
18937,Introvert,0.0,0.0
18938,Introvert,0.0,0.0
18939,Extrovert,0.99666584,0.0066683292
18940,Introvert,0.006666667,0.013333321
18941,Extrovert,0.9933325,0.01333499
18942,Introvert,0.0,0.0
18943,Extrovert,0.99999917,1.66893e-06
18944,Extrovert,0.9933325,0.01333499
18945,Introvert,0.050000004,0.100000024
18946,Introvert,0.03666667,0.07333332
18947,Extrovert,0.99666584,0.0066683292
18948,Introvert,0.0,0.0
18949,Extrovert,0.98666584,0.02666831
18950,Introvert,0.0,0.0
18951,Introvert,0.01,0.01999998
18952,Extrovert,0.99999917,1.66893e-06
18953,Extrovert,0.97666585,0.04666829
18954,Introvert,0.030000003,0.060000002
18955,Introvert,0.0,0.0
18956,Extrovert,0.99999917,1.66893e-06
18957,Extrovert,0.99999917,1.66893e-06
18958,Introvert,0.0033333334,0.0066666603
18959,Introvert,0.0,0.0
18960,Introvert,0.0,0.0
18961,Introvert,0.0033333334,0.0066666603
18962,Introvert,0.0,0.0
18963,Extrovert,0.99666584,0.0066683292
18964,Introvert,0.0,0.0
18965,Introvert,0.0,0.0
18966,Extrovert,0.99666584,0.0066683292
18967,Introvert,0.023333335,0.04666668
18968,Introvert,0.0,0.0
18969,Introvert,0.0033333334,0.0066666603
18970,Introvert,0.0,0.0
18971,Extrovert,0.9933325,0.01333499
18972,Extrovert,0.9799992,0.04000163
18973,Extrovert,0.97666585,0.04666829
18974,Introvert,0.0,0.0
18975,Introvert,0.0,0.0
18976,Introvert,0.0033333334,0.0066666603
18977,Introvert,0.44666633,0.89333266
18978,Introvert,0.0,0.0
18979,Introvert,0.07999999,0.15999997
18980,Introvert,0.0,0.0
18981,Extrovert,0.98666584,0.02666831
18982,Extrovert,0.99666584,0.0066683292
18983,Extrovert,0.99999917,1.66893e-06
18984,Extrovert,0.99666584,0.0066683292
18985,Introvert,0.26333317,0.52666634
18986,Introvert,0.0,0.0
18987,Introvert,0.0,0.0
18988,Introvert,0.0,0.0
18989,Introvert,0.0,0.0
18990,Introvert,0.0033333334,0.0066666603
18991,Introvert,0.0,0.0
18992,Introvert,0.0033333334,0.0066666603
18993,Extrovert,0.9833325,0.03333497
18994,Introvert,0.016666668,0.03333336
18995,Introvert,0.07666666,0.1533333
18996,Introvert,0.0,0.0
18997,Introvert,0.0,0.0
18998,Extrovert,0.99999917,1.66893e-06
18999,Extrovert,0.99999917,1.66893e-06
19000,Introvert,0.0,0.0
19001,Introvert,0.0,0.0
19002,Introvert,0.0,0.0
19003,Extrovert,0.99666584,0.0066683292
19004,Introvert,0.0,0.0
19005,Introvert,0.0,0.0
19006,Introvert,0.013333334,0.026666641
19007,Extrovert,0.99666584,0.0066683292
19008,Introvert,0.0,0.0
19009,Introvert,0.030000003,0.060000002
19010,Introvert,0.0,0.0
19011,Extrovert,0.99999917,1.66893e-06
19012,Introvert,0.0,0.0
19013,Introvert,0.0,0.0
19014,Introvert,0.10666663,0.21333325
19015,Introvert,0.0,0.0
19016,Introvert,0.0,0.0
19017,Extrovert,0.98666584,0.02666831
19018,Introvert,0.0,0.0
19019,Extrovert,0.99666584,0.0066683292
19020,Introvert,0.0,0.0
19021,Introvert,0.0,0.0
19022,Introvert,0.0,0.0
19023,Introvert,0.01,0.01999998
19024,Introvert,0.0,0.0
19025,Introvert,0.0,0.0
19026,Introvert,0.0,0.0
19027,Introvert,0.006666667,0.013333321
19028,Introvert,0.0,0.0
19029,Introvert,0.0,0.0
19030,Extrovert,0.95333254,0.09333491
19031,Introvert,0.0,0.0
19032,Extrovert,0.9899992,0.02000165
19033,Introvert,0.0,0.0
19034,Introvert,0.0,0.0
19035,Introvert,0.0,0.0
19036,Introvert,0.006666667,0.013333321
19037,Extrovert,0.9733325,0.05333495
19038,Extrovert,0.99666584,0.0066683292
19039,Introvert,0.11666662,0.23333323
19040,Introvert,0.0033333334,0.0066666603
19041,Introvert,0.033333335,0.06666666
19042,Extrovert,0.99666584,0.0066683292
19043,Extrovert,0.99666584,0.0066683292
19044,Introvert,0.0,0.0
19045,Introvert,0.0,0.0
19046,Introvert,0.006666667,0.013333321
19047,Introvert,0.0,0.0
19048,Introvert,0.0,0.0
19049,Extrovert,0.99999917,1.66893e-06
19050,Introvert,0.0,0.0
19051,Extrovert,0.99999917,1.66893e-06
19052,Introvert,0.0,0.0
19053,Introvert,0.0,0.0
19054,Extrovert,0.9933325,0.01333499
19055,Extrovert,0.9599992,0.08000159
19056,Introvert,0.0,0.0
19057,Introvert,0.0,0.0
19058,Introvert,0.013333334,0.026666641
19059,Introvert,0.0,0.0
19060,Introvert,0.0,0.0
19061,Introvert,0.0,0.0
19062,Introvert,0.0,0.0
19063,Introvert,0.0033333334,0.0066666603
19064,Introvert,0.006666667,0.013333321
19065,Introvert,0.0,0.0
19066,Extrovert,0.99999917,1.66893e-06
19067,Introvert,0.0033333334,0.0066666603
19068,Introvert,0.033333335,0.06666666
19069,Introvert,0.0,0.0
19070,Introvert,0.006666667,0.013333321
19071,Introvert,0.0,0.0
19072,Extrovert,0.9933325,0.01333499
19073,Introvert,0.0,0.0
19074,Introvert,0.0,0.0
19075,Introvert,0.016666668,0.03333336
19076,Introvert,0.0,0.0
19077,Introvert,0.0,0.0
19078,Introvert,0.0,0.0
19079,Introvert,0.0033333334,0.0066666603
19080,Introvert,0.0,0.0
19081,Introvert,0.0,0.0
19082,Introvert,0.0033333334,0.0066666603
19083,Introvert,0.0,0.0
19084,Introvert,0.0,0.0
19085,Introvert,0.006666667,0.013333321
19086,Introvert,0.0,0.0
19087,Extrovert,0.9833325,0.03333497
19088,Introvert,0.0,0.0
19089,Extrovert,0.99666584,0.0066683292
19090,Introvert,0.0,0.0
19091,Introvert,0.0,0.0
19092,Extrovert,0.99666584,0.0066683292
19093,Introvert,0.0,0.0
19094,Introvert,0.0,0.0
19095,Introvert,0.0,0.0
19096,Extrovert,0.99999917,1.66893e-06
19097,Extrovert,0.9899992,0.02000165
19098,Extrovert,0.99999917,1.66893e-06
19099,Introvert,0.0,0.0
19100,Introvert,0.0,0.0
19101,Introvert,0.0033333334,0.0066666603
19102,Introvert,0.033333335,0.06666666
19103,Introvert,0.006666667,0.013333321
19104,Introvert,0.0,0.0
19105,Extrovert,0.9933325,0.01333499
19106,Extrovert,0.99999917,1.66893e-06
19107,Introvert,0.0,0.0
19108,Introvert,0.10666663,0.21333325
19109,Introvert,0.0,0.0
19110,Introvert,0.01,0.01999998
19111,Introvert,0.016666668,0.03333336
19112,Extrovert,0.99666584,0.0066683292
19113,Introvert,0.0,0.0
19114,Introvert,0.0,0.0
19115,Introvert,0.0,0.0
19116,Introvert,0.0,0.0
19117,Introvert,0.0,0.0
19118,Introvert,0.0033333334,0.0066666603
19119,Extrovert,0.99666584,0.0066683292
19120,Extrovert,0.99999917,1.66893e-06
19121,Introvert,0.0,0.0
19122,Extrovert,0.99999917,1.66893e-06
19123,Introvert,0.0,0.0
19124,Introvert,0.0,0.0
19125,Introvert,0.0,0.0
19126,Introvert,0.0,0.0
19127,Introvert,0.0,0.0
19128,Introvert,0.14333327,0.2866665
19129,Introvert,0.0,0.0
19130,Introvert,0.0,0.0
19131,Introvert,0.0,0.0
19132,Introvert,0.0033333334,0.0066666603
19133,Extrovert,0.99999917,1.66893e-06
19134,Introvert,0.0,0.0
19135,Extrovert,0.9933325,0.01333499
19136,Introvert,0.01,0.01999998
19137,Introvert,0.0033333334,0.0066666603
19138,Introvert,0.006666667,0.013333321
19139,Introvert,0.0033333334,0.0066666603
19140,Introvert,0.0,0.0
19141,Introvert,0.0,0.0
19142,Extrovert,0.99666584,0.0066683292
19143,Extrovert,0.99999917,1.66893e-06
19144,Introvert,0.0,0.0
19145,Introvert,0.006666667,0.013333321
19146,Introvert,0.0,0.0
19147,Introvert,0.0,0.0
19148,Introvert,0.020000001,0.04000002
19149,Introvert,0.0033333334,0.0066666603
19150,Introvert,0.0,0.0
19151,Introvert,0.0,0.0
19152,Introvert,0.0033333334,0.0066666603
19153,Introvert,0.0033333334,0.0066666603
19154,Introvert,0.0,0.0
19155,Extrovert,0.99999917,1.66893e-06
19156,Introvert,0.013333334,0.026666641
19157,Introvert,0.0,0.0
19158,Extrovert,0.90999925,0.1800015
19159,Introvert,0.0,0.0
19160,Introvert,0.0,0.0
19161,Introvert,0.0,0.0
19162,Introvert,0.0,0.0
19163,Introvert,0.0,0.0
19164,Introvert,0.0,0.0
19165,Introvert,0.0033333334,0.0066666603
19166,Introvert,0.0033333334,0.0066666603
19167,Introvert,0.0,0.0
19168,Introvert,0.013333334,0.026666641
19169,Introvert,0.023333335,0.04666668
19170,Extrovert,0.99999917,1.66893e-06
19171,Introvert,0.0,0.0
19172,Introvert,0.0,0.0
19173,Extrovert,0.99666584,0.0066683292
19174,Introvert,0.0,0.0
19175,Introvert,0.0,0.0
19176,Extrovert,0.99999917,1.66893e-06
19177,Extrovert,0.9933325,0.01333499
19178,Introvert,0.0,0.0
19179,Extrovert,0.9899992,0.02000165
19180,Extrovert,0.9933325,0.01333499
19181,Extrovert,0.9566659,0.08666825
19182,Introvert,0.0033333334,0.0066666603
19183,Introvert,0.0,0.0
19184,Extrovert,0.99666584,0.0066683292
19185,Extrovert,0.9899992,0.02000165
19186,Introvert,0.0,0.0
19187,Introvert,0.0,0.0
19188,Introvert,0.0,0.0
19189,Introvert,0.0,0.0
19190,Extrovert,0.99999917,1.66893e-06
19191,Introvert,0.0,0.0
19192,Introvert,0.033333335,0.06666666
19193,Extrovert,0.99999917,1.66893e-06
19194,Introvert,0.0,0.0
19195,Introvert,0.013333334,0.026666641
19196,Introvert,0.0,0.0
19197,Introvert,0.0033333334,0.0066666603
19198,Introvert,0.0,0.0
19199,Extrovert,0.99666584,0.0066683292
19200,Introvert,0.0,0.0
19201,Introvert,0.0,0.0
19202,Introvert,0.0,0.0
19203,Introvert,0.0,0.0
19204,Introvert,0.0,0.0
19205,Introvert,0.0033333334,0.0066666603
19206,Extrovert,0.99666584,0.0066683292
19207,Extrovert,0.99999917,1.66893e-06
19208,Introvert,0.0,0.0
19209,Introvert,0.0033333334,0.0066666603
19210,Extrovert,0.99999917,1.66893e-06
19211,Introvert,0.0,0.0
19212,Introvert,0.01,0.01999998
19213,Introvert,0.0033333334,0.0066666603
19214,Introvert,0.0,0.0
19215,Introvert,0.006666667,0.013333321
19216,Introvert,0.0,0.0
19217,Introvert,0.0,0.0
19218,Extrovert,0.9933325,0.01333499
19219,Introvert,0.0,0.0
19220,Introvert,0.0,0.0
19221,Introvert,0.0,0.0
19222,Introvert,0.0033333334,0.0066666603
19223,Introvert,0.0,0.0
19224,Introvert,0.03666667,0.07333332
19225,Extrovert,0.99999917,1.66893e-06
19226,Introvert,0.0033333334,0.0066666603
19227,Introvert,0.0,0.0
19228,Extrovert,0.9799992,0.04000163
19229,Introvert,0.0,0.0
19230,Introvert,0.0,0.0
19231,Introvert,0.0,0.0
19232,Introvert,0.013333334,0.026666641
19233,Introvert,0.0,0.0
19234,Introvert,0.0,0.0
19235,Introvert,0.0,0.0
19236,Introvert,0.0,0.0
19237,Introvert,0.0,0.0
19238,Introvert,0.0,0.0
19239,Introvert,0.0,0.0
19240,Extrovert,0.99999917,1.66893e-06
19241,Introvert,0.0,0.0
19242,Introvert,0.09999997,0.19999993
19243,Introvert,0.0,0.0
19244,Extrovert,0.99666584,0.0066683292
19245,Introvert,0.0,0.0
19246,Extrovert,0.9899992,0.02000165
19247,Introvert,0.013333334,0.026666641
19248,Introvert,0.0033333334,0.0066666603
19249,Introvert,0.0,0.0
19250,Introvert,0.020000001,0.04000002
19251,Extrovert,0.9799992,0.04000163
19252,Introvert,0.0,0.0
19253,Introvert,0.0,0.0
19254,Introvert,0.0,0.0
19255,Introvert,0.0,0.0
19256,Introvert,0.0,0.0
19257,Extrovert,0.99999917,1.66893e-06
19258,Introvert,0.0033333334,0.0066666603
19259,Introvert,0.006666667,0.013333321
19260,Introvert,0.0,0.0
19261,Introvert,0.0,0.0
19262,Introvert,0.0033333334,0.0066666603
19263,Introvert,0.02666667,0.053333342
19264,Introvert,0.023333335,0.04666668
19265,Introvert,0.0033333334,0.0066666603
19266,Extrovert,0.99999917,1.66893e-06
19267,Introvert,0.0,0.0
19268,Introvert,0.0,0.0
19269,Introvert,0.0,0.0
19270,Introvert,0.0,0.0
