id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,adv_prob
69,4.0,Yes,1.0,,Yes,0.0,2.0,Introvert,0.14
70,3.0,No,4.0,3.0,No,6.0,10.0,Extrovert,0.03
71,0.0,No,7.0,4.0,,15.0,9.0,Extrovert,0.5743095238095238
72,2.0,No,8.0,6.0,No,10.0,8.0,Extrovert,0.0
73,1.0,No,7.0,5.0,No,12.0,4.0,Extrovert,0.16166666666666668
74,2.0,No,6.0,6.0,No,5.0,3.0,Extrovert,0.09
75,2.0,No,7.0,5.0,No,10.0,8.0,Extrovert,0.09200000000000001
76,10.0,Yes,0.0,2.0,Yes,1.0,1.0,Introvert,0.05
77,5.0,Yes,2.0,3.0,,1.0,3.0,Introvert,0.14
78,0.0,No,5.0,4.0,No,6.0,7.0,Extrovert,0.016666666666666666
79,1.0,No,4.0,4.0,No,12.0,8.0,Extrovert,0.028333333333333332
80,2.0,No,9.0,4.0,No,6.0,,Extrovert,0.2690169552669552
81,4.0,No,8.0,5.0,No,8.0,6.0,Extrovert,0.09583333333333333
82,0.0,No,6.0,7.0,No,14.0,3.0,Extrovert,0.05
83,9.0,Yes,,3.0,Yes,4.0,0.0,Introvert,0.2023333333333333
84,3.0,No,7.0,6.0,No,4.0,6.0,Extrovert,0.08
85,0.0,No,6.0,4.0,No,6.0,6.0,Extrovert,0.14783333333333334
86,1.0,No,8.0,3.0,No,10.0,6.0,Extrovert,0.10704761904761904
87,11.0,,0.0,2.0,Yes,1.0,2.0,Introvert,0.01
88,3.0,No,6.0,4.0,No,,,Extrovert,0.23046031746031734
89,2.0,,5.0,5.0,No,5.0,3.0,Extrovert,0.026666666666666665
90,0.0,No,5.0,6.0,No,,9.0,Extrovert,0.5724404761904762
91,3.0,No,3.0,7.0,No,4.0,9.0,Extrovert,0.04
92,10.0,,1.0,2.0,Yes,1.0,0.0,Introvert,0.03
93,1.0,No,9.0,7.0,No,,6.0,Extrovert,0.6054761904761904
94,2.0,No,5.0,6.0,No,7.0,8.0,Extrovert,0.0375
95,0.0,No,8.0,6.0,No,6.0,5.0,Extrovert,0.07361111111111111
96,9.0,,1.0,3.0,Yes,4.0,3.0,Introvert,0.17
97,4.0,Yes,3.0,0.0,Yes,0.0,1.0,Introvert,0.1
98,0.0,No,6.0,5.0,No,11.0,7.0,Extrovert,0.015
99,2.0,No,6.0,3.0,No,,7.0,Extrovert,0.6485
100,1.0,No,6.0,5.0,No,7.0,3.0,Extrovert,0.03333333333333333
101,2.0,No,10.0,6.0,No,10.0,7.0,Extrovert,0.04066666666666666
102,6.0,Yes,2.0,0.0,Yes,2.0,0.0,Introvert,0.11
103,0.0,No,6.0,6.0,No,11.0,6.0,Extrovert,0.139
104,,No,6.0,6.0,No,8.0,8.0,Extrovert,0.3486904761904762
105,8.0,Yes,0.0,2.0,,1.0,0.0,Introvert,0.19
106,2.0,No,10.0,4.0,No,10.0,3.0,Extrovert,0.0
107,,No,4.0,4.0,No,5.0,6.0,Extrovert,0.0075
108,9.0,No,6.0,6.0,No,15.0,4.0,Extrovert,0.16
109,2.0,No,6.0,5.0,No,6.0,6.0,Extrovert,0.3260357142857142
110,0.0,No,9.0,4.0,No,14.0,6.0,Extrovert,0.016666666666666666
111,3.0,No,4.0,3.0,No,14.0,7.0,Extrovert,0.04
112,3.0,No,5.0,3.0,No,7.0,9.0,Extrovert,0.086
113,0.0,No,10.0,4.0,No,9.0,8.0,Extrovert,0.08
114,5.0,Yes,0.0,3.0,Yes,5.0,2.0,Introvert,0.04
115,2.0,No,4.0,4.0,No,12.0,4.0,Extrovert,0.27323809523809517
116,1.0,No,4.0,5.0,No,8.0,6.0,Extrovert,0.0125
117,0.0,No,6.0,5.0,No,13.0,8.0,Extrovert,0.045
118,3.0,No,4.0,6.0,No,12.0,7.0,Extrovert,0.051500000000000004
119,10.0,Yes,,2.0,Yes,4.0,0.0,Introvert,0.18600000000000003
120,1.0,No,9.0,3.0,No,9.0,,Extrovert,0.11158333333333333
121,9.0,Yes,3.0,,Yes,0.0,1.0,Introvert,0.17
122,6.0,Yes,1.0,0.0,Yes,0.0,1.0,Introvert,0.05
123,7.0,Yes,3.0,1.0,Yes,5.0,,Introvert,0.02
124,4.0,No,7.0,6.0,No,11.0,3.0,Extrovert,0.13
125,1.0,No,6.0,3.0,No,9.0,9.0,Extrovert,0.08
126,3.0,No,4.0,7.0,No,7.0,3.0,Extrovert,0.09
127,1.0,No,9.0,4.0,No,6.0,7.0,Extrovert,0.003333333333333333
128,1.0,No,4.0,6.0,No,8.0,8.0,Extrovert,0.03666666666666667
129,,No,4.0,4.0,No,15.0,3.0,Extrovert,0.5015119047619047
130,10.0,Yes,0.0,,Yes,0.0,0.0,Introvert,0.2
131,2.0,No,9.0,4.0,No,15.0,8.0,Extrovert,0.12166666666666666
132,,No,8.0,5.0,No,15.0,7.0,Extrovert,0.33038095238095233
133,0.0,,5.0,7.0,No,7.0,9.0,Extrovert,0.01
134,3.0,No,4.0,6.0,No,13.0,6.0,Extrovert,0.264
135,3.0,No,9.0,6.0,No,11.0,9.0,Extrovert,0.025
136,1.0,No,9.0,3.0,No,12.0,9.0,Extrovert,0.03
137,0.0,No,3.0,3.0,No,4.0,8.0,Extrovert,0.13
138,3.0,No,8.0,7.0,No,,3.0,Extrovert,0.35235714285714287
139,11.0,,2.0,2.0,Yes,2.0,2.0,Introvert,0.04
140,4.0,No,7.0,6.0,No,11.0,6.0,Extrovert,0.16
141,2.0,No,8.0,6.0,No,11.0,6.0,Extrovert,0.5116666666666666
142,1.0,No,7.0,4.0,No,12.0,4.0,Extrovert,0.03
143,1.0,No,3.0,6.0,No,12.0,9.0,Extrovert,0.21
144,3.0,No,4.0,4.0,No,9.0,9.0,Extrovert,0.03166666666666666
145,1.0,No,4.0,5.0,No,8.0,,Extrovert,0.3375238095238094
146,1.0,No,7.0,4.0,No,14.0,,Extrovert,0.007619047619047619
147,7.0,Yes,3.0,1.0,Yes,3.0,,Introvert,0.04
148,1.0,,9.0,3.0,No,11.0,7.0,Extrovert,0.06
149,0.0,No,4.0,6.0,No,,3.0,Extrovert,0.10433333333333333
150,6.0,Yes,,1.0,Yes,3.0,1.0,Introvert,0.05
151,7.0,,0.0,2.0,Yes,0.0,2.0,Introvert,0.01
152,,Yes,1.0,2.0,Yes,3.0,3.0,Introvert,0.11
153,0.0,,6.0,3.0,No,10.0,3.0,Extrovert,0.02
154,2.0,No,4.0,7.0,No,5.0,6.0,Extrovert,0.08
155,10.0,Yes,0.0,1.0,Yes,,2.0,Introvert,0.2535
156,10.0,Yes,0.0,0.0,Yes,4.0,2.0,Introvert,0.07
157,3.0,No,5.0,5.0,,7.0,6.0,Extrovert,0.4653333333333333
158,11.0,Yes,0.0,2.0,,4.0,,Introvert,0.06
159,10.0,,3.0,0.0,Yes,2.0,0.0,Introvert,0.1
160,0.0,No,9.0,5.0,No,15.0,,Extrovert,0.04
161,,No,6.0,5.0,No,10.0,3.0,Extrovert,0.04666666666666667
162,0.0,No,7.0,7.0,No,15.0,3.0,Extrovert,0.09
163,4.0,Yes,2.0,0.0,Yes,0.0,0.0,Introvert,0.13
164,2.0,No,9.0,3.0,No,14.0,3.0,Extrovert,0.05
165,6.0,Yes,,0.0,Yes,,1.0,Introvert,0.06
166,1.0,No,7.0,3.0,,8.0,8.0,Extrovert,0.07766666666666666
167,3.0,No,6.0,4.0,No,13.0,4.0,Extrovert,0.02011904761904762
168,7.0,Yes,3.0,,,4.0,2.0,Introvert,0.07
169,7.0,Yes,1.0,1.0,Yes,0.0,1.0,Introvert,0.14
170,1.0,No,,3.0,No,12.0,6.0,Extrovert,0.3175238095238095
171,2.0,No,7.0,4.0,No,11.0,,Extrovert,0.0115
172,2.0,No,8.0,6.0,No,11.0,3.0,Extrovert,0.01
173,2.0,No,9.0,6.0,No,12.0,7.0,Extrovert,0.02583333333333333
174,3.0,No,10.0,3.0,No,4.0,8.0,Extrovert,0.11
175,2.0,No,6.0,5.0,No,12.0,7.0,Extrovert,0.11666666666666665
176,,No,7.0,3.0,No,8.0,5.0,Extrovert,0.2952301587301586
177,4.0,No,8.0,,No,11.0,7.0,Extrovert,0.01875
178,3.0,No,3.0,6.0,,4.0,8.0,Extrovert,0.0
179,10.0,Yes,0.0,2.0,,4.0,0.0,Introvert,0.075
180,8.0,Yes,3.0,,Yes,5.0,1.0,Introvert,0.15
181,1.0,No,9.0,3.0,No,8.0,4.0,Extrovert,0.0
182,11.0,Yes,4.0,1.0,Yes,1.0,0.0,Introvert,0.05
183,,No,6.0,7.0,No,14.0,4.0,Extrovert,0.02
184,1.0,No,7.0,4.0,No,5.0,8.0,Extrovert,0.04666666666666667
185,3.0,No,4.0,4.0,No,10.0,5.0,Extrovert,0.3316507936507936
186,1.0,No,7.0,4.0,No,6.0,,Extrovert,0.02
187,10.0,Yes,2.0,3.0,Yes,3.0,1.0,Introvert,0.04
188,0.0,No,6.0,4.0,No,15.0,8.0,Extrovert,0.09723809523809525
189,6.0,Yes,3.0,,Yes,4.0,1.0,Introvert,0.13
190,6.0,,3.0,2.0,Yes,5.0,0.0,Introvert,0.03
191,0.0,No,9.0,,No,12.0,4.0,Extrovert,0.03333333333333333
192,2.0,No,5.0,5.0,No,13.0,3.0,Extrovert,0.08333333333333331
193,1.0,No,4.0,,No,15.0,7.0,Extrovert,0.02083333333333333
194,2.0,No,9.0,6.0,No,7.0,9.0,Extrovert,0.03866666666666667
195,0.0,No,7.0,,No,12.0,4.0,Extrovert,0.6166666666666667
196,3.0,No,4.0,5.0,No,5.0,5.0,Extrovert,0.03
197,1.0,No,4.0,6.0,No,12.0,5.0,Extrovert,0.115
198,2.0,No,9.0,3.0,No,10.0,9.0,Extrovert,0.0785
199,3.0,No,8.0,4.0,No,,3.0,Extrovert,0.05249999999999999
200,1.0,No,4.0,,No,6.0,,Extrovert,0.009000000000000001
201,0.0,No,7.0,4.0,,,6.0,Extrovert,0.0
202,2.0,No,5.0,5.0,No,13.0,9.0,Extrovert,0.1235
203,1.0,No,3.0,7.0,No,10.0,8.0,Extrovert,0.17
204,0.0,No,6.0,5.0,,14.0,3.0,Extrovert,0.076
205,7.0,Yes,3.0,1.0,Yes,,3.0,Introvert,0.02
206,1.0,No,8.0,3.0,No,10.0,9.0,Extrovert,0.16400000000000003
207,1.0,No,9.0,6.0,No,,10.0,Extrovert,0.03
208,0.0,No,4.0,,No,10.0,4.0,Extrovert,0.04666666666666666
209,0.0,,8.0,3.0,No,15.0,9.0,Extrovert,0.015
210,6.0,Yes,0.0,2.0,Yes,0.0,1.0,Introvert,0.03
211,10.0,Yes,3.0,1.0,Yes,,1.0,Introvert,0.16
212,1.0,No,8.0,3.0,No,7.0,,Extrovert,0.623357142857143
213,8.0,,2.0,1.0,Yes,4.0,1.0,Introvert,0.14
214,4.0,Yes,2.0,0.0,,0.0,0.0,Introvert,0.12
215,1.0,No,6.0,,No,8.0,9.0,Extrovert,0.02
216,5.0,Yes,1.0,2.0,,2.0,1.0,Introvert,0.07
217,,No,8.0,,No,15.0,4.0,Extrovert,0.02333333333333333
218,3.0,,9.0,6.0,No,9.0,6.0,Extrovert,0.015
219,,No,9.0,7.0,No,6.0,8.0,Extrovert,0.035
220,9.0,,1.0,0.0,Yes,0.0,0.0,Introvert,0.08
221,1.0,No,8.0,5.0,No,,8.0,Extrovert,0.4268333333333334
222,0.0,No,10.0,4.0,No,11.0,4.0,Extrovert,0.04
223,3.0,No,5.0,4.0,No,8.0,6.0,Extrovert,0.008333333333333333
224,3.0,No,8.0,6.0,No,13.0,5.0,Extrovert,0.469
225,2.0,No,5.0,4.0,No,7.0,6.0,Extrovert,0.012
226,4.0,No,7.0,4.0,No,6.0,7.0,Extrovert,0.09333333333333332
227,3.0,No,9.0,7.0,No,9.0,4.0,Extrovert,0.0
228,1.0,No,8.0,4.0,No,10.0,3.0,Extrovert,0.537297619047619
229,0.0,No,7.0,,No,,9.0,Extrovert,0.2197738095238095
230,3.0,,5.0,4.0,No,11.0,9.0,Extrovert,0.01
231,0.0,No,5.0,3.0,No,,3.0,Extrovert,0.20745382395382392
232,11.0,Yes,1.0,0.0,Yes,4.0,2.0,Introvert,0.04
233,2.0,No,8.0,4.0,No,5.0,9.0,Extrovert,0.3723095238095238
234,11.0,Yes,2.0,1.0,Yes,,,Introvert,0.11
235,2.0,No,4.0,3.0,No,5.0,10.0,Extrovert,0.08
236,9.0,Yes,1.0,0.0,,3.0,0.0,Introvert,0.0
237,0.0,No,4.0,6.0,No,9.0,6.0,Extrovert,0.027999999999999997
238,11.0,Yes,2.0,2.0,Yes,1.0,,Introvert,0.08
239,11.0,Yes,3.0,1.0,Yes,4.0,3.0,Introvert,0.05
240,0.0,,5.0,5.0,No,13.0,3.0,Extrovert,0.6395238095238095
241,2.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert,0.43433333333333346
242,3.0,No,,5.0,No,12.0,10.0,Extrovert,0.42466666666666675
243,3.0,No,6.0,7.0,No,10.0,6.0,Extrovert,0.17566666666666664
244,4.0,No,4.0,5.0,No,9.0,4.0,Extrovert,0.14666666666666667
245,10.0,No,3.0,5.0,No,5.0,4.0,Extrovert,0.045
246,3.0,No,5.0,4.0,No,15.0,6.0,Extrovert,0.04958333333333333
247,,No,9.0,6.0,No,11.0,5.0,Extrovert,0.0
248,7.0,No,4.0,4.0,No,7.0,7.0,Extrovert,0.1
249,10.0,Yes,1.0,2.0,,2.0,2.0,Introvert,0.13
250,1.0,No,9.0,4.0,No,12.0,6.0,Extrovert,0.02333333333333333
251,1.0,No,7.0,6.0,No,5.0,3.0,Extrovert,0.06
252,10.0,,0.0,1.0,Yes,2.0,0.0,Introvert,0.22
253,1.0,No,10.0,3.0,No,14.0,8.0,Extrovert,0.22333333333333336
254,,No,8.0,4.0,No,11.0,7.0,Extrovert,0.25201190476190466
255,1.0,No,8.0,3.0,No,5.0,7.0,Extrovert,0.13583333333333333
256,0.0,No,9.0,4.0,No,13.0,6.0,Extrovert,0.01
257,,No,5.0,6.0,No,12.0,4.0,Extrovert,0.5383888888888889
258,2.0,No,6.0,6.0,No,13.0,5.0,Extrovert,0.0
259,10.0,Yes,2.0,1.0,Yes,1.0,3.0,Introvert,0.07
260,,Yes,0.0,0.0,Yes,,1.0,Introvert,0.15
261,3.0,No,6.0,4.0,No,9.0,8.0,Extrovert,0.0425
262,7.0,Yes,,,Yes,4.0,2.0,Introvert,0.12
263,6.0,Yes,,0.0,Yes,,2.0,Introvert,0.07
264,2.0,No,9.0,6.0,No,4.0,3.0,Extrovert,0.18599999999999997
265,10.0,Yes,0.0,2.0,Yes,0.0,3.0,Introvert,0.09
266,2.0,No,8.0,3.0,No,14.0,7.0,Extrovert,0.08183333333333334
267,8.0,Yes,3.0,3.0,Yes,3.0,2.0,Introvert,0.07
268,9.0,Yes,,2.0,Yes,2.0,2.0,Introvert,0.02
269,1.0,No,9.0,4.0,No,11.0,,Extrovert,0.2267341269841269
270,0.0,No,7.0,7.0,No,10.0,7.0,Extrovert,0.07833333333333332
271,4.0,,0.0,0.0,Yes,5.0,3.0,Introvert,0.1
272,4.0,No,5.0,3.0,No,12.0,3.0,Extrovert,0.1125
273,1.0,No,5.0,3.0,No,4.0,7.0,Extrovert,0.15
274,3.0,No,5.0,6.0,No,7.0,9.0,Extrovert,0.41240476190476194
275,3.0,No,6.0,7.0,No,6.0,7.0,Extrovert,0.0575
276,6.0,Yes,0.0,0.0,,1.0,0.0,Introvert,0.16
277,4.0,Yes,0.0,0.0,Yes,,0.0,Introvert,0.1
278,3.0,No,8.0,3.0,No,14.0,6.0,Extrovert,0.05
279,8.0,Yes,4.0,1.0,Yes,3.0,0.0,Introvert,0.12
280,3.0,No,9.0,7.0,No,14.0,3.0,Extrovert,0.16
281,2.0,No,6.0,5.0,No,9.0,3.0,Extrovert,0.46307575757575764
282,,No,6.0,5.0,No,8.0,5.0,Extrovert,0.0
283,8.0,,3.0,0.0,Yes,5.0,1.0,Introvert,0.17
284,7.0,Yes,3.0,,Yes,4.0,,Introvert,0.19
285,,No,9.0,5.0,No,12.0,6.0,Extrovert,0.06666666666666667
286,1.0,No,7.0,5.0,No,8.0,6.0,Extrovert,0.061000000000000006
287,3.0,No,6.0,7.0,No,11.0,3.0,Extrovert,0.16916666666666663
288,10.0,Yes,3.0,2.0,,5.0,2.0,Introvert,0.09
289,5.0,Yes,,2.0,Yes,1.0,3.0,Introvert,0.04
290,1.0,No,5.0,6.0,No,6.0,4.0,Extrovert,0.5193333333333334
291,0.0,No,5.0,4.0,No,6.0,4.0,Extrovert,0.02119047619047619
292,0.0,No,6.0,6.0,No,12.0,3.0,Extrovert,0.013333333333333332
293,10.0,Yes,3.0,0.0,,5.0,0.0,Introvert,0.15
294,10.0,,3.0,1.0,Yes,2.0,1.0,Introvert,0.11
295,10.0,Yes,1.0,3.0,Yes,4.0,3.0,Introvert,0.07
296,3.0,No,5.0,7.0,No,14.0,3.0,Extrovert,0.135
297,1.0,No,3.0,6.0,No,10.0,5.0,Extrovert,0.06
298,4.0,No,8.0,3.0,No,12.0,5.0,Extrovert,0.08
299,2.0,No,9.0,6.0,No,13.0,10.0,Extrovert,0.19833333333333336
300,2.0,No,4.0,6.0,No,9.0,7.0,Extrovert,0.4883095238095238
301,3.0,No,7.0,7.0,No,14.0,10.0,Extrovert,0.15
302,,No,6.0,4.0,No,11.0,,Extrovert,0.2568095238095237
303,2.0,No,8.0,5.0,No,15.0,9.0,Extrovert,0.021666666666666664
304,5.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert,0.17
305,1.0,No,4.0,4.0,No,12.0,5.0,Extrovert,0.010190476190476189
306,0.0,No,,3.0,No,12.0,4.0,Extrovert,0.03
307,9.0,Yes,,,Yes,5.0,2.0,Introvert,0.039999999999999994
308,1.0,No,5.0,3.0,No,10.0,6.0,Extrovert,0.1020238095238095
309,11.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert,0.12
310,1.0,No,5.0,5.0,No,13.0,8.0,Extrovert,0.11
311,0.0,No,4.0,3.0,No,9.0,3.0,Extrovert,0.06166666666666666
312,9.0,Yes,1.0,1.0,,5.0,1.0,Introvert,0.05
313,6.0,Yes,0.0,0.0,Yes,0.0,,Introvert,0.13
314,3.0,No,10.0,7.0,No,13.0,7.0,Extrovert,0.25
315,2.0,No,6.0,3.0,No,10.0,4.0,Extrovert,0.48866666666666675
316,2.0,,6.0,4.0,No,13.0,7.0,Extrovert,0.03
317,6.0,Yes,0.0,3.0,Yes,3.0,2.0,Introvert,0.11
318,0.0,No,5.0,7.0,No,13.0,7.0,Extrovert,0.01
319,7.0,Yes,1.0,,Yes,4.0,0.0,Introvert,0.12933333333333333
320,,Yes,2.0,1.0,Yes,3.0,0.0,Introvert,0.11
321,,,2.0,2.0,Yes,2.0,2.0,Introvert,0.16
322,10.0,,3.0,0.0,Yes,4.0,3.0,Introvert,0.03
323,7.0,Yes,1.0,,Yes,4.0,2.0,Introvert,0.16
324,0.0,No,6.0,7.0,No,4.0,8.0,Extrovert,0.16
325,2.0,No,9.0,6.0,No,14.0,9.0,Extrovert,0.129
326,3.0,No,3.0,3.0,No,6.0,5.0,Extrovert,0.07
327,0.0,No,4.0,6.0,No,12.0,8.0,Extrovert,0.05333333333333334
328,2.0,No,,4.0,No,4.0,5.0,Extrovert,0.3507619047619046
329,2.0,No,5.0,3.0,No,10.0,,Extrovert,0.008
330,11.0,Yes,2.0,,Yes,4.0,2.0,Introvert,0.07
331,2.0,No,7.0,3.0,No,8.0,8.0,Extrovert,0.07
332,2.0,No,4.0,3.0,No,8.0,9.0,Extrovert,0.03785714285714285
333,0.0,No,6.0,3.0,No,11.0,7.0,Extrovert,0.03
334,3.0,No,5.0,5.0,No,7.0,7.0,Extrovert,0.44308730158730164
335,3.0,No,9.0,5.0,No,,3.0,Extrovert,0.02
336,2.0,No,5.0,6.0,No,9.0,8.0,Extrovert,0.0075
337,0.0,No,9.0,7.0,No,9.0,7.0,Extrovert,0.035666666666666666
338,,No,9.0,6.0,No,13.0,8.0,Extrovert,0.2886904761904761
339,1.0,No,5.0,6.0,No,4.0,5.0,Extrovert,0.0225
340,0.0,No,8.0,4.0,No,9.0,5.0,Extrovert,0.3193809523809523
341,2.0,No,9.0,3.0,No,5.0,7.0,Extrovert,0.1381666666666667
342,1.0,No,9.0,4.0,No,5.0,3.0,Extrovert,0.42285714285714293
343,2.0,No,5.0,3.0,No,11.0,,Extrovert,0.03166666666666666
344,1.0,No,5.0,4.0,No,11.0,,Extrovert,0.28044841269841264
345,0.0,No,5.0,7.0,No,14.0,7.0,Extrovert,0.0
346,10.0,Yes,,,Yes,5.0,1.0,Introvert,0.03
347,3.0,,9.0,6.0,No,14.0,8.0,Extrovert,0.5311190476190476
348,1.0,No,6.0,6.0,No,14.0,9.0,Extrovert,0.06535714285714285
349,1.0,No,,3.0,No,6.0,4.0,Extrovert,0.028666666666666667
350,2.0,No,5.0,5.0,,14.0,3.0,Extrovert,0.24007936507936506
351,0.0,No,8.0,5.0,No,14.0,10.0,Extrovert,0.02
352,4.0,No,10.0,4.0,No,7.0,7.0,Extrovert,0.07
353,3.0,No,6.0,7.0,No,9.0,4.0,Extrovert,0.04466666666666667
354,,No,10.0,4.0,No,12.0,5.0,Extrovert,0.008888888888888889
355,2.0,No,5.0,3.0,No,,3.0,Extrovert,0.6264523809523808
356,2.0,No,7.0,3.0,No,15.0,7.0,Extrovert,0.056666666666666664
357,4.0,No,5.0,5.0,No,13.0,8.0,Extrovert,0.11333333333333334
358,2.0,,8.0,4.0,No,15.0,6.0,Extrovert,0.05
359,3.0,No,8.0,6.0,No,,6.0,Extrovert,0.03333333333333333
360,4.0,Yes,3.0,2.0,Yes,2.0,3.0,Introvert,0.1
361,2.0,No,6.0,5.0,No,3.0,9.0,Extrovert,0.11
362,2.0,No,4.0,3.0,No,4.0,3.0,Extrovert,0.07566666666666667
363,4.0,Yes,3.0,1.0,Yes,,0.0,Introvert,0.17
364,0.0,No,7.0,7.0,No,4.0,3.0,Extrovert,0.19
365,2.0,No,8.0,5.0,No,13.0,3.0,Extrovert,0.0
366,1.0,No,4.0,,No,5.0,9.0,Extrovert,0.47374999999999995
367,,No,5.0,5.0,No,10.0,5.0,Extrovert,0.006666666666666666
368,4.0,Yes,3.0,2.0,,1.0,0.0,Introvert,0.32
