id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,dataset,error_type
5871,1.0,No,5.0,7.0,No,13.0,10.0,Introvert,train,misclassified
5894,7.0,Yes,2.0,0.0,Yes,2.0,,Extrovert,train,misclassified
5906,2.0,No,7.0,4.0,No,7.0,4.0,Introvert,train,misclassified
5908,6.0,No,10.0,6.0,No,9.0,3.0,Introvert,train,misclassified
5940,6.0,Yes,0.0,,Yes,1.0,2.0,Extrovert,train,misclassified
5941,2.0,No,7.0,4.0,No,,9.0,Introvert,train,misclassified
5962,1.0,No,8.0,7.0,No,11.0,7.0,Introvert,train,misclassified
5992,8.0,Yes,0.0,1.0,Yes,3.0,3.0,Extrovert,train,misclassified
6031,7.0,Yes,2.0,0.0,Yes,3.0,,Extrovert,train,misclassified
6137,3.0,No,4.0,5.0,No,14.0,,Introvert,train,misclassified
6162,1.0,No,7.0,7.0,No,12.0,5.0,Introvert,train,misclassified
6171,,No,9.0,3.0,No,12.0,3.0,Introvert,train,misclassified
6283,9.0,,4.0,4.0,No,7.0,6.0,Introvert,train,misclassified
6306,3.0,No,6.0,5.0,No,15.0,5.0,Introvert,train,misclassified
6477,8.0,Yes,3.0,0.0,Yes,1.0,1.0,Extrovert,train,misclassified
6549,5.0,No,7.0,7.0,No,8.0,4.0,Introvert,train,misclassified
6593,0.0,No,7.0,3.0,No,8.0,7.0,Introvert,train,misclassified
6605,10.0,Yes,1.0,2.0,,2.0,0.0,Extrovert,train,misclassified
6667,0.0,No,6.0,7.0,No,5.0,7.0,Introvert,train,misclassified
6670,2.0,No,5.0,7.0,No,9.0,9.0,Introvert,train,misclassified
6698,1.0,No,8.0,7.0,No,6.0,7.0,Introvert,train,misclassified
6741,2.0,No,3.0,5.0,No,5.0,9.0,Introvert,train,misclassified
6759,9.0,Yes,0.0,2.0,,5.0,1.0,Extrovert,train,misclassified
6912,8.0,Yes,3.0,3.0,Yes,5.0,0.0,Extrovert,train,misclassified
7067,1.0,No,6.0,5.0,No,15.0,9.0,Introvert,train,misclassified
7075,10.0,Yes,1.0,2.0,Yes,0.0,1.0,Extrovert,train,misclassified
7095,3.0,,3.0,6.0,No,8.0,8.0,Introvert,train,misclassified
7141,2.0,No,9.0,5.0,No,11.0,9.0,Introvert,train,misclassified
7152,1.0,,7.0,5.0,No,12.0,9.0,Introvert,train,misclassified
7160,6.0,Yes,0.0,2.0,,4.0,2.0,Extrovert,train,misclassified
7183,1.0,No,6.0,7.0,No,9.0,4.0,Introvert,train,misclassified
7210,6.0,Yes,0.0,1.0,Yes,0.0,2.0,Extrovert,train,misclassified
7228,0.0,No,10.0,5.0,No,12.0,6.0,Introvert,train,misclassified
7239,0.0,No,3.0,5.0,No,6.0,9.0,Introvert,train,misclassified
7339,7.0,Yes,0.0,2.0,,2.0,2.0,Extrovert,train,misclassified
7348,2.0,No,5.0,3.0,No,11.0,3.0,Introvert,train,misclassified
7373,,No,8.0,5.0,No,11.0,,Introvert,train,misclassified
7384,10.0,Yes,4.0,0.0,Yes,2.0,2.0,Extrovert,train,misclassified
7410,2.0,No,7.0,4.0,,14.0,4.0,Introvert,train,misclassified
7423,6.0,Yes,1.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
7455,3.0,No,,6.0,No,12.0,5.0,Introvert,train,misclassified
7536,1.0,No,8.0,7.0,No,8.0,5.0,Introvert,train,misclassified
7554,,No,0.0,4.0,No,5.0,6.0,Introvert,train,misclassified
7566,5.0,Yes,1.0,3.0,Yes,4.0,0.0,Extrovert,train,misclassified
7571,3.0,No,7.0,5.0,No,15.0,3.0,Introvert,train,misclassified
7576,2.0,No,6.0,4.0,No,7.0,5.0,Introvert,train,misclassified
7696,10.0,Yes,1.0,1.0,Yes,5.0,1.0,Extrovert,train,misclassified
7706,1.0,No,7.0,5.0,No,13.0,7.0,Introvert,train,misclassified
7711,3.0,No,8.0,6.0,No,7.0,4.0,Introvert,train,misclassified
7726,7.0,Yes,,1.0,Yes,5.0,1.0,Extrovert,train,misclassified
7727,,No,8.0,5.0,No,14.0,,Introvert,train,misclassified
7759,9.0,Yes,1.0,0.0,Yes,4.0,0.0,Extrovert,train,misclassified
7783,6.0,Yes,,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
7801,4.0,Yes,0.0,2.0,Yes,,0.0,Extrovert,train,misclassified
7813,3.0,No,5.0,5.0,No,11.0,4.0,Introvert,train,misclassified
7829,11.0,Yes,2.0,,Yes,0.0,1.0,Extrovert,train,misclassified
7859,5.0,Yes,0.0,2.0,Yes,0.0,3.0,Extrovert,train,misclassified
7862,0.0,No,4.0,7.0,No,8.0,8.0,Introvert,train,misclassified
7881,2.0,No,9.0,5.0,No,6.0,10.0,Introvert,train,misclassified
7902,3.0,No,5.0,3.0,No,,9.0,Introvert,train,misclassified
7913,1.0,No,7.0,7.0,No,11.0,9.0,Introvert,train,misclassified
7918,3.0,No,3.0,4.0,No,14.0,4.0,Introvert,train,misclassified
7931,0.0,No,5.0,7.0,No,5.0,9.0,Introvert,train,misclassified
8002,0.0,No,7.0,5.0,No,13.0,8.0,Introvert,train,misclassified
8056,5.0,Yes,2.0,3.0,Yes,5.0,1.0,Extrovert,train,misclassified
8092,1.0,No,8.0,7.0,No,13.0,8.0,Introvert,train,misclassified
8113,2.0,No,9.0,5.0,No,14.0,4.0,Introvert,train,misclassified
8117,1.0,No,9.0,4.0,,10.0,8.0,Introvert,train,misclassified
8145,0.0,No,8.0,4.0,No,5.0,7.0,Introvert,train,misclassified
8196,,Yes,0.0,3.0,Yes,4.0,0.0,Extrovert,train,misclassified
8227,,Yes,2.0,2.0,Yes,4.0,0.0,Extrovert,train,misclassified
8233,0.0,No,4.0,,No,15.0,7.0,Introvert,train,misclassified
8276,,No,6.0,5.0,No,12.0,6.0,Introvert,train,misclassified
8284,7.0,Yes,3.0,3.0,Yes,2.0,3.0,Extrovert,train,misclassified
8291,10.0,Yes,0.0,2.0,Yes,3.0,,Extrovert,train,misclassified
8318,1.0,,5.0,4.0,No,11.0,3.0,Introvert,train,misclassified
8350,0.0,No,6.0,6.0,No,7.0,6.0,Introvert,train,misclassified
8377,3.0,No,5.0,3.0,No,9.0,8.0,Introvert,train,misclassified
8386,,Yes,2.0,3.0,Yes,5.0,2.0,Extrovert,train,misclassified
8394,,No,5.0,3.0,No,15.0,6.0,Introvert,train,misclassified
8440,9.0,Yes,2.0,2.0,Yes,4.0,0.0,Extrovert,train,misclassified
8452,,No,8.0,6.0,No,11.0,3.0,Introvert,train,misclassified
8501,1.0,No,6.0,,No,10.0,9.0,Introvert,train,misclassified
8578,1.0,No,8.0,6.0,No,8.0,10.0,Introvert,train,misclassified
8608,5.0,No,7.0,3.0,No,10.0,5.0,Introvert,train,misclassified
8659,2.0,No,7.0,6.0,No,11.0,4.0,Introvert,train,misclassified
8688,8.0,Yes,2.0,0.0,Yes,3.0,3.0,Extrovert,train,misclassified
8760,10.0,Yes,2.0,0.0,Yes,3.0,,Extrovert,train,misclassified
8803,4.0,Yes,2.0,0.0,,2.0,1.0,Extrovert,train,misclassified
8842,0.0,No,6.0,3.0,No,5.0,3.0,Introvert,train,misclassified
8847,3.0,No,8.0,4.0,No,,8.0,Introvert,train,misclassified
8859,4.0,No,9.0,7.0,No,9.0,6.0,Introvert,train,misclassified
8923,0.0,,9.0,6.0,No,11.0,5.0,Introvert,train,misclassified
9012,1.0,No,4.0,6.0,No,4.0,4.0,Introvert,train,misclassified
9018,10.0,Yes,0.0,1.0,,3.0,0.0,Extrovert,train,misclassified
9025,0.0,No,3.0,5.0,No,14.0,9.0,Introvert,train,misclassified
9040,4.0,Yes,1.0,3.0,Yes,5.0,0.0,Extrovert,train,misclassified
9157,7.0,Yes,3.0,,Yes,1.0,0.0,Extrovert,train,misclassified
9178,3.0,No,6.0,5.0,No,9.0,6.0,Introvert,train,misclassified
9218,3.0,Yes,0.0,0.0,Yes,4.0,2.0,Extrovert,train,misclassified
9278,3.0,Yes,2.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
9306,4.0,No,5.0,7.0,No,10.0,10.0,Introvert,train,misclassified
9311,11.0,,0.0,0.0,Yes,4.0,1.0,Extrovert,train,misclassified
9317,10.0,Yes,3.0,1.0,,4.0,1.0,Extrovert,train,misclassified
9363,0.0,,8.0,5.0,No,5.0,5.0,Introvert,train,misclassified
9410,1.0,No,8.0,5.0,No,15.0,4.0,Introvert,train,misclassified
9425,0.0,Yes,2.0,2.0,Yes,3.0,2.0,Extrovert,train,misclassified
9445,4.0,No,4.0,4.0,No,15.0,4.0,Introvert,train,misclassified
9487,6.0,Yes,3.0,3.0,Yes,,2.0,Extrovert,train,misclassified
9501,6.0,Yes,2.0,2.0,Yes,,2.0,Extrovert,train,misclassified
9521,11.0,Yes,2.0,3.0,Yes,4.0,0.0,Extrovert,train,misclassified
9578,5.0,Yes,2.0,2.0,Yes,5.0,3.0,Extrovert,train,misclassified
9601,3.0,,6.0,7.0,No,8.0,6.0,Introvert,train,misclassified
9636,3.0,No,8.0,7.0,No,6.0,,Introvert,train,misclassified
9716,1.0,No,3.0,7.0,No,11.0,7.0,Introvert,train,misclassified
9738,1.0,No,6.0,5.0,No,11.0,,Introvert,train,misclassified
9750,6.0,Yes,0.0,3.0,Yes,3.0,0.0,Extrovert,train,misclassified
9818,3.0,,4.0,4.0,No,15.0,7.0,Introvert,train,misclassified
9894,0.0,No,3.0,6.0,No,10.0,7.0,Introvert,train,misclassified
10004,6.0,,2.0,0.0,Yes,4.0,1.0,Extrovert,train,misclassified
10022,8.0,Yes,1.0,3.0,Yes,4.0,,Extrovert,train,misclassified
10027,9.0,Yes,1.0,0.0,Yes,3.0,2.0,Extrovert,train,misclassified
10080,5.0,Yes,2.0,,Yes,,0.0,Extrovert,train,misclassified
10120,0.0,No,3.0,7.0,No,7.0,4.0,Introvert,train,misclassified
10149,8.0,Yes,1.0,2.0,,1.0,2.0,Extrovert,train,misclassified
10164,2.0,No,10.0,5.0,No,9.0,5.0,Introvert,train,misclassified
10169,0.0,No,6.0,5.0,No,14.0,8.0,Introvert,train,misclassified
10243,5.0,No,8.0,5.0,No,15.0,3.0,Introvert,train,misclassified
10254,3.0,No,8.0,7.0,No,12.0,7.0,Introvert,train,misclassified
10282,0.0,No,,6.0,No,8.0,10.0,Introvert,train,misclassified
10331,2.0,No,8.0,7.0,No,,6.0,Introvert,train,misclassified
10374,11.0,Yes,0.0,0.0,Yes,,1.0,Extrovert,train,misclassified
10427,1.0,No,6.0,5.0,No,15.0,7.0,Introvert,train,misclassified
10479,3.0,No,3.0,6.0,No,10.0,3.0,Introvert,train,misclassified
10480,1.0,No,7.0,4.0,No,6.0,7.0,Introvert,train,misclassified
10482,2.0,No,,4.0,No,10.0,8.0,Introvert,train,misclassified
10497,,No,7.0,5.0,No,10.0,6.0,Introvert,train,misclassified
10510,7.0,,3.0,2.0,Yes,5.0,0.0,Extrovert,train,misclassified
10614,4.0,No,3.0,0.0,Yes,5.0,,Extrovert,train,misclassified
10630,5.0,Yes,5.0,0.0,Yes,1.0,2.0,Extrovert,train,misclassified
10634,,Yes,1.0,3.0,Yes,0.0,2.0,Extrovert,train,misclassified
10642,1.0,No,9.0,5.0,No,8.0,,Introvert,train,misclassified
10657,2.0,No,3.0,7.0,No,8.0,9.0,Introvert,train,misclassified
10669,1.0,No,4.0,4.0,No,6.0,4.0,Introvert,train,misclassified
10723,4.0,No,6.0,6.0,No,4.0,5.0,Introvert,train,misclassified
10732,6.0,No,6.0,5.0,No,5.0,6.0,Introvert,train,misclassified
10752,8.0,Yes,2.0,,Yes,2.0,1.0,Extrovert,train,misclassified
10756,9.0,Yes,,0.0,Yes,1.0,2.0,Extrovert,train,misclassified
10761,9.0,Yes,2.0,0.0,Yes,1.0,3.0,Extrovert,train,misclassified
10801,8.0,Yes,2.0,1.0,Yes,2.0,,Extrovert,train,misclassified
10834,8.0,Yes,2.0,2.0,Yes,0.0,1.0,Extrovert,train,misclassified
10844,8.0,No,8.0,6.0,No,12.0,4.0,Introvert,train,misclassified
10854,9.0,,0.0,2.0,Yes,2.0,2.0,Extrovert,train,misclassified
10882,7.0,Yes,0.0,1.0,Yes,5.0,0.0,Extrovert,train,misclassified
10888,11.0,Yes,1.0,3.0,Yes,5.0,2.0,Extrovert,train,misclassified
11006,0.0,No,4.0,6.0,No,10.0,5.0,Introvert,train,misclassified
11036,1.0,No,4.0,4.0,No,14.0,,Introvert,train,misclassified
11044,3.0,No,3.0,6.0,No,7.0,3.0,Introvert,train,misclassified
11046,11.0,Yes,2.0,0.0,,3.0,2.0,Extrovert,train,misclassified
11081,7.0,Yes,3.0,2.0,Yes,0.0,1.0,Extrovert,train,misclassified
11247,2.0,No,7.0,3.0,No,7.0,9.0,Introvert,train,misclassified
11255,0.0,,5.0,5.0,No,14.0,7.0,Introvert,train,misclassified
11259,0.0,No,3.0,3.0,No,12.0,5.0,Introvert,train,misclassified
11312,10.0,No,3.0,,No,5.0,3.0,Extrovert,train,misclassified
11334,,No,7.0,7.0,No,10.0,7.0,Introvert,train,misclassified
11360,,No,8.0,7.0,No,10.0,6.0,Introvert,train,misclassified
11456,1.0,No,8.0,7.0,No,14.0,5.0,Introvert,train,misclassified
11467,9.0,Yes,,2.0,Yes,3.0,2.0,Extrovert,train,misclassified
11472,5.0,Yes,1.0,2.0,Yes,3.0,0.0,Extrovert,train,misclassified
11545,5.0,Yes,1.0,0.0,Yes,0.0,2.0,Extrovert,train,misclassified
11546,8.0,Yes,0.0,0.0,Yes,1.0,,Extrovert,train,misclassified
11557,9.0,Yes,1.0,,Yes,3.0,1.0,Extrovert,train,misclassified
11608,7.0,,2.0,2.0,Yes,1.0,1.0,Extrovert,train,misclassified
11613,7.0,Yes,5.0,0.0,Yes,5.0,0.0,Extrovert,train,misclassified
11615,4.0,No,8.0,6.0,No,10.0,7.0,Introvert,train,misclassified
11625,9.0,Yes,3.0,1.0,Yes,1.0,2.0,Extrovert,train,misclassified
11627,4.0,Yes,2.0,2.0,Yes,3.0,5.0,Extrovert,train,misclassified
11715,2.0,No,7.0,6.0,No,7.0,9.0,Introvert,train,misclassified
11758,6.0,Yes,0.0,,,1.0,0.0,Extrovert,train,misclassified
11781,,No,7.0,5.0,No,8.0,7.0,Introvert,train,misclassified
11794,4.0,No,9.0,5.0,No,15.0,6.0,Introvert,train,misclassified
