id,probability,uncertainty_score,Time_spent_Alone,Social_event_attendance,Drained_after_socializing,Stage_fear,Going_outside,Friends_circle_size,Post_frequency
21537,0.22239251,0.2223925,3.0,0.0,1.0,1.0,2.0,5.0,1.0
20694,0.77909195,0.22090805,2.0,,0.0,0.0,7.0,9.0,10.0
22366,0.78003633,0.21996367,0.0,10.0,0.0,0.0,5.0,13.0,6.0
20033,0.21766037,0.21766037,,2.0,1.0,1.0,2.0,5.0,7.0
21286,0.21667354,0.21667355,4.0,0.0,1.0,1.0,2.0,3.0,3.0
21658,0.21412638,0.21412638,8.0,2.0,1.0,1.0,3.0,4.0,0.0
23770,0.21288046,0.21288046,11.0,2.0,1.0,1.0,0.0,4.0,3.0
23342,0.21002078,0.21002078,7.0,2.0,1.0,1.0,0.0,4.0,0.0
19612,0.79017717,0.20982283,5.0,0.0,1.0,0.0,0.0,4.0,3.0
24293,0.20891663,0.20891663,3.0,3.0,1.0,1.0,0.0,,1.0
20511,0.20825405,0.20825404,,3.0,1.0,,3.0,3.0,3.0
23547,0.7918481,0.20815188,11.0,9.0,0.0,0.0,6.0,13.0,4.0
19158,0.20600829,0.20600829,11.0,0.0,1.0,1.0,0.0,4.0,0.0
24365,0.2055211,0.2055211,7.0,2.0,1.0,1.0,2.0,3.0,7.0
18972,0.20434338,0.20434338,11.0,2.0,1.0,1.0,3.0,0.0,2.0
18591,0.20287919,0.20287919,11.0,1.0,1.0,1.0,3.0,5.0,3.0
22740,0.20248902,0.20248902,11.0,2.0,1.0,1.0,2.0,2.0,3.0
20558,0.79789597,0.20210403,2.0,5.0,0.0,0.0,7.0,14.0,10.0
22723,0.20177001,0.20177001,6.0,3.0,1.0,1.0,2.0,,2.0
23946,0.798655,0.20134503,4.0,3.0,0.0,0.0,7.0,7.0,7.0
20776,0.80038315,0.19961685,0.0,5.0,0.0,0.0,,15.0,7.0
20920,0.8019872,0.19801283,5.0,9.0,0.0,0.0,4.0,15.0,5.0
23660,0.19779508,0.1977951,6.0,1.0,1.0,1.0,3.0,4.0,
21817,0.19770046,0.19770044,6.0,0.0,1.0,1.0,0.0,0.0,2.0
20958,0.8025346,0.19746542,2.0,5.0,0.0,0.0,6.0,10.0,10.0
19522,0.80257446,0.19742554,0.0,9.0,0.0,0.0,7.0,13.0,8.0
24220,0.19659692,0.19659692,6.0,0.0,1.0,1.0,,,1.0
22438,0.19500542,0.19500542,7.0,1.0,1.0,1.0,2.0,2.0,2.0
22196,0.19481423,0.19481423,,1.0,1.0,1.0,3.0,4.0,1.0
21428,0.19394726,0.19394726,11.0,2.0,1.0,1.0,2.0,0.0,1.0
20905,0.19306304,0.19306302,9.0,3.0,1.0,,2.0,4.0,0.0
20306,0.1930313,0.19303131,4.0,3.0,1.0,1.0,2.0,0.0,1.0
22177,0.1927977,0.19279772,4.0,,1.0,1.0,2.0,5.0,3.0
23872,0.8076977,0.19230229,7.0,5.0,0.0,0.0,5.0,8.0,4.0
19924,0.19197264,0.19197264,6.0,0.0,1.0,1.0,2.0,4.0,3.0
24074,0.19138426,0.19138426,7.0,0.0,1.0,1.0,2.0,2.0,2.0
22892,0.8092653,0.19073468,,7.0,0.0,0.0,6.0,10.0,6.0
20144,0.19045712,0.1904571,11.0,2.0,1.0,1.0,0.0,3.0,0.0
23437,0.81014484,0.18985516,2.0,6.0,0.0,0.0,5.0,15.0,5.0
