id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,uncertainty_score,assigned_cluster
1594,3.0,0.0,5.265106088560886,4.0,0.0,10.0,3.0,Extrovert,0.005066978581209858,1
1609,2.0,0.0,5.265106088560886,5.0,0.0,10.0,5.0,Extrovert,0.009919148958618673,2
1616,2.0,0.0,5.0,7.0,0.0,10.0,6.0,Extrovert,0.009431503967066046,2
1636,1.0,0.0,5.0,5.0,0.0,10.0,10.0,Extrovert,0.02060262769052712,2
1637,1.0,0.0,5.0,4.044319380935631,0.0,10.0,7.0,Extrovert,0.0022861287618067827,2
1657,1.0,0.0,5.0,5.0,0.0,10.0,4.982097334878332,Extrovert,0.011702353148189903,1
1714,2.0,0.0,5.265106088560886,5.0,0.0,10.0,9.0,Extrovert,0.034698067304935076,2
1724,2.0,0.0,5.0,6.0,0.0,10.0,4.0,Extrovert,0.007726248360221177,1
1729,4.0,0.0,4.0,7.0,0.0,10.0,7.0,Introvert,0.011431154835189528,1
1823,3.1377639321564557,0.0,5.0,4.0,0.0,10.0,6.0,Extrovert,0.005586950030299409,2
1842,3.0,0.0,5.0,3.0,0.5,10.0,4.0,Extrovert,0.003296252060458471,1
1856,3.1377639321564557,0.0,5.0,4.0,0.0,10.0,7.0,Extrovert,0.013438010976023929,2
1915,4.0,0.0,4.0,5.0,0.0,10.0,4.982097334878332,Extrovert,0.033227524236664197,1
1920,3.0,0.0,4.0,5.0,0.0,10.0,9.0,Extrovert,0.010758453995206585,1
1950,4.0,0.0,5.0,6.0,0.0,10.0,7.0,Extrovert,0.022421165113887254,2
1961,2.0,0.0,5.265106088560886,6.0,0.0,10.0,4.0,Extrovert,0.0035958360403953726,2
1965,3.0,0.5,4.0,5.0,0.0,10.0,6.0,Extrovert,9.766566495983398e-05,2
2068,2.0,0.0,5.265106088560886,3.0,0.0,10.0,5.0,Extrovert,0.00010696984205216253,1
2135,3.0,0.0,10.0,5.0,0.0,9.0,7.0,Extrovert,0.02072509313883475,1
2174,1.0,0.0,4.0,7.0,0.0,10.0,9.0,Extrovert,0.01071883018728137,1
2178,3.1377639321564557,0.0,4.0,4.0,0.0,10.0,7.0,Extrovert,0.028983876463792857,1
2260,3.0,0.0,5.0,4.044319380935631,0.0,10.0,8.0,Extrovert,0.01890718907839095,2
2305,2.0,0.0,10.0,5.0,0.0,9.0,9.0,Extrovert,0.011518839655823454,1
2369,0.0,0.0,4.0,4.0,0.0,10.0,8.0,Extrovert,0.0323076431793059,1
2396,2.0,0.0,4.0,4.0,0.0,10.0,8.0,Extrovert,0.026413291261381477,1
2432,2.0,0.0,4.0,6.0,0.0,10.0,7.0,Extrovert,0.028332136460864188,1
2437,2.0,0.0,5.0,3.0,0.0,10.0,6.0,Extrovert,0.004175478490600293,1
2526,1.0,0.0,5.0,5.0,0.0,10.0,7.0,Introvert,0.007096974879576168,2
2529,4.0,0.5,5.0,6.0,0.0,10.0,4.0,Extrovert,0.025234515838385096,2
2630,1.0,0.0,5.265106088560886,6.0,0.0,10.0,5.0,Extrovert,0.006893441519542298,2
2632,2.0,0.0,5.0,4.044319380935631,0.0,10.0,8.0,Extrovert,0.014916726836190941,2
2737,4.0,0.0,4.0,6.0,0.0,10.0,4.0,Extrovert,0.031226772574862727,1
2739,2.0,0.5,5.0,3.0,0.0,10.0,4.0,Extrovert,0.011235363872620141,2
2765,3.1377639321564557,0.0,5.0,7.0,0.0,10.0,4.0,Extrovert,0.0009694965567335068,2
2766,2.0,0.0,5.0,7.0,0.0,10.0,4.0,Extrovert,0.0034035475587426145,1
2780,3.0,0.0,5.0,4.0,0.0,10.0,10.0,Extrovert,0.02381026978377543,2
2856,2.0,0.0,10.0,4.0,0.0,9.0,10.0,Extrovert,0.007871446314144492,1
2872,2.0,0.0,5.0,3.0,0.0,10.0,5.0,Extrovert,0.010691171346394857,1
2937,3.0,0.0,4.0,7.0,0.0,10.0,10.0,Extrovert,0.0005450075586668213,2
2965,3.0,0.0,5.0,3.0,0.5,10.0,7.0,Extrovert,0.011503269726222731,2
2998,0.0,0.0,5.265106088560886,5.0,0.0,10.0,8.0,Extrovert,0.020006909159665298,2
3043,3.0,0.0,4.0,4.0,0.0,10.0,10.0,Extrovert,0.006621369510577679,1
3095,2.0,0.0,4.0,4.0,0.0,10.0,10.0,Extrovert,0.01007456849334476,1
3164,3.0,0.0,5.0,5.0,0.0,10.0,3.0,Extrovert,0.011804947125330756,1
3167,1.0,0.0,5.265106088560886,4.0,0.0,10.0,6.0,Extrovert,0.007749450651189593,2
3206,3.0,0.0,5.0,4.044319380935631,0.0,10.0,9.0,Extrovert,0.022215748329042828,2
3498,3.1377639321564557,0.0,5.0,7.0,0.0,10.0,3.0,Extrovert,0.004108226374132773,1
3577,3.0,0.0,5.265106088560886,3.0,0.0,10.0,4.982097334878332,Extrovert,0.004155074352304222,2
3589,1.0,0.0,5.265106088560886,5.0,0.0,10.0,8.0,Extrovert,0.02803335772437432,2
3591,1.0,0.0,5.265106088560886,6.0,0.0,10.0,8.0,Extrovert,0.028769132660707575,2
3622,3.0,0.0,6.0,3.0,0.0,10.0,4.0,Extrovert,0.024815557603295124,2
3682,3.0,0.0,5.265106088560886,4.0,0.0,10.0,7.0,Introvert,0.026925339560438077,2
3707,1.0,0.0,5.265106088560886,4.0,0.0,10.0,5.0,Extrovert,0.0015749635245148053,1
3730,1.0,0.0,6.0,4.0,0.0,10.0,4.0,Extrovert,0.025034334875082775,2
3814,3.0,0.5,9.0,7.0,0.0,9.0,5.0,Extrovert,0.02566218846554058,1
3852,0.0,0.0,4.0,6.0,0.0,10.0,9.0,Extrovert,0.01774544887602536,1
3853,3.0,0.0,5.265106088560886,5.0,0.0,10.0,3.0,Extrovert,0.002157823977394724,1
3864,2.0,0.0,5.265106088560886,4.0,0.0,10.0,4.0,Extrovert,0.0038759728565411766,1
3876,2.0,0.0,4.0,4.044319380935631,0.0,10.0,9.0,Extrovert,0.01729558622483829,1
3890,1.0,0.0,5.0,4.044319380935631,0.0,10.0,8.0,Extrovert,0.009557475623636513,2
3941,3.0,0.5,9.0,4.0,0.0,9.0,5.0,Extrovert,0.03673390358026296,1
3950,2.0,0.0,6.0,4.044319380935631,0.0,10.0,4.0,Extrovert,0.03137105156707243,2
3993,1.0,0.0,5.265106088560886,4.0,0.0,10.0,9.0,Extrovert,0.024708163486999668,2
4003,0.0,0.0,4.0,5.0,0.0,10.0,10.0,Extrovert,0.013877705167249621,1
4011,3.0,0.0,4.0,4.0,0.0,10.0,7.0,Extrovert,0.02996121792619344,1
4045,4.0,0.0,5.0,6.0,0.0,10.0,8.0,Extrovert,0.026747630637137476,2
4060,1.0,0.0,5.0,5.0,0.0,10.0,9.0,Extrovert,0.018267873000725743,2
4165,2.0,0.0,5.0,5.0,0.0,10.0,4.0,Extrovert,0.012496023146925106,1
4179,3.0,0.0,5.265106088560886,5.0,0.0,10.0,6.0,Extrovert,0.02644679020880647,2
4193,0.0,0.0,5.0,7.0,0.0,10.0,4.0,Extrovert,0.01043668210075599,1
4228,0.0,0.0,5.0,6.0,0.0,10.0,7.0,Extrovert,0.004288959820759386,2
4318,4.0,0.5,4.0,5.0,0.0,10.0,10.0,Extrovert,0.019047495997988495,2
4363,3.0,0.0,10.0,4.0,0.0,9.0,4.982097334878332,Extrovert,0.03324969170536618,1
4407,1.0,0.5,9.0,5.0,0.0,9.0,9.0,Extrovert,0.018990482741118697,1
4409,4.0,0.0,5.0,7.0,0.0,10.0,8.0,Extrovert,0.02539656166147397,2
4413,3.0,0.0,9.0,7.0,0.0,9.0,9.0,Extrovert,0.030923452349079783,1
4458,1.0,0.0,10.0,3.0,0.0,9.0,8.0,Extrovert,0.023524577246700762,1
4527,1.0,0.0,5.0,4.0,0.0,10.0,8.0,Extrovert,0.00932490261837593,2
4532,3.0,0.0,4.0,3.0,0.0,10.0,6.0,Extrovert,0.034614066563492196,1
4533,1.0,0.0,10.0,6.0,0.0,9.0,8.0,Extrovert,0.01799187858176432,1
4551,0.0,0.0,4.0,5.0,0.5,10.0,4.0,Extrovert,0.0368281018892358,1
4583,1.0,0.0,5.0,4.0,0.0,10.0,4.982097334878332,Extrovert,0.014822857285790025,1
4635,0.0,0.5,4.0,6.0,0.0,10.0,7.0,Extrovert,0.002434885663926689,1
4678,1.0,0.0,6.0,7.0,0.0,10.0,3.0,Extrovert,0.019683811176344213,2
4733,3.1377639321564557,0.0,5.0,6.0,0.0,10.0,3.0,Extrovert,0.0075850891075512905,1
4797,0.0,0.0,10.0,7.0,0.0,9.0,3.0,Extrovert,0.03510284291876831,1
4849,2.0,0.0,4.0,7.0,0.0,10.0,6.0,Extrovert,0.026666473386903755,1
4873,1.0,0.0,6.0,4.0,0.0,10.0,3.0,Extrovert,0.014028148333811385,2
4899,0.0,0.0,5.0,6.0,0.0,10.0,6.0,Extrovert,0.0032376318053279896,1
4923,4.0,0.0,5.265106088560886,3.0,0.0,10.0,7.0,Extrovert,0.020075205478800928,2
5009,0.0,0.0,5.0,4.044319380935631,0.0,10.0,6.0,Extrovert,0.011227122331393558,1
5109,2.0,0.0,10.0,7.0,0.0,9.0,6.0,Extrovert,0.021262907845686074,1
5117,2.0,0.0,5.265106088560886,5.0,0.0,10.0,8.0,Extrovert,0.0345578304393479,2
5214,0.0,0.0,5.265106088560886,6.0,0.0,10.0,8.0,Extrovert,0.02166487083133939,2
5219,1.0,0.5,4.0,6.0,0.0,10.0,3.0,Extrovert,0.01709038799100382,1
5264,3.0,0.0,5.265106088560886,6.0,0.0,10.0,7.0,Extrovert,0.03413375107115746,2
5273,3.0,0.0,4.0,7.0,0.5,10.0,8.0,Extrovert,0.0028342964708465423,1
5274,3.0,0.0,5.0,5.0,0.0,10.0,4.0,Extrovert,0.006815345065428913,1
5317,3.0,0.0,10.0,4.0,0.0,9.0,8.0,Extrovert,0.016221730010611335,1
5325,1.0,0.5,4.0,3.0,0.0,10.0,6.0,Extrovert,0.011319362629815144,1
5335,1.0,0.0,5.0,7.0,0.0,10.0,8.0,Extrovert,0.016250663815967625,2
5377,1.0,0.0,5.265106088560886,4.0,0.0,10.0,3.0,Extrovert,0.013407633960349719,1
5425,0.0,0.0,4.0,7.0,0.0,10.0,7.0,Extrovert,0.026287771414110317,1
5521,4.0,0.0,6.0,4.0,0.0,10.0,3.0,Extrovert,0.023884062418662255,2
5544,3.0,0.0,4.0,4.0,0.0,10.0,8.0,Extrovert,0.021119514250913518,1
5553,0.0,0.0,4.0,3.0,0.0,10.0,8.0,Extrovert,0.03084651809509542,1
5574,1.0,0.0,4.0,3.0,0.0,10.0,7.0,Extrovert,0.03676838274533112,1
5674,3.0,0.0,4.0,7.0,0.0,10.0,8.0,Extrovert,0.009804856039693943,1
5676,1.0,0.0,5.0,4.044319380935631,0.0,10.0,5.0,Extrovert,0.014643913675185027,1
5723,3.0,0.0,5.0,6.0,0.0,10.0,8.0,Extrovert,0.02516431926306173,2
5760,3.0,0.0,9.0,5.0,0.0,9.0,10.0,Extrovert,0.031989009687159564,1
5781,1.0,0.0,5.0,7.0,0.0,10.0,5.0,Extrovert,0.001591895397296872,1
5908,6.0,0.0,10.0,6.0,0.0,9.0,3.0,Introvert,0.01914260588756811,1
5924,0.0,0.0,5.0,6.0,0.0,10.0,5.0,Extrovert,0.010319915669140034,1
5938,0.0,0.0,4.0,3.0,0.0,10.0,9.0,Extrovert,0.02335370813087212,1
6034,3.1377639321564557,0.0,4.0,6.0,0.0,10.0,9.0,Extrovert,0.006899211248095227,1
6065,1.0,0.0,5.0,6.0,0.0,10.0,7.0,Extrovert,0.010310447082350294,2
6149,3.1377639321564557,0.0,4.0,6.0,0.0,10.0,5.0,Extrovert,0.0342042839771195,1
6163,3.0,0.0,4.0,4.0,0.0,10.0,9.0,Extrovert,0.013107989952381605,1
6304,0.0,0.0,4.0,3.0,0.5,10.0,4.0,Extrovert,0.03714642040316107,1
6370,0.0,0.0,6.0,5.0,0.0,10.0,5.0,Extrovert,0.03640816379086165,2
6485,2.0,0.0,5.0,3.0,0.0,10.0,3.0,Extrovert,0.019068381082018915,1
6492,0.0,0.5,4.0,5.0,0.0,10.0,5.0,Extrovert,0.01562911640239273,1
6500,3.0,0.5,5.0,3.0,0.0,10.0,5.0,Extrovert,0.020100360712592913,2
6687,1.0,0.0,4.0,7.0,0.0,10.0,8.0,Extrovert,0.017128170067347348,1
6721,3.0,0.0,4.0,4.044319380935631,0.0,10.0,9.0,Extrovert,0.01303309709455891,1
6790,1.0,0.5,5.0,4.0,0.0,10.0,3.0,Extrovert,0.005527296338186272,2
6846,2.0,0.0,5.0,4.0,0.0,10.0,10.0,Extrovert,0.02095069371022773,2
6874,1.0,0.0,5.0,5.0,0.0,10.0,8.0,Extrovert,0.01413883642101621,2
6890,1.0,0.0,5.0,6.0,0.0,10.0,10.0,Extrovert,0.022180230580130633,2
6933,0.0,0.0,6.0,3.0,0.0,10.0,7.0,Extrovert,0.03347278880201032,2
6955,1.0,0.5,4.0,4.0,0.0,10.0,6.0,Extrovert,0.009950835827006399,1
6967,2.0,0.0,5.0,7.0,0.0,10.0,8.0,Extrovert,0.020455618817782018,2
7033,1.0,0.0,6.0,3.0,0.0,10.0,4.982097334878332,Extrovert,0.026052353506031523,2
7053,0.0,0.0,4.0,7.0,0.0,10.0,6.0,Extrovert,0.03221355994963848,1
7058,0.0,0.5,4.0,4.0,0.0,10.0,8.0,Extrovert,0.0023653564663770332,1
7097,1.0,0.0,5.265106088560886,4.044319380935631,0.0,10.0,4.0,Extrovert,0.008631805983195129,1
7131,3.0,0.0,5.0,5.0,0.0,10.0,8.0,Extrovert,0.023879223227760038,2
7165,3.1377639321564557,0.0,5.0,5.0,0.0,10.0,8.0,Extrovert,0.024218901382899505,2
7181,3.0,0.0,6.0,4.044319380935631,0.0,10.0,3.0,Extrovert,0.02217246823180319,2
7225,2.0,0.0,6.0,5.0,0.0,10.0,3.0,Extrovert,0.023070511699210483,2
7261,0.0,0.0,6.0,3.0,0.0,10.0,4.0,Extrovert,0.012002733816647071,2
7276,2.0,0.0,10.0,5.0,0.0,9.0,7.0,Extrovert,0.0254030793704203,1
7329,3.0,0.0,5.0,6.0,0.0,10.0,6.0,Extrovert,0.012955271821125658,2
7512,1.0,0.0,6.0,3.0,0.5,10.0,7.0,Extrovert,0.03682022426382647,2
7568,1.0,0.0,5.0,6.0,0.0,10.0,5.0,Extrovert,0.0060763341281317995,1
7596,3.0,0.0,6.0,4.0,0.0,10.0,4.0,Extrovert,0.03404272922161278,2
7622,2.0,0.0,5.0,5.0,0.0,10.0,10.0,Extrovert,0.02454343868593467,2
7632,3.0,0.0,5.0,4.0,0.0,10.0,4.0,Extrovert,0.009872810214713645,1
7691,0.0,0.0,5.265106088560886,4.0,0.0,10.0,6.0,Extrovert,0.0012516022089419376,2
7746,2.0,0.5,4.0,5.0,0.0,10.0,10.0,Extrovert,0.01449907503766834,2
7747,0.0,0.0,6.0,5.0,0.0,10.0,4.0,Extrovert,0.023007808266382046,2
7790,3.0,0.0,10.0,6.0,0.0,9.0,6.0,Extrovert,0.02265671429545213,1
7849,1.0,0.0,5.0,4.044319380935631,0.0,10.0,6.0,Extrovert,0.0067037677118821914,1
7981,1.0,0.5,5.0,5.0,0.0,10.0,7.0,Extrovert,0.03526508112988447,2
8000,3.0,0.0,5.0,6.0,0.0,10.0,10.0,Extrovert,0.028606530867908653,2
8013,3.0,0.0,10.0,5.0,0.0,9.0,6.0,Extrovert,0.02689754201645722,1
8025,3.0,0.0,4.0,6.0,0.0,10.0,6.0,Extrovert,0.029935380315065485,1
8101,2.0,0.0,3.0,4.0,0.0,10.0,10.0,Extrovert,0.03537802675101176,1
8157,1.0,0.0,6.0,3.0,0.0,10.0,6.0,Extrovert,0.03512221433057383,2
8169,2.0,0.0,4.0,6.0,0.5,10.0,9.0,Extrovert,0.0037370137295349437,1
8198,2.0,0.0,5.265106088560886,4.0,0.0,10.0,3.0,Extrovert,0.009432438775547336,1
8278,1.0,0.0,5.0,6.0,0.0,10.0,9.0,Extrovert,0.020059420787817972,2
8313,1.0,0.0,5.0,3.0,0.0,10.0,5.0,Extrovert,0.014928957480682792,1
8323,3.0,0.5,9.0,5.0,0.0,9.0,6.0,Extrovert,0.0309382220717338,1
8330,0.0,0.0,5.0,4.0,0.0,10.0,3.0,Extrovert,0.025075811875245435,1
8352,3.0,0.0,10.0,6.0,0.0,9.0,5.0,Extrovert,0.027323251507822777,1
8387,0.0,0.0,4.0,5.0,0.0,10.0,8.0,Extrovert,0.030711547407885176,1
8411,2.0,0.0,5.0,5.0,0.0,10.0,3.0,Extrovert,0.016583651351127493,1
8427,2.0,0.0,5.0,4.0,0.0,10.0,7.0,Extrovert,0.008042227159138271,2
8466,3.0,0.0,5.265106088560886,4.044319380935631,0.0,10.0,3.0,Extrovert,0.0049551078580001295,1
8675,0.0,0.0,5.0,5.0,0.0,10.0,6.0,Extrovert,0.007990951433034077,1
8680,2.0,0.5,4.0,4.0,0.0,10.0,6.0,Extrovert,0.006369177997618047,1
8704,2.0,0.0,9.0,3.0,0.0,9.0,10.0,Extrovert,0.036421590884338606,1
8735,3.0,0.0,5.0,7.0,0.0,10.0,8.0,Extrovert,0.02356901737812689,2
8782,1.0,0.0,6.0,4.044319380935631,0.0,10.0,3.0,Extrovert,0.014240552666006545,2
8818,4.0,0.0,5.0,5.0,0.0,10.0,10.0,Extrovert,0.028944356921535297,2
8846,1.0,0.0,4.0,6.0,0.0,10.0,10.0,Extrovert,0.008234465637981359,1
8852,2.0,0.0,5.0,5.0,0.0,10.0,5.0,Extrovert,0.005599387443275816,1
8862,4.0,0.0,6.0,3.0,0.0,10.0,5.0,Extrovert,0.03516555667476795,2
8911,3.0,0.0,5.0,5.0,0.0,10.0,7.0,Extrovert,0.01867850709070984,2
9013,0.0,0.0,6.0,4.044319380935631,0.0,10.0,4.982097334878332,Extrovert,0.02925158023075425,2
9090,1.0,0.0,10.0,4.0,0.0,9.0,6.0,Extrovert,0.036859725337422766,1
9112,2.0,0.0,4.0,6.0,0.0,10.0,6.0,Extrovert,0.036364468753253165,1
9274,0.0,0.0,5.265106088560886,6.0,0.0,10.0,9.0,Extrovert,0.02458792175625102,2
9275,1.0,0.0,5.0,6.0,0.5,10.0,9.0,Extrovert,0.021678536270813842,2
9280,1.0,0.5,9.0,5.0,0.0,9.0,8.0,Extrovert,0.025874182701395743,1
9306,4.0,0.0,5.0,7.0,0.0,10.0,10.0,Introvert,0.029378200065468985,2
9385,4.0,0.0,5.0,4.0,0.0,10.0,8.0,Extrovert,0.020891503734037586,2
9395,4.0,0.0,4.0,4.0,0.0,10.0,5.0,Extrovert,0.03463821170346004,1
9468,2.0,0.0,10.0,7.0,0.0,9.0,8.0,Extrovert,0.010724546815092717,1
9496,0.0,0.0,5.265106088560886,6.0,0.0,10.0,7.0,Extrovert,0.016544921157241044,2
9527,2.0,0.0,5.0,4.0,0.0,10.0,8.0,Extrovert,0.014639770193669577,2
9574,4.0,0.0,9.0,5.0,0.0,9.0,9.0,Extrovert,0.03599454938490787,1
9671,3.0,0.0,5.265106088560886,5.0,0.0,10.0,4.0,Extrovert,0.005009794755800989,2
9709,0.0,0.0,5.0,3.0,0.0,10.0,3.0,Extrovert,0.0247062060749752,1
9728,2.0,0.0,10.0,4.0,0.0,9.0,7.0,Extrovert,0.02720321088824673,1
9753,1.0,0.0,4.0,3.0,0.0,10.0,9.0,Extrovert,0.02103664566059238,1
9813,0.0,0.0,6.0,4.044319380935631,0.0,10.0,5.0,Extrovert,0.029464386475622106,2
9816,2.0,0.0,5.0,3.0,0.0,10.0,8.0,Extrovert,0.008781861042929773,2
9925,0.0,0.0,5.0,7.0,0.0,10.0,7.0,Extrovert,0.006465205794302875,2
10010,3.0,0.0,4.0,5.0,0.0,10.0,10.0,Extrovert,0.004338084453331392,1
10059,2.0,0.0,5.265106088560886,6.0,0.0,10.0,8.0,Extrovert,0.03449576729892856,2
10086,1.0,0.0,6.0,3.0,0.0,10.0,5.0,Extrovert,0.026221332160301536,2
10142,1.0,0.0,4.0,6.0,0.0,10.0,9.0,Extrovert,0.014994589899941069,1
10164,2.0,0.0,10.0,5.0,0.0,9.0,5.0,Introvert,0.03663537956099017,1
10200,0.0,0.0,4.0,7.0,0.0,10.0,9.0,Extrovert,0.013407898728374779,1
10330,3.0,0.0,4.0,7.0,0.0,10.0,7.0,Extrovert,0.015997715811138402,1
10370,3.0,0.0,5.265106088560886,4.0,0.0,10.0,4.0,Extrovert,0.0010987249326261939,2
10441,2.0,0.0,6.0,3.0,0.0,10.0,4.982097334878332,Extrovert,0.031351026832494355,2
10445,1.0,0.0,6.0,7.0,0.0,10.0,4.0,Extrovert,0.028525144055131513,2
10478,2.0,0.0,4.0,5.0,0.5,10.0,6.0,Extrovert,0.024207357445963806,1
10482,2.0,0.0,5.265106088560886,4.0,0.0,10.0,8.0,Introvert,0.02771238005864518,2
10496,2.0,0.0,6.0,7.0,0.0,10.0,3.0,Extrovert,0.02347017666592932,2
10536,1.0,0.0,4.0,4.0,0.5,10.0,6.0,Extrovert,0.02931328718472015,1
10542,0.0,0.0,10.0,7.0,0.0,9.0,7.0,Extrovert,0.02154258684326482,1
10551,3.0,0.0,5.265106088560886,5.0,0.0,10.0,8.0,Extrovert,0.03745579706460833,2
10578,3.0,0.0,4.0,4.044319380935631,0.0,10.0,8.0,Extrovert,0.02107979665196802,1
10579,2.0,0.0,5.265106088560886,4.0,0.0,10.0,7.0,Extrovert,0.02309688929961562,2
10651,2.0,0.5,4.0,6.0,0.0,10.0,8.0,Extrovert,0.009355236114474863,2
10664,3.0,0.0,4.0,7.0,0.0,10.0,4.982097334878332,Extrovert,0.026855726174529915,1
10676,2.0,0.0,5.0,4.0,0.0,10.0,4.0,Extrovert,0.015302230047007814,1
10770,0.0,0.0,7.0,3.0,0.0,10.0,3.0,Extrovert,0.03630894650215044,2
10797,0.0,0.5,5.0,5.0,0.0,10.0,4.0,Extrovert,0.010522842882789929,2
10856,1.0,0.5,5.0,3.0,0.0,10.0,3.0,Extrovert,0.002808838432073024,2
10880,3.0,0.0,6.0,7.0,0.0,10.0,4.0,Extrovert,0.03570370373085474,2
10892,2.0,0.0,6.0,7.0,0.0,10.0,4.0,Extrovert,0.03301063515697633,2
10998,2.0,0.0,5.0,4.044319380935631,0.0,10.0,9.0,Extrovert,0.018877773591529756,2
11019,2.0,0.0,5.0,7.0,0.0,10.0,3.0,Extrovert,0.008156634005622942,1
11032,3.0,0.0,4.0,7.0,0.0,10.0,6.0,Extrovert,0.02195389078878729,1
11059,1.0,0.0,10.0,4.0,0.0,9.0,8.0,Extrovert,0.023536626175246544,1
11065,2.0,0.5,9.0,3.0,0.0,9.0,8.0,Extrovert,0.02445217793199861,1
