id,personality,probability
210,Introvert,0.12868711
16595,Introvert,0.037751123
211,Introvert,0.04201707
214,Introvert,0.023408849
16600,Introvert,0.10062
16603,Introvert,0.0899738
16604,Extrovert,0.9797054
16608,Extrovert,0.9742184
16609,Extrovert,0.98019236
8416,Extrovert,0.98204535
16612,Introvert,0.014181397
16614,Extrovert,0.9780508
8424,Extrovert,0.9861936
8427,Extrovert,0.9881043
16620,Extrovert,0.9627187
16623,Introvert,0.07011618
8432,Introvert,0.030625494
239,Introvert,0.053764675
8434,Extrovert,0.9823093
242,Extrovert,0.9770422
245,Introvert,0.46429226
16629,Extrovert,0.96099436
16630,Extrovert,0.93727446
248,Extrovert,0.87549746
249,Introvert,0.11304957
16633,Extrovert,0.9883994
8443,Extrovert,0.96108615
16636,Introvert,0.036880564
16634,Extrovert,0.9687055
16638,Introvert,0.9036168
255,Extrovert,0.9774434
252,Introvert,0.015239309
8449,Extrovert,0.99414104
8450,Extrovert,0.9870253
8451,Extrovert,0.9935742
8452,Introvert,0.9619211
16643,Extrovert,0.06869608
16646,Extrovert,0.99067324
8456,Introvert,0.18560828
265,Introvert,0.098515615
8460,Extrovert,0.96226513
268,Introvert,0.07883998
8462,Extrovert,0.9632179
16652,Extrovert,0.9615721
271,Introvert,0.058172934
8465,Introvert,0.04870905
272,Introvert,0.82951474
275,Extrovert,0.96436065
16655,Introvert,0.95095944
16661,Introvert,0.01642317
8471,Introvert,0.113685876
8474,Extrovert,0.9275236
8476,Introvert,0.055413615
285,Introvert,0.92598283
16669,Introvert,0.016858572
16671,Introvert,0.1530745
286,Extrovert,0.9853198
8484,Introvert,0.02749091
8485,Extrovert,0.9819886
16678,Extrovert,0.9746825
295,Introvert,0.19426696
8488,Introvert,0.09745538
296,Extrovert,0.97860247
8491,Extrovert,0.9638866
301,Extrovert,0.97615594
8494,Extrovert,0.9927187
8495,Introvert,0.031299822
9830,Extrovert,0.42640635
307,Introvert,0.031152524
309,Introvert,0.06445519
16694,Extrovert,0.97446084
16695,Extrovert,0.98660165
16696,Extrovert,0.95462644
313,Introvert,0.06487474
312,Introvert,0.039938815
8505,Extrovert,0.97474784
8508,Extrovert,0.98878014
16700,Extrovert,0.9468704
16701,Introvert,0.06390549
318,Extrovert,0.8956072
320,Introvert,0.025230518
321,Introvert,0.2123278
8513,Extrovert,0.84277225
323,Introvert,0.039884537
16708,Introvert,0.1582841
8517,Introvert,0.02698636
324,Extrovert,0.9727796
8512,Extrovert,0.9854612
8514,Introvert,0.0900418
8521,Introvert,0.041237313
330,Introvert,0.116516545
16709,Introvert,0.02073912
16712,Introvert,0.037712965
327,Extrovert,0.9765584
16719,Introvert,0.024743617
8528,Extrovert,0.9852858
8529,Extrovert,0.9791135
8530,Extrovert,0.9701657
338,Introvert,0.9444405
342,Extrovert,0.98464787
8535,Extrovert,0.990604
8536,Introvert,0.03687662
8537,Introvert,0.11534481
16727,Introvert,0.08999904
347,Extrovert,0.9937382
8542,Extrovert,0.9865797
8543,Introvert,0.03653966
8544,Extrovert,0.9733566
16737,Introvert,0.110626556
8546,Extrovert,0.93977547
16739,Introvert,0.085486725
16736,Introvert,0.07463781
8548,Extrovert,0.93392646
8550,Extrovert,0.96171576
16746,Extrovert,0.9914135
16747,Extrovert,0.9847193
363,Introvert,0.025047962
8557,Introvert,0.04808049
16750,Extrovert,0.9453567
8559,Extrovert,0.8815002
368,Introvert,0.019861795
369,Extrovert,0.9759359
16751,Extrovert,0.9856894
16749,Extrovert,0.88515514
16759,Extrovert,0.97834545
16763,Introvert,0.039392933
380,Introvert,0.100158185
8575,Introvert,0.10270241
384,Introvert,0.039671514
385,Extrovert,0.9759359
8576,Extrovert,0.9826842
8579,Extrovert,0.9826842
388,Introvert,0.036328565
8578,Introvert,0.9737409
8584,Extrovert,0.9167924
16776,Introvert,0.10218007
16778,Introvert,0.04615746
16779,Extrovert,0.9707554
396,Introvert,0.032017726
8586,Introvert,0.043881074
8589,Introvert,0.104074836
398,Extrovert,0.35352156
16780,Extrovert,0.983651
16783,Introvert,0.926994
16786,Introvert,0.037052657
8594,Introvert,0.08431744
403,Extrovert,0.17404357
8597,Extrovert,0.9770082
8598,Extrovert,0.9778627
407,Introvert,0.05157951
408,Extrovert,0.93899894
8601,Introvert,0.062356044
8600,Extrovert,0.97245264
16792,Introvert,0.0996101
412,Extrovert,0.9638006
16795,Extrovert,0.9800755
16798,Introvert,0.043263495
8607,Extrovert,0.9823216
8599,Introvert,0.031625528
8608,Introvert,0.8168284
16801,Introvert,0.94413316
8611,Extrovert,0.9364573
8614,Extrovert,0.93817
16812,Extrovert,0.9788452
8620,Extrovert,0.97746265
431,Extrovert,0.936934
432,Introvert,0.030280387
16817,Extrovert,0.9822099
8623,Extrovert,0.97046566
8627,Extrovert,0.9549765
436,Extrovert,0.9765535
16820,Extrovert,0.98801327
8626,Introvert,0.07941141
16823,Introvert,0.026084501
434,Introvert,0.07330662
8633,Introvert,0.06275776
441,Extrovert,0.9767562
16827,Extrovert,0.9820779
8637,Introvert,0.05917688
446,Extrovert,0.98541564
8638,Extrovert,0.96887064
448,Extrovert,0.98624563
8640,Introvert,0.09461178
8643,Extrovert,0.9837878
8646,Introvert,0.018483479
455,Extrovert,0.9073632
16839,Introvert,0.041254047
16840,Extrovert,0.9723512
8650,Extrovert,0.99508023
458,Extrovert,0.97941214
16845,Introvert,0.050068315
462,Introvert,0.051246632
463,Extrovert,0.9658464
464,Introvert,0.13018906
8653,Extrovert,0.9843188
16850,Introvert,0.06940397
16851,Introvert,0.058728553
16846,Introvert,0.026133431
16853,Extrovert,0.9923483
16854,Introvert,0.9759671
468,Introvert,0.16427809
8659,Introvert,0.9477571
473,Extrovert,0.9271618
474,Extrovert,0.9343404
8667,Extrovert,0.98600125
8668,Extrovert,0.9751325
16860,Introvert,0.031494863
16857,Extrovert,0.93207294
477,Extrovert,0.93880117
480,Introvert,0.13763559
16862,Extrovert,0.9439864
8675,Extrovert,0.9694184
8681,Extrovert,0.9720919
491,Introvert,0.028355364
16876,Extrovert,0.9823141
492,Extrovert,0.9677145
8688,Extrovert,0.11467158
498,Introvert,0.032655377
8694,Extrovert,0.9570729
503,Extrovert,0.11496576
8696,Introvert,0.037192684
16890,Extrovert,0.97897345
507,Introvert,0.081934534
508,Extrovert,0.9919714
8701,Introvert,0.1412264
514,Introvert,0.05411897
518,Extrovert,0.19035456
8711,Extrovert,0.9795029
519,Extrovert,0.9832464
8713,Introvert,0.03234995
16906,Introvert,0.057465173
8714,Introvert,0.05810338
16903,Extrovert,0.966814
8717,Extrovert,0.99197525
8719,Introvert,0.015118164
16911,Extrovert,0.95548034
16914,Introvert,0.03504121
531,Extrovert,0.9938666
16916,Extrovert,0.9620221
16917,Extrovert,0.36687094
533,Extrovert,0.9822379
532,Extrovert,0.9937342
16920,Extrovert,0.9772461
537,Extrovert,0.9838531
8730,Extrovert,0.9750742
539,Extrovert,0.92613494
540,Introvert,0.04534518
8731,Extrovert,0.9830556
536,Introvert,0.093326926
544,Introvert,0.05174487
546,Introvert,0.05150899
547,Introvert,0.933692
8741,Extrovert,0.94254297
8744,Extrovert,0.9771035
16939,Extrovert,0.97525907
556,Introvert,0.044249944
558,Extrovert,0.1015754
559,Extrovert,0.19312733
561,Introvert,0.9614296
16947,Extrovert,0.9682446
566,Extrovert,0.97595096
8760,Extrovert,0.08362278
16953,Introvert,0.8562199
16955,Extrovert,0.92646664
572,Extrovert,0.9740303
8765,Extrovert,0.98634434
16957,Extrovert,0.9810755
16959,Extrovert,0.9902202
576,Introvert,0.08127241
16961,Introvert,0.045395333
16962,Extrovert,0.97065353
8768,Introvert,0.079366274
579,Introvert,0.09752376
16965,Extrovert,0.93534636
578,Extrovert,0.97309554
575,Extrovert,0.9852683
8776,Introvert,0.09920899
16969,Introvert,0.0578914
8778,Extrovert,0.94895625
8779,Extrovert,0.9918459
586,Introvert,0.03974392
16973,Introvert,0.03610828
18027,Extrovert,0.9669106
8783,Introvert,0.1190203
8784,Extrovert,0.97476995
8785,Introvert,0.040185474
8782,Extrovert,0.9797791
8787,Extrovert,0.99075305
8786,Extrovert,0.9903632
16981,Extrovert,0.9176869
8789,Extrovert,0.9807607
16983,Extrovert,0.99075305
600,Extrovert,0.8594436
8793,Extrovert,0.90264183
8795,Extrovert,0.9846811
16989,Introvert,0.11568282
8798,Introvert,0.04406144
607,Introvert,0.045315936
16992,Introvert,0.04279189
16995,Introvert,0.030497864
8803,Extrovert,0.061649557
16997,Extrovert,0.9702847
8808,Extrovert,0.96042055
8810,Introvert,0.11206531
17002,Introvert,0.016474215
17005,Introvert,0.011671533
17008,Introvert,0.026125701
624,Extrovert,0.9921415
8816,Extrovert,0.9308843
627,Extrovert,0.87393224
628,Introvert,0.0189746
17011,Introvert,0.025936643
17013,Extrovert,0.048700605
8823,Extrovert,0.99057066
632,Introvert,0.06211622
8825,Extrovert,0.9871501
630,Extrovert,0.9769881
17014,Extrovert,0.9838139
635,Introvert,0.028547095
17021,Introvert,0.05322849
8830,Introvert,0.024575442
17023,Extrovert,0.9814714
640,Extrovert,0.93246704
17022,Extrovert,0.9419673
8834,Extrovert,0.9593911
8835,Extrovert,0.9908976
17020,Extrovert,0.97282
17026,Extrovert,0.9936253
648,Extrovert,0.86032945
17033,Introvert,0.17381974
8842,Introvert,0.97555757
651,Extrovert,0.3530021
652,Extrovert,0.9848437
650,Introvert,0.04904554
17037,Extrovert,0.98234
654,Extrovert,0.9867231
655,Extrovert,0.10334283
8847,Introvert,0.9915189
8850,Extrovert,0.968935
659,Extrovert,0.99231565
662,Extrovert,0.94479936
8855,Extrovert,0.9369631
8856,Extrovert,0.99049395
17049,Introvert,0.04531893
666,Extrovert,0.89068544
8854,Introvert,0.020385196
8860,Introvert,0.062271938
8859,Introvert,0.88416004
670,Extrovert,0.98146135
8862,Extrovert,0.97663933
17056,Introvert,0.077300645
8867,Extrovert,0.9091367
8868,Extrovert,0.9114735
17060,Introvert,0.045623425
678,Extrovert,0.9861735
8872,Extrovert,0.96382916
17064,Extrovert,0.9392951
8874,Extrovert,0.9856511
683,Introvert,0.0504018
8880,Extrovert,0.9644229
688,Introvert,0.052485105
17073,Extrovert,0.9266966
8882,Introvert,0.12027659
17076,Introvert,0.05043657
17077,Extrovert,0.9793133
8884,Introvert,0.011950396
8889,Extrovert,0.98939997
699,Introvert,0.030143732
701,Extrovert,0.86709005
17087,Extrovert,0.9295558
704,Extrovert,0.9899595
705,Introvert,0.099001735
8898,Introvert,0.026107661
8899,Introvert,0.090480454
708,Extrovert,0.9760601
8901,Extrovert,0.978683
707,Extrovert,0.31891644
8903,Extrovert,0.9703525
8896,Extrovert,0.98658806
710,Extrovert,0.94760704
8906,Extrovert,0.9871018
714,Extrovert,0.16136932
8907,Introvert,0.051792674
717,Introvert,0.04642434
17102,Introvert,0.024800045
17103,Introvert,0.026303107
8912,Extrovert,0.98668
720,Extrovert,0.85726947
17106,Introvert,0.13882335
723,Extrovert,0.97169435
724,Extrovert,0.98283076
725,Extrovert,0.9918928
8918,Extrovert,0.97315335
17105,Introvert,0.046188764
727,Extrovert,0.11467101
17114,Introvert,0.09226103
731,Extrovert,0.9941531
8922,Introvert,0.0462991
8924,Introvert,0.06560757
732,Extrovert,0.96287096
735,Extrovert,0.97515786
17119,Extrovert,0.9850375
17121,Introvert,0.09223085
8929,Extrovert,0.9903632
8931,Extrovert,0.9676595
17124,Extrovert,0.91408724
17125,Extrovert,0.9683321
738,Introvert,0.615529
737,Extrovert,0.06490391
17128,Extrovert,0.9412334
744,Extrovert,0.9890565
747,Introvert,0.059972152
8939,Introvert,0.041335043
8941,Introvert,0.13908365
752,Extrovert,0.9802438
8945,Introvert,0.055181634
8944,Extrovert,0.94726133
755,Extrovert,0.95298374
8947,Introvert,0.039124485
17141,Extrovert,0.37874192
756,Extrovert,0.9884958
759,Extrovert,0.8977892
17143,Extrovert,0.066120304
761,Extrovert,0.9633625
17145,Extrovert,0.9149557
8953,Introvert,0.041414466
764,Extrovert,0.9675802
765,Introvert,0.041461363
8951,Introvert,0.06530068
8959,Introvert,0.08914404
767,Extrovert,0.989883
17153,Introvert,0.02344729
8961,Extrovert,0.9867628
8963,Introvert,0.053923234
17156,Introvert,0.054086488
17157,Introvert,0.030383246
8968,Extrovert,0.97826946
8969,Extrovert,0.99343324
8970,Introvert,0.092807665
8971,Extrovert,0.94627213
17164,Extrovert,0.67130893
781,Introvert,0.04170557
17163,Extrovert,0.894763
778,Extrovert,0.97616553
17167,Extrovert,0.9861633
8977,Extrovert,0.9762056
784,Introvert,0.02291709
8979,Introvert,0.04546416
17172,Introvert,0.044295058
17166,Extrovert,0.97336006
8982,Introvert,0.2695013
17176,Introvert,0.087868206
17177,Introvert,0.06337751
793,Introvert,0.04904554
8988,Extrovert,0.9738801
798,Extrovert,0.9812821
17183,Extrovert,0.94906306
8992,Extrovert,0.9771309
801,Extrovert,0.9229072
8994,Extrovert,0.991286
800,Introvert,0.012960293
8991,Extrovert,0.9763482
8997,Extrovert,0.9865617
8999,Extrovert,0.9847705
9000,Extrovert,0.98246336
809,Introvert,0.09731827
810,Extrovert,0.9506286
9003,Extrovert,0.9216489
17196,Introvert,0.06351852
813,Introvert,0.05614154
814,Extrovert,0.94616425
817,Extrovert,0.9781741
17202,Extrovert,0.9775039
17204,Extrovert,0.9563311
17205,Extrovert,0.9778791
821,Introvert,0.084649704
17207,Extrovert,0.983669
824,Extrovert,0.9250566
9012,Introvert,0.9701148
826,Introvert,0.027984617
827,Introvert,0.025845613
9020,Introvert,0.031694073
9018,Extrovert,0.14573345
830,Introvert,0.14259487
17215,Introvert,0.011964536
832,Extrovert,0.961023
17217,Extrovert,0.9489658
17218,Extrovert,0.9824995
9025,Introvert,0.82501554
837,Extrovert,0.9508899
17221,Extrovert,0.9896343
841,Introvert,0.035668176
842,Extrovert,0.9526449
17226,Introvert,0.037638236
845,Extrovert,0.972444
846,Introvert,0.12704553
17230,Introvert,0.08850476
848,Extrovert,0.9593911
9040,Extrovert,0.11138969
17234,Extrovert,0.9460627
851,Extrovert,0.9625406
852,Introvert,0.04875443
857,Introvert,0.07468444
9050,Extrovert,0.96452755
17243,Introvert,0.0952328
17244,Extrovert,0.93573165
858,Introvert,0.054454118
859,Introvert,0.052123345
863,Extrovert,0.8544687
17248,Extrovert,0.95111686
17249,Extrovert,0.9281455
17250,Introvert,0.02507501
9056,Extrovert,0.9700696
17252,Introvert,0.022192856
869,Extrovert,0.108323835
870,Extrovert,0.9782038
9062,Extrovert,0.9876008
9064,Extrovert,0.9478714
875,Extrovert,0.9749018
9069,Extrovert,0.98700047
17262,Extrovert,0.88008505
877,Introvert,0.9689041
880,Extrovert,0.11530766
17265,Introvert,0.024158567
17264,Introvert,0.03224169
884,Extrovert,0.96310157
885,Introvert,0.065256685
17270,Extrovert,0.98938364
9079,Introvert,0.03147871
9078,Introvert,0.08081003
890,Introvert,0.12391442
9082,Introvert,0.020738052
893,Extrovert,0.9639511
9086,Introvert,0.09630194
896,Extrovert,0.983651
17282,Introvert,0.07349276
9091,Introvert,0.023639899
902,Introvert,0.05204205
9095,Introvert,0.032581095
17287,Introvert,0.9649272
17289,Introvert,0.034401152
17293,Extrovert,0.98581135
909,Introvert,0.027958313
910,Introvert,0.0678525
9104,Extrovert,0.97308445
916,Introvert,0.012738027
17301,Introvert,0.10277208
9109,Extrovert,0.85682374
9117,Introvert,0.0323934
9118,Introvert,0.15064135
9119,Extrovert,0.95794004
17309,Extrovert,0.98938364
17313,Extrovert,0.9927187
9122,Introvert,0.02875676
925,Extrovert,0.9791519
9120,Extrovert,0.98507684
933,Extrovert,0.80078125
9126,Extrovert,0.980703
17319,Extrovert,0.98061645
9127,Introvert,0.086452335
9129,Extrovert,0.97682995
17323,Extrovert,0.9834065
939,Extrovert,0.9791519
9133,Extrovert,0.98767716
17326,Introvert,0.037690606
9136,Extrovert,0.94195676
945,Extrovert,0.7243563
17329,Introvert,0.06210189
947,Extrovert,0.98275316
17332,Introvert,0.038802125
9141,Introvert,0.034740467
946,Extrovert,0.07058617
17338,Extrovert,0.903003
957,Extrovert,0.97159487
9151,Extrovert,0.93360925
17343,Extrovert,0.9861936
17344,Extrovert,0.9459534
960,Extrovert,0.9432218
964,Introvert,0.15221398
9157,Extrovert,0.035862587
9160,Introvert,0.16576578
9165,Introvert,0.14597334
974,Extrovert,0.98771054
975,Extrovert,0.9548472
9168,Introvert,0.17984332
976,Extrovert,0.97960407
17361,Introvert,0.027277617
17362,Extrovert,0.9794257
9170,Extrovert,0.9694388
9177,Extrovert,0.9673286
17370,Extrovert,0.9152809
9178,Introvert,0.9789089
17369,Introvert,0.9802721
989,Introvert,0.09675864
990,Introvert,0.07085428
17375,Extrovert,0.9762689
994,Introvert,0.01656669
999,Extrovert,0.9858066
1002,Extrovert,0.9660652
17386,Extrovert,0.3180594
9196,Extrovert,0.9740709
9203,Extrovert,0.95290816
17396,Introvert,0.043350756
1013,Extrovert,0.73075736
9206,Extrovert,0.9898914
1015,Introvert,0.027028248
9208,Extrovert,0.9135016
17400,Introvert,0.06449362
1016,Extrovert,0.986839
1017,Extrovert,0.90209574
1018,Extrovert,0.95937806
1021,Introvert,0.0816603
1022,Extrovert,0.9859831
17402,Introvert,0.04766579
1019,Extrovert,0.96919805
9218,Extrovert,0.29891917
1027,Extrovert,0.98427284
1026,Introvert,0.029927636
1029,Extrovert,0.94627213
9222,Introvert,0.053745102
9221,Introvert,0.054481942
9225,Introvert,0.061914716
1035,Extrovert,0.95191497
1036,Introvert,0.021000689
9228,Extrovert,0.98930687
17421,Extrovert,0.94874704
1037,Extrovert,0.047918364
1040,Introvert,0.07209738
9232,Introvert,0.04755239
9234,Introvert,0.029947223
1041,Extrovert,0.20874675
1043,Extrovert,0.9677145
1045,Extrovert,0.900674
17432,Extrovert,0.9693405
17433,Introvert,0.13226634
9244,Extrovert,0.98053634
1055,Extrovert,0.974573
9248,Extrovert,0.82273775
9249,Extrovert,0.9937342
1058,Extrovert,0.96976846
1059,Extrovert,0.97904265
9252,Extrovert,0.82715166
17445,Extrovert,0.9519675
1060,Introvert,0.15730785
17446,Extrovert,0.9847782
1065,Extrovert,0.9694388
17450,Introvert,0.15391955
9259,Extrovert,0.96575034
9260,Extrovert,0.99620515
9262,Extrovert,0.98423046
17455,Extrovert,0.98938364
17454,Extrovert,0.14658844
1073,Extrovert,0.9642443
17458,Extrovert,0.9835982
17460,Introvert,0.03505813
17461,Introvert,0.046020992
17463,Extrovert,0.9863131
9272,Introvert,0.1049969
1080,Extrovert,0.98938364
1081,Extrovert,0.91936004
1084,Introvert,0.086985104
9276,Introvert,0.11883839
9278,Extrovert,0.28498805
9279,Extrovert,0.9536525
17471,Introvert,0.07185636
1093,Introvert,0.22052668
1095,Extrovert,0.99299425
9291,Extrovert,0.9232943
17483,Introvert,0.90264183
9295,Extrovert,0.98364985
9297,Introvert,0.11780228
17492,Introvert,0.06464226
1109,Introvert,0.020503828
17494,Extrovert,0.9678624
9303,Extrovert,0.95665455
1112,Extrovert,0.9519696
9306,Introvert,0.8014963
1115,Extrovert,0.9434067
17500,Extrovert,0.9893317
9309,Extrovert,0.9869621
1116,Extrovert,0.98375654
9311,Extrovert,0.1413734
17505,Introvert,0.032909755
17506,Extrovert,0.9203643
9317,Extrovert,0.04097622
1127,Extrovert,0.973945
9319,Extrovert,0.9838583
17513,Introvert,0.017941568
1130,Extrovert,0.9587307
1131,Extrovert,0.9299625
17514,Extrovert,0.979809
9321,Introvert,0.051931206
17518,Introvert,0.022998441
9326,Extrovert,0.9458013
1128,Extrovert,0.9762397
17521,Introvert,0.091710575
9330,Introvert,0.08361671
1139,Introvert,0.12370112
9329,Extrovert,0.93470967
1141,Extrovert,0.9098443
1142,Extrovert,0.956266
9333,Extrovert,0.95851773
1144,Introvert,0.06536261
9335,Extrovert,0.9798922
1146,Introvert,0.045614425
1147,Extrovert,0.9579433
9339,Extrovert,0.97450376
17533,Introvert,0.041293673
1150,Introvert,0.028228814
17535,Extrovert,0.9798502
9344,Extrovert,0.9550033
17537,Introvert,0.07205685
17536,Introvert,0.02649864
9347,Introvert,0.053447135
1152,Extrovert,0.9561383
9349,Introvert,0.13513531
9350,Introvert,0.052647993
9351,Extrovert,0.9578325
1160,Extrovert,0.9517616
1161,Extrovert,0.9642321
1166,Introvert,0.018604651
1167,Extrovert,0.99483657
17551,Introvert,0.033545334
17550,Extrovert,0.95261115
9363,Introvert,0.9258059
9364,Extrovert,0.987904
17557,Extrovert,0.9871501
1174,Introvert,0.020513905
17559,Introvert,0.064096436
1176,Extrovert,0.97165346
17561,Extrovert,0.9886274
1178,Extrovert,0.95114976
9371,Extrovert,0.9700963
1180,Extrovert,0.9917074
9372,Extrovert,0.9921415
17562,Introvert,0.027579566
1179,Introvert,0.021651337
1177,Extrovert,0.9669098
9377,Extrovert,0.9549765
1186,Extrovert,0.96238846
1185,Extrovert,0.9769687
1183,Extrovert,0.9891991
17573,Extrovert,0.98938555
17574,Extrovert,0.95474964
9387,Introvert,0.0348834
1200,Extrovert,0.970289
1203,Extrovert,0.1757643
1205,Introvert,0.06365169
17593,Extrovert,0.97415847
17594,Introvert,0.08584436
17595,Introvert,0.022493351
9402,Introvert,0.05229701
1209,Introvert,0.038975902
9406,Introvert,0.039773893
17599,Introvert,0.07248481
1215,Introvert,0.088569365
1214,Introvert,0.047567505
9401,Introvert,0.04346338
1213,Extrovert,0.987224
10010,Extrovert,0.99233025
17605,Extrovert,0.9567413
9414,Extrovert,0.9845238
1222,Extrovert,0.95608896
9409,Introvert,0.04306107
9410,Introvert,0.9371685
9419,Introvert,0.078558534
1228,Extrovert,0.96753013
17612,Extrovert,0.9389049
1230,Extrovert,0.5789485
9420,Extrovert,0.9884958
9423,Introvert,0.147195
9425,Extrovert,0.7684888
17621,Introvert,0.66443515
9432,Extrovert,0.9578791
17624,Introvert,0.030619292
9434,Introvert,0.046685673
9433,Extrovert,0.98684525
17626,Extrovert,0.97146285
1245,Extrovert,0.9802209
17630,Extrovert,0.9775058
9438,Extrovert,0.982209
9437,Introvert,0.021941436
1250,Introvert,0.006668906
9443,Extrovert,0.9405098
1251,Extrovert,0.7224991
9445,Introvert,0.7206316
9447,Extrovert,0.99104136
17640,Introvert,0.025032828
17641,Extrovert,0.0659806
9451,Introvert,0.022406658
1260,Introvert,0.097723216
1259,Extrovert,0.97809166
1262,Extrovert,0.976646
9454,Extrovert,0.9810369
1263,Extrovert,0.119361505
17650,Introvert,0.026255796
9459,Extrovert,0.9549322
17651,Introvert,0.039262746
1268,Extrovert,0.98701406
10022,Extrovert,0.1946219
1277,Introvert,0.17286722
1882,Introvert,0.9475793
9471,Extrovert,0.96942466
9472,Extrovert,0.93290013
1281,Introvert,0.019107135
17668,Introvert,0.033069417
1285,Extrovert,0.94991326
9479,Extrovert,0.98555994
9480,Introvert,0.145833
1287,Extrovert,0.9273112
17671,Extrovert,0.9787325
9483,Introvert,0.022826167
9481,Extrovert,0.9461925
9485,Extrovert,0.9514005
9482,Extrovert,0.9952577
17672,Extrovert,0.9760519
1296,Introvert,0.020345993
9489,Extrovert,0.9627348
