id,flip_score,current_prediction,flip_to,reasons,Time_alone,Social,Friends,Outside,Post,Drained,Stage_fear
22374,1,Introvert,Extrovert,Out-of-range alone time,11.0,,4.0,1.0,2.0,Yes,Yes
22243,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,1.0,3.0,3.0,Yes,Yes
22189,1,Extrovert,Introvert,Conflict: High alone time but no draining,8.0,6.0,7.0,3.0,9.0,No,No
22122,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,3.0,3.0,2.0,Yes,Yes
22627,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,2.0,1.0,3.0,Yes,Yes
22618,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,,1.0,2.0,Yes,Yes
22740,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,2.0,2.0,3.0,Yes,Yes
22630,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,4.0,0.0,2.0,Yes,Yes
22539,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,2.0,1.0,0.0,Yes,Yes
22569,1,Introvert,Extrovert,Out-of-range alone time,11.0,,5.0,2.0,3.0,Yes,Yes
22524,1,Introvert,Extrovert,Conflict: High alone time but no draining,8.0,3.0,5.0,0.0,3.0,No,Yes
22513,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,0.0,1.0,1.0,Yes,Yes
22891,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,,2.0,2.0,Yes,Yes
22925,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,5.0,2.0,0.0,Yes,
23036,1,Extrovert,Introvert,Conflict: High alone time but no draining,8.0,4.0,14.0,,4.0,No,No
23022,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,,1.0,1.0,Yes,Yes
23118,1,Introvert,Extrovert,Out-of-range alone time,11.0,,5.0,2.0,1.0,Yes,Yes
23141,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,5.0,2.0,1.0,Yes,Yes
23179,1,Introvert,Extrovert,Out-of-range alone time,11.0,,3.0,2.0,1.0,Yes,Yes
23101,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,3.0,2.0,0.0,Yes,Yes
23180,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,2.0,0.0,2.0,,Yes
23195,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,5.0,0.0,0.0,Yes,
23244,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,5.0,0.0,3.0,Yes,Yes
23218,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,4.0,2.0,0.0,Yes,
22770,1,Introvert,Extrovert,Out-of-range alone time,11.0,,5.0,0.0,1.0,,Yes
22832,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,1.0,2.0,0.0,,Yes
22839,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,2.0,2.0,1.0,Yes,Yes
22523,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,5.0,2.0,2.0,Yes,Yes
23484,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,0.0,1.0,2.0,Yes,Yes
23418,1,Introvert,Extrovert,Conflict: High alone time but no draining,8.0,2.0,4.0,3.0,,No,No
23336,1,Introvert,Extrovert,Conflict: High alone time but no draining,9.0,2.0,4.0,4.0,3.0,No,No
23281,1,Introvert,Extrovert,Out-of-range alone time,11.0,,4.0,2.0,2.0,,Yes
23572,1,Introvert,Extrovert,Out-of-range alone time,11.0,,4.0,2.0,2.0,Yes,Yes
23573,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,5.0,1.0,,Yes,Yes
23621,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,2.0,3.0,1.0,Yes,Yes
23541,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,0.0,3.0,,Yes,Yes
23671,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,3.0,,0.0,Yes,Yes
23760,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,3.0,2.0,,Yes,Yes
23799,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,,1.0,0.0,Yes,Yes
23770,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,4.0,0.0,3.0,Yes,Yes
23813,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,4.0,2.0,2.0,Yes,Yes
23911,1,Introvert,Extrovert,Out-of-range alone time,11.0,,3.0,2.0,1.0,Yes,
23949,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,2.0,1.0,0.0,Yes,
23491,1,Introvert,Extrovert,Out-of-range alone time,11.0,1.0,4.0,3.0,0.0,Yes,Yes
23963,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,4.0,3.0,0.0,Yes,Yes
23990,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,1.0,3.0,0.0,Yes,Yes
24047,1,Introvert,Extrovert,Out-of-range alone time,11.0,4.0,4.0,0.0,0.0,Yes,Yes
24106,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,1.0,0.0,1.0,Yes,
24163,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,3.0,,2.0,Yes,Yes
24218,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,1.0,2.0,2.0,,Yes
24226,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,4.0,1.0,0.0,Yes,Yes
24290,1,Introvert,Extrovert,Out-of-range alone time,11.0,5.0,5.0,2.0,0.0,Yes,Yes
24322,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,3.0,3.0,2.0,Yes,Yes
24334,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,0.0,,1.0,Yes,Yes
24366,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,1.0,2.0,2.0,,Yes
24370,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,1.0,1.0,1.0,Yes,Yes
24388,1,Introvert,Extrovert,Out-of-range alone time,11.0,3.0,3.0,3.0,0.0,Yes,Yes
24468,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,2.0,0.0,0.0,Yes,Yes
24528,1,Introvert,Extrovert,Out-of-range alone time,11.0,0.0,,0.0,2.0,,Yes
24611,1,Introvert,Extrovert,Out-of-range alone time,11.0,2.0,3.0,0.0,3.0,Yes,Yes
