orig_idx,syn_id,syn_source,orig_personality,syn_personality,match
2034,13857,train,Introvert,Extrovert,False
2044,19388,test,Introvert,,False
2046,19257,test,Extrovert,,False
2085,13304,train,Extrovert,Introvert,False
2090,6436,train,Introvert,Extrovert,False
2094,6027,train,Introvert,Extrovert,False
2095,2653,train,Extrovert,Introvert,False
2110,8035,train,Extrovert,Introvert,False
2123,6487,train,Extrovert,Introvert,False
2127,11327,train,Extrovert,Introvert,False
2129,4252,train,Introvert,Extrovert,False
2132,8557,train,Extrovert,Introvert,False
2149,18556,test,Extrovert,,False
2161,11625,train,Introvert,Extrovert,False
2172,2968,train,Introvert,Extrovert,False
2185,13425,train,Extrovert,Introvert,False
2194,19531,test,Introvert,,False
2208,23215,test,Introvert,,False
2214,13792,train,Extrovert,Introvert,False
2246,13344,train,Introvert,Extrovert,False
2247,17811,train,Extrovert,Introvert,False
2290,22606,test,Extrovert,,False
2293,19327,test,Introvert,,False
2294,8113,train,Extrovert,Introvert,False
2302,1672,train,Introvert,Extrovert,False
2307,102,train,Introvert,Extrovert,False
2333,9387,train,Extrovert,Introvert,False
2348,4033,train,Extrovert,Introvert,False
2360,16434,train,Introvert,Extrovert,False
2362,14256,train,Introvert,Extrovert,False
2367,8391,train,Introvert,Extrovert,False
2370,7674,train,Extrovert,Introvert,False
2373,13109,train,Introvert,Extrovert,False
2380,5135,train,Introvert,Extrovert,False
2381,13173,train,Extrovert,Introvert,False
2413,14502,train,Introvert,Extrovert,False
2415,7674,train,Extrovert,Introvert,False
2447,1677,train,Introvert,Extrovert,False
2455,21315,test,Introvert,,False
2457,23454,test,Introvert,,False
2471,19135,test,Introvert,,False
2478,17434,train,Introvert,Extrovert,False
2486,2842,train,Extrovert,Introvert,False
2499,11655,train,Introvert,Extrovert,False
2506,17427,train,Introvert,Extrovert,False
2525,11222,train,Extrovert,Introvert,False
2535,13447,train,Introvert,Extrovert,False
2558,12392,train,Extrovert,Introvert,False
2562,10070,train,Introvert,Extrovert,False
2570,10799,train,Extrovert,Introvert,False
2592,19388,test,Introvert,,False
2599,22600,test,Introvert,,False
2606,11715,train,Extrovert,Introvert,False
2646,6157,train,Introvert,Extrovert,False
2648,9774,train,Extrovert,Introvert,False
2651,8637,train,Extrovert,Introvert,False
2656,21266,test,Introvert,,False
2678,18572,test,Introvert,,False
2687,117,train,Introvert,Extrovert,False
2702,13799,train,Introvert,Extrovert,False
2725,869,train,Introvert,Extrovert,False
2745,19531,test,Introvert,,False
2773,20112,test,Extrovert,,False
2779,4801,train,Extrovert,Introvert,False
2805,11949,train,Extrovert,Introvert,False
2813,19167,test,Introvert,,False
2833,18864,test,Extrovert,,False
2835,12500,train,Introvert,Extrovert,False
2845,21920,test,Introvert,,False
2858,19597,test,Introvert,,False
2865,18193,train,Introvert,Extrovert,False
